ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0000950152-07-009853	Corning Natural Gas Corporation		Registrant has engaged a third party to serve as its transfer agent	02-JUL-2007	N	N	N	Y
0000837456-07-000008	COTTONWOOD STOCK TRANSFER		Owner of Cottonwood is retiring.	30-NOV-2007	N	N	N	Y
0000008345-07-000007	Atlas Stock Transfer Corporation		Owner of Atlas is retiring.	30-NOV-2007	N	Y	N	Y
0001096107-07-000008	Hickory Point Bank & Trust, fsb		Form TA-1 filed with Office of Thrift Supervision as ARA	17-DEC-2007	Y	N	N	N
0001169232-07-004652	Prudential-Bache Transfer Agent Services, Inc.		All limited partnerships serviced by the transfer agent have been dissolved/liquidated.	14-DEC-2007	N	N	N	N
0000950123-07-016586	Diversified Investment Advisors, Inc.		Corporate Reorganization	31-OCT-2007	N	N	N	Y
0000950135-07-007163	Historic Preservation Properties 1988 Limited Partnership		Liquidation of Partnership	31-OCT-2007	N	N	N	N
0001146318-07-000012	united states steel corporation	u.s. steel	Corporate in-house transfer agent outsourcing to commercial agent - wells fargo bank for capital stock issue and Bank of NY for debt four issues	02-NOV-2007	N	N	N	Y
0001002721-07-000017	Citi Fund Services, Inc. (formerly known as BISYS Fund Services, Inc.)		See enclosed attachment	01-OCT-2007	Y	N	N	N
0000842653-07-000011	Citi Fund Services Ohio, Inc. (formerly known as BISYS Fund Services Ohio, Inc.)		See enclosed attachment	01-OCT-2007	Y	N	N	N
0000734620-07-000011	Brunswick Corp		Outsourcing to Computershare Trust Co.	02-NOV-2007	N	N	N	Y
0001061723-07-000009	AMG Service Corp.		Discontinuance of transfer agent functions, and dissolution of AMG Service Corp.	30-SEP-2007	N	N	N	Y
0001104659-07-074728	Hallmark Investment Series Trust		The Hallmark funds for which the Transfer Agent provided services were liquidated.	29-JUN-2007	N	N	N	N
0001104659-07-074727	Hallmark Equity Series Trust		The Hallmark funds for which the Transfer Agent provided services were liquidated.	10-AUG-2007	N	N	N	N
0000795371-07-000006	Paulson Capital Corp.		Outsourcing to another firm	11-OCT-2007	N	N	N	Y
0000948729-07-000003	Abar Pension Services Inc.		Never performed Transfer Agent functions	01-JAN-1950	N	N	N	N
