ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001090027-09-000005	1	31-DEC-2008	0	0
0001242588-09-000008	27	14-MAR-2008	22	0
0001242588-09-000008	28	17-MAR-2008	7	0
0001242588-09-000008	29	19-MAR-2008	2	0
0001242588-09-000008	30	24-MAR-2008	6	0
0001242588-09-000008	31	25-MAR-2008	6	0
0001242588-09-000008	32	26-MAR-2008	5	0
0001242588-09-000008	33	28-MAR-2008	7	0
0001242588-09-000008	34	01-APR-2008	8	0
0001242588-09-000008	35	02-APR-2008	18	0
0001242588-09-000008	36	03-APR-2008	9	0
0001242588-09-000008	37	04-APR-2008	7	0
0001242588-09-000008	38	07-APR-2008	8	0
0001242588-09-000008	39	08-APR-2008	6	0
0001242588-09-000008	40	09-APR-2008	8	0
0001242588-09-000008	41	11-APR-2008	6	0
0001242588-09-000008	42	14-APR-2008	1	0
0001242588-09-000008	43	15-APR-2008	3	0
0001242588-09-000008	44	16-APR-2008	9	0
0001242588-09-000008	45	17-APR-2008	2	0
0001242588-09-000008	46	21-APR-2008	4	0
0001242588-09-000008	47	22-APR-2008	3	0
0001242588-09-000008	48	24-APR-2008	4	0
0001242588-09-000008	49	25-APR-2008	1	0
0001242588-09-000008	50	28-APR-2008	17	0
0001242588-09-000008	51	29-APR-2008	3	0
0001242588-09-000008	52	30-APR-2008	2	0
0001242588-09-000008	53	01-MAY-2008	3	0
0001242588-09-000008	54	02-MAY-2008	4	0
0001242588-09-000008	55	05-MAY-2008	4	0
0001242588-09-000008	56	06-MAY-2008	29	0
0001242588-09-000008	57	07-MAY-2008	3	0
0001242588-09-000008	58	12-MAY-2008	1	0
0001242588-09-000008	59	13-MAY-2008	20	0
0001242588-09-000008	60	14-MAY-2008	1	0
0001242588-09-000008	61	15-MAY-2008	4	0
0001242588-09-000008	62	19-MAY-2008	2	0
0001242588-09-000008	63	20-MAY-2008	4	0
0001242588-09-000008	64	21-MAY-2008	3	0
0001242588-09-000008	65	22-MAY-2008	6	0
0001242588-09-000008	66	23-MAY-2008	1	0
0001242588-09-000008	1	02-JAN-2008	6	0
0001242588-09-000008	2	03-JAN-2008	2	0
0001242588-09-000008	69	29-MAY-2008	2	0
0001242588-09-000008	70	03-JUN-2008	9	0
0001242588-09-000008	71	04-JUN-2008	1	0
0001242588-09-000008	72	05-JUN-2008	6	0
0001242588-09-000008	73	06-JUN-2008	5	0
0001242588-09-000008	74	09-JUN-2008	22	0
0001242588-09-000008	75	10-JUN-2008	15	0
0001242588-09-000008	76	11-JUN-2008	6	0
0001242588-09-000008	77	13-JUN-2008	28	0
0001242588-09-000008	78	16-JUN-2008	1	0
0001242588-09-000008	79	17-JUN-2008	7	0
0001242588-09-000008	80	24-JUN-2008	15	0
0001242588-09-000008	81	25-JUN-2008	8	0
0001242588-09-000008	82	26-JUN-2008	4	0
0001242588-09-000008	83	27-JUN-2008	1	0
0001242588-09-000008	84	30-JUN-2008	2	0
0001242588-09-000008	85	02-JUL-2008	6	0
0001242588-09-000008	86	03-JUL-2008	2	0
0001242588-09-000008	87	07-JUL-2008	4	0
0001242588-09-000008	88	09-JUL-2008	4	0
0001242588-09-000008	89	10-JUL-2008	3	0
0001242588-09-000008	90	14-JUL-2008	2	0
0001242588-09-000008	91	16-JUL-2008	5	0
0001242588-09-000008	92	17-JUL-2008	1	0
0001242588-09-000008	93	18-JUL-2008	3	0
0001242588-09-000008	94	22-JUL-2008	1	0
0001242588-09-000008	95	25-JUL-2008	9	0
0001242588-09-000008	96	28-JUL-2008	23	0
0001242588-09-000008	97	29-JUL-2008	1	0
0001242588-09-000008	98	30-JUL-2008	3	0
0001242588-09-000008	99	31-JUL-2008	6	0
0001242588-09-000008	100	01-AUG-2008	16	0
0001242588-09-000008	101	05-AUG-2008	16	0
0001242588-09-000008	102	06-AUG-2008	1	0
0001242588-09-000008	103	07-AUG-2008	6	0
0001242588-09-000008	104	11-AUG-2008	5	0
0001242588-09-000008	105	12-AUG-2008	3	0
0001242588-09-000008	106	13-AUG-2008	5	0
0001242588-09-000008	107	14-AUG-2008	6	0
0001242588-09-000008	108	18-AUG-2008	8	0
0001242588-09-000008	3	07-JAN-2008	3	0
0001242588-09-000008	4	10-JAN-2008	14	0
0001242588-09-000008	5	11-JAN-2008	4	0
0001242588-09-000008	6	16-JAN-2008	3	0
0001242588-09-000008	7	18-JAN-2008	2	0
0001242588-09-000008	8	23-JAN-2008	7	0
0001242588-09-000008	9	25-JAN-2008	3	0
0001242588-09-000008	10	28-JAN-2008	2	0
0001242588-09-000008	11	29-JAN-2008	1	0
0001242588-09-000008	12	30-JAN-2008	4	0
0001242588-09-000008	13	31-JAN-2008	4	0
0001242588-09-000008	14	07-FEB-2008	9	0
0001242588-09-000008	15	08-FEB-2008	3	0
0001242588-09-000008	16	11-FEB-2008	3	0
0001242588-09-000008	17	18-FEB-2008	6	0
0001242588-09-000008	18	20-FEB-2008	3	0
0001242588-09-000008	19	22-FEB-2008	3	0
0001242588-09-000008	20	25-FEB-2008	3	0
0001242588-09-000008	21	28-FEB-2008	5	0
0001242588-09-000008	22	29-FEB-2008	6	0
0001242588-09-000008	23	04-MAR-2008	2	0
0001242588-09-000008	24	07-MAR-2008	2	0
0001242588-09-000008	25	11-MAR-2008	7	0
0001242588-09-000008	26	13-MAR-2008	3	0
0001242588-09-000008	167	23-DEC-2008	1	0
0001242588-09-000008	168	30-DEC-2008	13	0
0001242588-09-000008	169	31-DEC-2008	2	0
0001242588-09-000008	109	19-AUG-2008	7	0
0001242588-09-000008	110	20-AUG-2008	17	0
0001242588-09-000008	111	22-AUG-2008	2	0
0001242588-09-000008	112	25-AUG-2008	9	0
0001242588-09-000008	113	26-AUG-2008	3	0
0001242588-09-000008	114	27-AUG-2008	7	0
0001242588-09-000008	115	28-AUG-2008	4	0
0001242588-09-000008	116	03-SEP-2008	10	0
0001242588-09-000008	117	04-SEP-2008	1	0
0001242588-09-000008	118	05-SEP-2008	2	0
0001242588-09-000008	119	08-SEP-2008	5	0
0001242588-09-000008	120	09-SEP-2008	6	0
0001242588-09-000008	121	10-SEP-2008	7	0
0001242588-09-000008	122	11-SEP-2008	3	0
0001242588-09-000008	123	15-SEP-2008	7	0
0001242588-09-000008	124	16-SEP-2008	10	0
0001242588-09-000008	125	17-SEP-2008	12	0
0001242588-09-000008	126	18-SEP-2008	4	0
0001242588-09-000008	127	24-SEP-2008	7	0
0001242588-09-000008	128	29-SEP-2008	4	0
0001242588-09-000008	129	30-SEP-2008	2	0
0001242588-09-000008	130	02-OCT-2008	9	0
0001242588-09-000008	131	03-OCT-2008	3	0
0001242588-09-000008	132	06-OCT-2008	1	0
0001242588-09-000008	133	14-OCT-2008	8	0
0001242588-09-000008	134	15-OCT-2008	25	0
0001242588-09-000008	135	21-OCT-2008	2	0
0001242588-09-000008	136	23-OCT-2008	8	0
0001242588-09-000008	137	27-OCT-2008	3	0
0001242588-09-000008	138	29-OCT-2008	2	0
0001242588-09-000008	139	30-OCT-2008	2	0
