ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0001451217-10-000009	violationOfRegulations	1	SEI Investments Distribution Co. and SEI Investments Company	In the Matter of SEI Investments Distribution Co. and SEI Investments Company	14-JUL-2004	Securities and Exchange Comission	Order Instituting administrative and cease-and-desist proceedings, making findings and imposing remedial sanctions and a cease-and-desist order.	Pursuant to a settlement, SIDCO was censored, ordered to cease-and-desist from committing or causing violations, and paid a civil monetary penalty. Also, SEI Investments Company agreed to cease-and-desist from causing SIDCO's violations.
0000817712-10-000012	fsrViolationOfInvestmentRelatedRegulation	2	Thrivent Financial for Lutherans	Consent Order Imposing a Fine	28-DEC-2006	Office of Insurance Comissioner of State of Washington	Alleged failure to file in a timely manner certain annual statements.	Matter closed.  Fine of $13,400 paid.
0000817712-10-000012	fsrViolationOfInvestmentRelatedRegulation	3	Thrivent Life Insurance Company	Consent Order Imposing a Fine	28-DEC-2006	Office of Insurance Commissioner of State of Washington	Alleged failure to file in a timely manner certain annual statements.	Matter closed.  Fine of $1,750 paid.
0000817712-10-000012	sraViolationOfRules	1	Lutheran Brotherhood Securities Corp.	NASD v. LBSC	18-JAN-2001	NASDR	Alleged: Between 4/97 and 3/98, Lutheran Brotherhood Securities Corp. had not collected investment objective info on 12 of 99 annuity transactions reviewed. Written supervisory procedures were deficient.	On January 18, 2001, Lutheran Brotherhood Securities Corp. executed a letter of acceptance, waiver and consent from NASDR, which constituted LBSC's consent to the findings.
0000817712-10-000012	sraViolationOfRules	2	AAL Capital Management Corporation	NASD v. AAL Capital Management Corporation	25-JUL-2002	NASD	AAL Capital Management Corporation allegedly failed to establish, maintain and enforce written supervisory procedures designed to prevent or detect private securities transactions by registered representatives.	On or about August 20, 2002, AAL Capital Management Corporation executed a letter of acceptance, waiver and consent from the NASD, which constituted AAL Capital Management's consent to the findings.
0000817712-10-000012	fsrViolationOfInvestmentRelatedRegulation	1	Thrivent Financial for Lutherans	In the Matter of the Market Conduct Examination of Thrivent Financial	10-MAR-2006	Colorado Division of Insurance	Routine market conduct examination resulted in finding that Thrivent Financial for Lutherans failed, in some cases, to comply with Colorado insurance regulations pertaining to recordkeeping and notification requirements.	Matter closed.  Fine of $1,000 paid.
0000817712-10-000012	fsrViolationOfInvestmentRelatedRegulation	4	Thrivent Financial for Lutherans	Stipulation and Settlement Agreement	21-DEC-2009	Commissioner of the Ofc. of Financial and Insurance Reg. of the State of MI	Failure to report the completion of continuing education courses in a timely manner.	Matter closed.  Market conduct fee of $1,500 paid.
0000842657-10-000013	fsrFalseStatementOrOmission	39	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Order No. 05 010 M	04-NOV-2005	The State of Michigan Office of Financial and Insurance Services	The Registrant has not been the subject of this matter: In the item noted below, the DBSI agreements include, undertakings with respect to the separation of research and investment banking; mandatory disclosures to be included in research reports and transparency of research analysts    ratings and projections; and the use of independent, third    party research services. DBSI agreed to pay: (I) $50 million, offset by $25 million to be paid pursuant to agreements with state regulators in related proceedings; (II) $25 million to fund the provision of independent research to investors (payable over the next five years); (III) $5 million to promote investor education (payable over the next five years); and (IV) $7.5 million in connection with allegations concerning Section 17(B) of the Exchange Act. The State of Michigan Office of Financial and Insurance Services charged DBSI with violations of MCL 451.604(A)(1)(G) and (A)(2) for alleged failures relating to just and equitable principles of trade; the reasonable supervision of its employees to ensure adequate insulation between its research analysts and investment banking; the establishment, maintenance, and enforcement of written procedures; and the keeping of required books and records. Without admitting or denying the allegations, DBSI agreed to an administrative consent order with the State of Michigan Office of Financial and Insurance Services and to pay $87.5 million. The State of Michigan Office of Financial and Insurance Services charged DBSI with violations of MCL 451.604(A)(1)(G) and (A)(2) for alleged failures relating to just and equitable principles of trade; the reasonable supervision of its employees to ensure adequate insulation between its research analysts and investment banking; the establishment, maintenance, and enforcement of written procedures; and the keeping of required books and records. The matter was resolved on 11     04     2005, including $880,634 penalty paid to the State of Michigan on 10     24     2005.	Without admitting or denying the allegations, DBSI agreed to an administrative consent order with the State of Michigan Office of Financial and Insurance Services and to pay $87.5 million with certain offsets to be paid in related actions
0000842657-10-000013	fsrFalseStatementOrOmission	40	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket Case #: CO 2005 7083 S	07-DEC-2005	The State of Connecticut Department of Banking	The Registrant has not been the subject of this matter: In the item noted below, the DBSI agreements include, undertakings with respect to the separation of research and investment banking; mandatory disclosures to be included in research reports and transparency of research analysts      ratings and projections; and the use of independent, third     party research services. DBSI agreed to pay: (I) $50 million, offset by $25 million to be paid pursuant to agreements with state regulators in related proceedings; (II) $25 million to fund the provision of independent research to investors (payable over the next five years); (III) $5 million to promote investor education (payable over the next five years); and (IV) $7.5 million in connection with allegations concerning Section 17(B) of the Exchange Act. The State of Connecticut Department of Banking charged DBSI with violations of Section 36B     4(B) of the Connecticut Uniform Securities Act (the      Act     ) for allowing conflicts of interest to develop and failing to manage these conflicts, issuing research reports that were affected by conflicts, and making and receiving payments in connection with certain transactions and failing to disclose such payments; violations of Section 36B     31     6F(B) of the Regulations of Connecticut State Agencies promulgated under the Act (the      Regulations     ) for failing to establish and maintain systems to detect and prevent and manage conflicts; and violations of Section 36B      14 of the Act and Section 36B     31     14F of the Regulations for failing to produce electronic mail in a timely manner. Without admitting or denying the allegations, DBSI agreed to a consent order with the State of Connecticut Department of Banking and to pay $87.5 million. The State of Connecticut Department of Banking charged DBSI with violations of Section 36B     4(B) of the Connecticut Uniform Securities Act (the      Act     ) for allowing conflicts of interest to develop and failing to manage these conflicts, issuing research reports that were affected by conflicts, and making and receiving payments in connection with certain transactions and failing to disclose such payments; violations of Section 36B     31     6F(B) of the Regulations of Connecticut State Agencies promulgated under the Act (the      Regulations     ) for failing to establish and maintain systems to detect and prevent and manage conflicts; and violations of Section 36B      14 of the Act and Section 36B     31     14F of the Regulations for failing to produce electronic mail in a timely manner. The matter was resolved on 12     07     2005, including $301,763 penalty paid to the State of Connecticut on 11     16     2005.	Without admitting or denying the allegations, DBSI agreed to a consent order with the State of Connecticut Department of Banking and to pay $87.5 million with certain offsets to be paid in related actions.
0000842657-10-000013	fsrFalseStatementOrOmission	41	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket Case no: 04CV06909	31-JAN-2006	The State of South Dakota Division of Securities	The Registrant has not been the subject of this matter: In the item noted below, the DBSI agreements include, undertakings with respect to the separation of research and investment banking; mandatory disclosures to be included in research reports and transparency of research analysts      ratings and projections; and the use of independent, third     party research services. DBSI agreed to pay: (I) $50 million, offset by $25 million to be paid pursuant to agreements with state regulators in related proceedings; (II) $25 million to fund the provision of independent research to investors (payable over the next five years); (III) $5 million to promote investor education (payable over the next five years); and (IV) $7.5 million in connection with allegations concerning Section 17(B) of the Exchange Act. The State of South Dakota Division of Securities charged DBSI with violations of Chapter 47     31B under 47     31B     412(D)(9) and 47     31B     412(13) in connection with research analyst work, supervision and production of emails. Without admitting or denying the allegations, DBSI agreed to an administrative consent order with the State of South Dakota Division of Securities and to pay $87.5 million. The State of South Dakota Division of Securities charged DBSI with violations of Chapter 47     31B under 47     31B     412(D)(9) and 47     31B     412(13) in connection with research analyst work, supervision and production of emails. The matter was resolved on 01     31     2006, including $287,500 penalty paid to the State of South Dakota on 01     27     2006.	Without admitting or denying the allegations, DBSI agreed to an administrative consent order with the State of South Dakota Division of Securities and to pay $87.5 million with certain offsets to be paid in related actions.
0000842657-10-000013	fsrFalseStatementOrOmission	8	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	Docket Case # : 05 045 CON	16-MAR-2005	The Maine Office of Securities	The Registrant has not been the subject of this matter: In the item noted below, the DBSI agreements include, undertakings with respect to the separation of research and investment banking; mandatory disclosures to be included in research reports and transparency of research analysts      ratings and projections; and the use of independent, third     party research services. DBSI agreed to pay: (I) $50 million, offset by $25 million to be paid pursuant to agreements with state regulators in related proceedings; (II) $25 million to fund the provision of independent research to investors (payable over the next five years); (III) $5 million to promote investor education (payable over the next five years); and (IV) $7.5 million in connection with allegations concerning Section 17(B) of the Exchange Act. The Maine Office of Securities charged violations of 10313(1)(G), 10313(1)(J) and 10313(6) of revised Maine Securities Act in connection with research analyst work, supervision and production of emails. Without admitting or denying the allegations, DBSI agreed to a consent order with the Maine Office of Securities and to pay $87.5 million. The Maine Office of Securities charged violations of 10313(1)(G), 10313(1)(J) and 10313(6) of revised Maine Securities Act in connection with research analyst work, supervision and production of emails. The matter was resolved on 03 16  2005, including $287,500 penalty paid to the State of Maine.	Without admitting or denying the allegations, DBSI agreed to a consent order with the Maine Office of Securities and to pay $87.5 million with certain offsets to be paid in related actions.
0000842657-10-000013	enjoinedInvestmentRelatedActivity	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	US District Court SDNY Civ. Action No. 04 Civ. 06909 (WHP)	24-SEP-2004	United States Securities and Exchange Commission	The Registrant has not been the subject of this matter: The SEC charged violations of Section 17(B) of the Securities Act, Section 17(B) of the Exchange Act, NASD Rules 2110, 2210(D)(1), and 2210(D)(2), and NYSE Rules 401, 472, and 476(A)(6), in connection with alleged conflicts of interest resulting from investment banking influence over research analysts; the issuance of research reports affected by those alleged conflicts of interest; payments to and from other securities firms and the receipt of payments from issuers allegedly for research; and the non  disclosure of such payments. The SEC also charged violations of NASD Rule 3010 and NYSE Rule 342 for allegedly not adequately supervising its research analysts in order to prevent conflicts of interest, as well as NASD Rule 2110 and NYSE Rule 476(A)(11) for allegedly not promptly producing e  mail. The current status is closed on September 24, 2004. Without admitting or denying the allegations, DBSI agreed to the entry of a final judgment and permanent injunction, and to pay $87.5 million. The SEC charged violations of Section 17(B) of the Securities Act, Section 17(B) of the Exchange Act, NASD Rules 2110, 2210(D)(1), and 2210(D)(2), and NYSE Rules 401, 472, and 476(A)(6), in connection with alleged conflicts of interest resulting from investment banking influence over research analysts; the issuance of research reports affected by those alleged conflicts of interest; payments to and from other securities firms and the receipt of payments from issuers allegedly for research; and the non  disclosure of such payments. The SEC also charged violations of NASD Rule 3010 and NYSE Rule 342 for allegedly not adequately supervising its research analysts in order to prevent conflicts of interest, as well as NASD Rule 2110 and NYSE Rule 476(A)(11) for allegedly not promptly producing e  mail. DBSI agreement included undertakings with respect to the separation of research and investment banking; mandatory disclosures to be included in research reports, and transparency of research analysts   ratings and projections; and the use of independent, third  party research services. DBSI was permanently enjoined by the U.S. District Court from certain violations of Section 17(B) of the Securities Act, Section 17(B) of the Exchange Act, as well as NASD Rules 2110, 2210(D)(1), 2210(D)(2), and 3010 and NYSE Rules 342, 401, 472, and 476(A)(6). DBSI agreed to pay: (I) $50 million, offset in the amount of $25 million to be paid pursuant to agreements with state regulators in related proceedings; (II) $25 million to fund the provision of independent research to investors (payable over the next five years); (III) $5 million to promote investor education (payable over the next five years); and (IV) $7.5 million in connection with allegations concerning Section 17(B) of the Exchange Act.	Without admitting or denying the allegations, DBSI agreed to the entry of a final judgment and permanent injunction, and to pay $87.5 million.  DBSI agreement included certain undertakings.
0000842657-10-000013	enjoinedInvestmentRelatedActivity	2	Deutsche Bank Securities Inc.	SEC Auction Rate Secruities Action 6.3.09	03-JUN-2009	US District Court, Southern District of New York	The Registrant has not been the subject of this matter. Initiation date 06.03.2009. The SECs complaint alleged that Deutsche Bank Securities Inc. (DBSI) misled its customers about the nature, liquidity and risks associated with Auction Rate Securities (ARS) that DBSI underwrote, marketed and sold and that DBSI reinforced the perception that ARS were safe and liquid by committing its own capital to support ARS auctions for which it served as the lead manager to ensure that those auctions did not fail. Without admitting or denying the allegations, in the SEC complaint, DBSI consented to the entry of an injunction permanently enjoining it from engaging in violation of Section 15(C) of the Securities and Exchange Act of 1934. The SEC has granted waivers, exemptions, and no action relief from the collateral consequences of the injunction in areas under the SECs jurisdiction. In addition to the injunction noted above, the judgment of the District of Court requires DBSI to comply with the undertakings specified in the judgment, and provides that DBSI may be required to pay civil monetary penalties pursuant to Section 21(D)(3) of the Exchange Act. The undertakings require among other things, that DBSI offer to purchase at par certain ARS from eligible investors, reimburse eligible investors that sold ARS below par, participate in a special arbitration procedure for consequential damages claims by eligible investors, work to provide liquidity solutions for institutional investors not part of the ARS buy back, agree not to liquidate its own inventory of a particular ARS without making that liquidity opportunity available, as soon as practicable, for eligible customer, and provide other relief as described in the judgment.	Without admitting or denying the allegations in the SEC complaint, DBSI consented to the entry of an injunction permanently enjoining it from engaging in violations of Section 15 (C) of the Securities Act of 1934.
0000842657-10-000013	falseStatementOrOmission	1	Deutsche Bank Securities Inc. (DBSI), a Control Affiliate of the Registrant	File No. 3 12514	19-JAN-2007	United States Securities and  Exchange Commission.	The Registrant has not been the subject of this matter: Amended filing date: 12/21/2006. On December 21, 2006 the SEC instituted and settled an administrative proceeding against Deutsche Bank Securities Inc. (DBSI) in connection with DBSI alleged failure to properly supervise one of its former registered representatives who had engaged in deceptive market timing of mutual fund shares in client accounts. The SEC further alleged that DBSI, through the conduct of the former registered representative, violated Rule 22C1(A), as adopted under section 22(C) of the Investment Company Act of 1940 by the conduct of the former registered representative entering late trades for at least one customer. The SEC alleged that the former registered representative received and entered orders to purchase, redeem or exchange mutual fund shares for the 4:00 P.M. eastern time market close on certain occasions where customer orders received before 4:00 P.M. were blocked by fund companies as market timing trades. The customer orders entered into after 4:00 P.M. served as substitute orders for those that had been previously received and blocked before 4:00 P.M. The SEC also alleged that DBSI violated Section 15(B)(4)(E) of the Exchange Act because it allegedly failed to properly supervise the former registered representative who had engaged in the conduct. On December 21, 2006 the SEC also issued an order under Rule 602(E) of the Securities Act of 1933 on behalf of Deutsche Asset Management, Inc., Deutsche Investment Management Americas, Inc., and Deutsche Bank Securities Inc., granting a waiver of the disqualification provision of Rule 602(C)(3). Without admitting or denying the SEC allegations or findings, DBSI agreed to total payment of $442,954, consisting of $202,835 in disgorgement, $202,835 in civil penalty, and $37,284 in prejudgment interest. The fine of $442,954 was paid on January 19, 2007.	Without admitting or denying the SEC allegations or findings, DBSI agreed to total payment of $442,954, consisting of $202,835 in disgorgement, $202,835 in civil penalty, and $37,284 in prejudgment interest. The fine was paid on January 19, 2007.
0000842657-10-000013	falseStatementOrOmission	2	Deutsche Investment Management Americas Inc. (DIMA) and Deutsche Asset Management Inc. (DAMI), Control Affiliates of the Registrant	Docket or Case Number: 3 12513	21-DEC-2006	United States Securities and Exchange Commission	The Registrant has not been the subject of this matter: Initiation date: 12/21/2006. Deutsche Investment Management Americas Inc. (DIMA), and Deutsche Asset Management, Inc. (DAMI) which merged into DIMA as of 12/31/2006, serve as investment advisors to the DWS Scudder Funds. The SEC alleged DIMA and DAMI breached their fiduciary duty to certain DWS Scudder Funds by failing to effectively limit trading activity in DWS Scudder Funds. The SEC also alleged that DIMA and DAMI breached their fiduciary duty to certain DWS Scudder Funds by entering into market timing arrangements with investors. The SEC censured DIMA and DAMI and ordered DIMA and DAMI to pay $17.2 million in disgorgement, which will be deemed to be paid through payments made under a separate order by the New York Attorney General. The SEC also issued a cease and desist order against DIMA and DAMI. DIMA and DAMI are subject to certain undertakings regarding the conduct of its business in the future, including: formation of a code of ethics oversight committee to oversee all matters relating to issues arising under DIMA and DAMI code of ethics; establishment of an internal compliance controls committee having overall compliance oversight responsibility of DIMA and DAMI; engagement of an independent compliance consultant to conduct a comprehensive review of the DIMA and DAMI supervisory compliance and other policies and procedures designed to prevent and detect breaches of fiduciary duty, breaches of the code of ethics and Federal Securities Law violations by DIMA and DAMI and their employees; and within 120 days and in 2008, DIMA and DAMI shall undergo a compliance review by an independent third party. DIMA and DAMI were ordered to pay, jointly and severally, $17.2 million in disgorgement. The entire amount is to be distributed to the affected DWS Scudder Funds.	DIMA and DAMI were ordered to pay, jointly and severally, $17.2 million in disgorgement.  The entire amount is to be distributed to the affected DWS Scudder Funds.
0000842657-10-000013	falseStatementOrOmission	3	Deutsche Bank Securities Inc (DBSI) a control affiliate of the registrant	Case No SEC -2009-00074	16-APR-2010	State Corporation Commission of the Commonwealth of Virginia (The Commission)	The registrant is not the subject of this matter initiated on 4/16/2010.  The Commission alleged that Deutsche Bank Securities Inc. engaged in dishonest and unethical conduct in the securities business with respect to the marketing and sale of auction rate securities and failed to reasonably supervise its agents with respect to marketing and sales of Auction Rate Securities (ARA).Pursuant to the consent order entered by the Commission, DBSI consented to the commission making the following conclusions; 1. In connection with (I) the misrepresentation of ARS to clients, (II) the failure to adequately disclose to clients the effect of DBSIs role as underwriter and broker dealer for ARS issues, and (III) the use of supporting Bids to artificially prevent failed ARS auction and failing to adequately disclose the practice to clients, DBSI engaged in dishonest and unethical conduct in the securities business. Commission rules 21 VAC 5-20-280 A 3 and E 12 allow the Commission, through its administrator, to take action against DBSI if it has engaged in unethical or dishonest practices in the securities business and (2) in connection with the failure to (I) provide adequate training to agents concerning ARS, (II) create and maintain adequate written supervisory procedures concerning ARS, (III) ensure accurate disclosure of conflicts of interest concerning ARS to clients by its agents, and prevent such conduct.  Commission rules 21 VAC 5-20-260 A and B allow the Commission, through its administrator, to take action against DBSI if it has failed to reasonably supervise its representatives or employees.	Without admitting or denying the allegations, DBSI agreed to pay a penalty of $214,475.04 to the treasurer of the Commonwealth of Virginia and to take certain measures with respect to current and former clients that purchased ARS before February 13, 2008.
