ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000821007-10-000008	tawSuccessors	1	Boston Financial Data Services	Y	2000 Crown Colony Drive  Quincy  02169
0000821007-10-000008	tawCustodians	1	Wells Fargo Funds Management LLC		200 Berkeley Street  Boston  02116
0000821007-10-000008	tawRegistrant	1	Evergreen Service Company LLC		200 Berkeley Street  Boston  02116
0000849546-10-000005	tawCustodians	1	Church Loans & Investments Trust		5305 W Interstate 40  Amarillo  79106
0000849546-10-000005	tawRegistrant	1	Church Loans & Investments Trust		5305 W Interstate 40  Amarillo  79106
0001269678-10-000142	tawRegistrant	1	Stock Transfer Company of America, Inc.		18170 Hillcrest  Dallas  75252
0001269678-10-000142	tawCustodians	1	Empire Stock Transfer		1859 Whitney Mason Drive  Henderson  89014
0001269678-10-000142	tawSuccessors	1	Empire Stock Transfer	Y	1859 Whitney Mason Drive  Henderson  89014
0000842100-10-000004	tawRegistrant	1	Securities Managment and Research, Inc.		2450 South Shore Blvd Suite 400 League City  77573
0000842100-10-000004	tawCustodians	1	Securities Management and Research Inc.		2450 South Shore Blvd Suite 400 League City  77573
0001390212-10-000064	tawCustodians	1	Jerry G. Mikolajczyk		25 Rio Robles East #324  San Jose  95134
0001390212-10-000064	tawRegistrant	1	Accurate Stock Transfer, Inc.		142 North Milpitas Blvd. #281  Milpitas  95035
0001146060-10-000005	tawSuccessors	1	FINANCIAL DATA SERVICES, INC.	Y	4800 DEER LAKE DRIVE  JACKSONVILLE  32246
0001146060-10-000005	tawCustodians	1	FINANCIAL DATA SERVICES, INC.		4800 DEER LAKE DRIVE  JACKSONVILLE  32246
0001146060-10-000005	tawRegistrant	1	MERRILL LYNCH ALTERNATIVE INVESTMENTS LLC		4 WORLD FINANCIAL CENTER 250 VESSEY STREET, 10TH FL NEW YORK  10080
