ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001179706-11-000116	31-DEC-2010	Hewlett Packard Administrative Services LLC	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000746972-11-000001	31-DEC-2010	OTR, Inc.	NONE	N	SEC	Not applicable		1640	39085	39085	0	7	0			Yes			0	0	0
0000216108-11-000001	31-DEC-2010	Nationwide Fund Management LLc	ALL	N	SEC	Not applicable															
0000842657-11-000003	31-DEC-2010	DWS Investments Service Company	ALL	N	SEC	Yes, filed amendment(s)															
0000838617-11-000003	31-DEC-2010	First National Bank of Santa Fe/TZ	NONE	N	OCC	Not applicable		5	111	111	0	0									0
0000939057-11-000090	31-DEC-2010	Security Federal Corp.	NONE	N	OTS	Not applicable		45	300	300	0	300									4
0001077455-11-000002	31-DEC-2010	Trautmann, Maher & Associates, Inc.	NONE	Y	SEC	Not applicable		0	0	2144	0	0									0
0001114874-11-000003	31-DEC-2010	DSI Properties, Inc.	NONE	N	SEC	Not applicable		405	0	6533	0	0									0
0001323210-11-000003	31-DEC-2010	GTI Corporate Transfer Agents	NONE	N	SEC	Yes, filed amendment(s)		3	1	0	0	1									0
0001359797-11-000001	31-DEC-2010	MKPI Services	NONE	N	SEC	Not applicable		0	1	1	0	1									0
0001468119-11-000003	31-DEC-2010	Community Bank	ALL	N	OTS	Not applicable															
0001145722-11-000004	31-DEC-2010	Bank of the Ozark, WCA	NONE	N	FDIC	Not applicable		4	900	900	0	0									0
0000735383-11-000003	31-DEC-2010	Hartford Administrative Services Company	SOME	Y	SEC	Yes, filed amendment(s)		670562	1238357	1238357	1161685	0	0			Not Applicable			7203132	37237	85
0001273515-11-000045	31-DEC-2010	Pennsylvania Avenue Advisers LLC	SOME	N	SEC	Not applicable		0	0	0	0	0									0
0000950123-11-031637	31-DEC-2010	Synovus Trust Company, N.A.	NONE	N	OCC	Not applicable		7064	0	0	0	0	0			Yes			0	0	0
0001140361-11-019829	31-DEC-2010	Empire Stock Transfer Inc.	NONE	N	SEC	Not applicable		8501	29308	29308	0	171	0			Not Applicable			0	0	0
0001094768-11-000004	31-DEC-2010	PayPal Asset Management, Inc.	NONE	N	SEC	Yes, filed amendment(s)		0	1594553	1594553	1594553	1594553	0			Yes			32359837	0	14592
