ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001146230-14-000008	currentAgent							7	927524.0
0001146230-14-000008	directRegistrationSystem							2503	
0001146230-14-000008	dividendAndInterest							4730	370984386567.0
0001146230-14-000008	dividendReinvDirectPurchasePlan							999	
0001146230-14-000008	transNotMaintMasterSecHolder	226.0	0.0	0.0	0.0	0.0	0.0		
0001146230-14-000008	priorAgent							4	1055177.0
0001146230-14-000008	securityHolderAccounts	98.0	0.0	0.0	0.0	0.0	2.0		
0001146230-14-000008	transMaintainMasterSecHolder	6358.0	163.0	0.0	84.0	0.0	2129.0		
0001146230-14-000008	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001145888-14-000002	directRegistrationSystem							0	
0001145888-14-000002	dividendAndInterest							0	0.0
0001145888-14-000002	dividendReinvDirectPurchasePlan							0	
0001145888-14-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001145888-14-000002	currentAgent							0	0.0
0001145888-14-000002	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001145888-14-000002	transMaintainMasterSecHolder	100.0	0.0	0.0	0.0	0.0	0.0		
0001145888-14-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001145888-14-000002	priorAgent							0	0.0
0001007444-14-000011	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001007444-14-000011	transMaintainMasterSecHolder	0.0	0.0	10975.0	0.0	0.0	0.0		
0001007444-14-000011	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001007444-14-000011	priorAgent							0	0.0
0001007444-14-000011	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001007444-14-000011	dividendReinvDirectPurchasePlan							10969	
0001007444-14-000011	dividendAndInterest							8835	2696920942.0
0001007444-14-000011	directRegistrationSystem							0	
0001007444-14-000011	currentAgent							0	0.0
0001022115-14-000004	currentAgent								
0001022115-14-000004	transNotMaintMasterSecHolder								
0001022115-14-000004	transMaintainMasterSecHolder								
0001022115-14-000004	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001022115-14-000004	directRegistrationSystem								
0001022115-14-000004	notTransMaintMasterSecHolder								
0001022115-14-000004	dividendReinvDirectPurchasePlan								
0001022115-14-000004	dividendAndInterest								
0001022115-14-000004	priorAgent								
0001455353-14-000002	currentAgent							0	0.0
0001455353-14-000002	directRegistrationSystem							0	
0001455353-14-000002	dividendAndInterest							0	0.0
