ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001455353-15-000002	serviceCompanyTransferAgent	1	Direct Transfer LLC	084-06338	    
0000950123-15-004188	serviceCompanyTransferAgent	1	BFDS, Inc.	084-00896	    
0000950123-15-004188	serviceCompanyTransferAgent	2	DST, Inc.	084-00448	    
0001146230-15-000016	asServiceCompanyTransferAgent	1	Citibank, N.A.	085-10232	    
0001146230-15-000016	asServiceCompanyTransferAgent	2	Computershare Trust Company of Canada	084-06112	    
0001146230-15-000016	asServiceCompanyTransferAgent	3	Computershare Investor Services Inc.	084-06111	    
0001146230-15-000016	asServiceCompanyTransferAgent	4	State Street Bank and Trust Company	085-05003	    
0001146230-15-000016	asServiceCompanyTransferAgent	5	Computershare Trust Company, N.A.	085-11340	    
0001146230-15-000016	asServiceCompanyTransferAgent	6	The Bank of New York Mellon	085-05006	    
0001146230-15-000016	asServiceCompanyTransferAgent	7	BNY Mellon Investment Servicing (US) Inc.	084-01761	    
0001146230-15-000016	asServiceCompanyTransferAgent	8	Citi Fund Services Ohio, Inc.	085-11408	    
0001146230-15-000016	serviceCompanyTransferAgent	1	The Colbent Corporation	084-05927	    
0001146230-15-000016	serviceCompanyTransferAgent	2	Computershare Trust Company of Canada	084-06112	    
0001073944-15-000003	asServiceCompanyTransferAgent	1	JD Clark & Co, Inc.	084-06025	    
0001073944-15-000003	asServiceCompanyTransferAgent	2	SEI	084-01318	    
0001073944-15-000003	serviceCompanyTransferAgent	1	JD Clark & Co, Inc.	084-06025	    
0000733598-15-000002	asServiceCompanyTransferAgent	1	U.S. Bancorp Fund Services, LLC	085-11357	    
0001144204-15-020061	serviceCompanyTransferAgent	1	WORLDWIDE STOCK TRANSFER LLC	084-06153	    
0001022437-15-000002	serviceCompanyTransferAgent	1	Deutsche Bank Trust Company Americas	085-05212	    
0001022437-15-000002	serviceCompanyTransferAgent	2	Computershare Inc	084-05925	    
0001139576-15-000001	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0001145892-15-000002	asServiceCompanyTransferAgent	1	Citibank, N.A.	085-10232	    
0001145892-15-000002	asServiceCompanyTransferAgent	2	Computershare Trust Company of Canada	084-06112	    
0001145892-15-000002	asServiceCompanyTransferAgent	3	Computershare Investor Services Inc.	084-06111	    
0001145892-15-000002	asServiceCompanyTransferAgent	4	Citi Fund Services Ohio, Inc.	085-11408	    
0001145892-15-000002	serviceCompanyTransferAgent	1	Computershare Inc.	084-05925	    
0001146230-15-000014	asServiceCompanyTransferAgent	1	Registrar and Transfer Corporation - New York	084-00528	    
0000721748-15-000175	serviceCompanyTransferAgent	1	Continental Stock Transfer	084-00034	    
0001146230-15-000013	serviceCompanyTransferAgent	1	Registrar and Transfer Company (New Jersey)	084-00436	    
0000740583-15-000162	asServiceCompanyTransferAgent	1	Rydex Fund Services, LLC	084-05475	    
0001077455-15-000001	asServiceCompanyTransferAgent	1	American Funds	084-05504	    
0001144204-15-019805	asServiceCompanyTransferAgent	1	Guardian Registrar & Transfer, Inc.	084-06184	    
0001144204-15-019805	serviceCompanyTransferAgent	1	FIRST AMERICAN STOCK TRANSFER INC /AZ/ /TA	084-05795	    
0001430805-15-000002	serviceCompanyTransferAgent	1	Zions First National Bank	085-10987	    
0001430805-15-000001	asServiceCompanyTransferAgent	1	Amegy Bank National Association	085-11411	    
0000838141-15-000003	asServiceCompanyTransferAgent	1	Whitney Bank, formerly Hancock Bank of Louisiana	085-00741	    
0000838141-15-000003	serviceCompanyTransferAgent	1	Huntington National Bank/OH/TA	085-10275	    
0001077223-15-000003	serviceCompanyTransferAgent	1	JP MORGAN	085-11399	    
0001354488-15-001450	asServiceCompanyTransferAgent	1	West Coast Stock Transfer Inc.	084-06347	    
