ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000950123-15-009782	31-DEC-2014	Wells Fargo Bank, N.A.	SOME	Y	OCC	Not applicable		332259	9615674	9615674	1831742	2864113	1	No	RR Donnelley confirmed 8(b) must be greater than zero to be able to populate 8(c) and 8(d). Wells Fargo Bank, N.A. is reporting one (1) for 8(b), even though no reports were filed during the reporting period. See attached explanation as response to 8(c).	Yes			0	0	302411
0001398344-15-004988	31-DEC-2013	Altegris Portfolio Management, Inc. (dba Altegris Funds)	NONE	N	SEC	Not applicable		381	10751	10751	0	0	0			Not Applicable			0	0	0
0001398344-15-004987	31-DEC-2012	Altegris Portfolio Management, Inc. (dba Altegris Funds)	NONE	N	SEC	Not applicable		676	12540	12540	0	0	0			Not Applicable			0	0	0
0001060257-15-000016	31-DEC-2014	BANCO SANTANDER PUERTO RICO	SOME	N	FDIC	Yes, filed amendment(s)		1196	1345	422	17	0	0			Yes			0	0	0
0000005732-15-000001	31-DEC-2014	American Registrar & Transfer Co	SOME	N	SEC	Yes, filed amendment(s)		1687	91135	91135	0	0	0			Yes			0	0	0
0000353291-15-000006	31-DEC-2014	Franklin Templeton Investor Services, LLC	SOME	N	SEC	Not applicable		734992	3616576	3616576	0	0	0			No	1	2	18325056	1366783	531
0001451316-15-000006	31-DEC-2014	Franklin Templeton Investment Services, GmbH	NONE	Y	SEC	Yes, filed amendment(s)		429	50304	50304	0	0	0			Yes			93528	1958	33
0001401565-15-000004	31-DEC-2014	Regions Bank	NONE	N	BGFRS	Not applicable		58	2271	2271	0	0	0			Yes			0	0	3
0001133796-15-000094	31-DEC-2014	CST Investor Services Inc.	SOME	Y	SEC	No, failed to file amendment(s)	Failed to file amendment for name change within 60 days, filed amended TA-1 on Feb 6, 2015 for director change and included the name change.	113171	1202985	1202985	212448	33069	0			Yes			0	0	0
0001162044-15-000668	31-DEC-2014	Mutual Shareholder Services, LLC	NONE	N	SEC	Not applicable		0	61049	61049	52284	0	0			Yes			212443	130	17
