ACCESSION_NUMBER	REGULATORYAGENCY	ENTITYNAME	PREVIOUSENTITYNAME	FINSNUMBER	DIFFERENTMAILINGADDRESS	TELEPHONENUMBER	CONDUCTBUSINESSINOTHERLOCATION	SELFTRANSFERAGENT	ENGAGEDSERVICECOMPANY	ENGAGEDASSERVICECOMPANY	REGISTRANTTYPE	REGISTRANTTYPEDESCRIPTION	OTHERCONTROLMANAGEMENT	OTHERCONTROLFINANCE	FELONYORMISDEMEANOR	OTHERFELONY	ENJOINEDINVESTRELATEDACTIVITY	VIOLATIONINVRELATEDREGULATION	FALSESTATEMENTOROMISSION	VIOLATIONOFREGULATIONS	AUTHORIZATIONDENIEDORSUSPENDED	REGISTRATIONDENIEDORSUSPENDED	FSRFALSESTATEMENTOROMISSION	FSRVIOLATEINVRELATEDREGULATION	FSRAUTHORIZEDENIEDORSUSPENDED	FSRFOUNDORDERAGAINSTAPPLICANT	FSRREGISTRATIONDENIEDSUSPENDED	FSRREVOKEDSUSPENDEDLICENSE	SRAFALSESTATEMENTOROMISSION	SRAVIOLATIONOFRULES	SRAAUTHORIZEDENIEDORSUSPENDED	SRAREVOKEDSUSPENDEDLICENSE	FOREIGNAGENCY	SUBJECTOFPROCEEDINGS	REVOKEDBOND	UNSATISFIEDJUDGEMENTSORLIENS
0001285911-20-000005	SEC	BNY MELLON TRANSFER INC	BNY Mellon Transfer, Inc.	482448	Y	212-922-7075	N	N	Y	N	Corporation		N	N	Y	N	Y	N	Y	Y	Y	Y	N	Y	N	Y	Y	N	Y	Y	N	N	Y	Y	N	N
0001140361-20-014260	SEC	BROADRIDGE CORPORATE ISSUER SOLUTIONS, INC.	STOCKTRANS INC                                          /TA	404400	N	631-254-1816	Y	N	N	Y	Corporation		N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001133702-20-000008	SEC	NATIONAL FINANCIAL SERVICES LLC /TA		061671	Y	617-563-1492	Y	N	N	Y	Corporation		N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	N	N
0000862124-20-000009	SEC	FIDELITY INVESTMENTS INSTITUTIONAL OPERATIONS CO LLC	FIDELITY INVESTMENTS WESTERN SERVICES CO INC            /TA	428219	Y	6175631492	Y	N	Y	N	Corporation		N	N	N	N	N	N	Y	Y	N	N	N	Y	N	N	N	N	N	Y	N	N	Y	N	N	N
0001557183-20-000003	SEC	ASCENSUS COLLEGE SAVINGS RECORDKEEPING SERVICES LLC	UPROMISE INVESTMENTS RECORDKEEPING SERVICES LLC	347856	N	215-648-1272	Y	N	Y	N	Other	LLC	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001007444-20-000008	SEC	LPL Financial LLC /TA	LPL Financial CORP /TA	008698	Y	800-877-7210	N	N	N	N	Other	LLC	Y	N	N	N	N	N	Y	Y	N	Y	Y	Y	N	Y	Y	N	Y	Y	N	N	N	N	Y	N
0001559963-20-000003	SEC	BNY Mellon International Operations (India) Private Ltd		347971	N	412-234-6365	Y	N	N	Y	Corporation		N	N	N	N	Y	N	Y	Y	Y	Y	N	Y	N	Y	Y	N	Y	Y	N	N	Y	Y	N	N
0001813683-20-000003	SEC	SVP4U-KYIV-1-FUND LLC		003630	Y	(786) 756 8778	N	Y	N	N	Other	Limited liability company	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
0001808525-20-000006	SEC	INVESCO INVESTMENT SERVICES INC	INVESCO AIM INVESTMENT SERVICES INC	453936	Y	713-626-1919	N	N	Y	N	Corporation		N	N	N	N	N	N	Y	Y	N	N	Y	Y	N	N	N	N	N	Y	N	N	Y	Y	N	N
0001809901-20-000002	SEC	Computershare Investor Services Ltd		366633	N	85228628534	Y	N	Y	N	Corporation		N	N	N	N	N	N	N	Y	N	Y	N	N	N	N	Y	N	N	Y	N	N	N	Y	N	N
