ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0000838135-20-000006	notTransMaintMasterSecHolder	0.0	41.0	0.0	2.0	1894.0	0.0		
0000838135-20-000006	priorAgent							0	0.0
0000838135-20-000006	securityHolderAccounts	0.0	5.99	0.0	0.1	93.91	0.0		
0000838135-20-000006	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838135-20-000006	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838135-20-000006	dividendAndInterest							1806	667804169.45
0000838135-20-000006	directRegistrationSystem							0	
0000838135-20-000006	currentAgent							0	0.0
0000838135-20-000006	dividendReinvDirectPurchasePlan							0	
0000838135-20-000005	dividendReinvDirectPurchasePlan							0	
0000838135-20-000005	dividendAndInterest							2098	610938725.6
0000838135-20-000005	directRegistrationSystem							0	
0000838135-20-000005	currentAgent							0	0.0
0000838135-20-000005	notTransMaintMasterSecHolder	0.0	37.0	0.0	2.0	2027.0	0.0		
0000838135-20-000005	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838135-20-000005	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838135-20-000005	securityHolderAccounts	0.0	5.49	0.0	0.09	94.42	0.0		
0000838135-20-000005	priorAgent							0	0.0
0000838135-20-000004	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838135-20-000004	securityHolderAccounts	0.0	5.62	0.0	0.1	94.28	0.0		
0000838135-20-000004	priorAgent							0	0.0
0000838135-20-000004	notTransMaintMasterSecHolder	0.0	38.0	0.0	2.0	1989.0	0.0		
0000838135-20-000004	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838135-20-000004	directRegistrationSystem							0	
0000838135-20-000004	dividendAndInterest							1994	549821671.27
0000838135-20-000004	dividendReinvDirectPurchasePlan							0	
0000838135-20-000004	currentAgent							0	0.0
0000080255-20-001474	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000080255-20-001474	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000080255-20-001474	priorAgent								
0000080255-20-001474	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000080255-20-001474	transNotMaintMasterSecHolder	0.0	0.0	160.0	0.0	0.0	0.0		
0000080255-20-001474	dividendAndInterest							160	2106010053.0
0000080255-20-001474	directRegistrationSystem								
0000080255-20-001474	currentAgent								
0000080255-20-001474	dividendReinvDirectPurchasePlan							160	
0001145697-20-000002	transMaintainMasterSecHolder	7.0	2.0	0.0	0.0	2148.0	0.0		
0001145697-20-000002	securityHolderAccounts	87.3	0.0	0.0	0.0	12.700000000000001	0.0		
0001145697-20-000002	priorAgent							0	0.0
0001145697-20-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001145697-20-000002	dividendReinvDirectPurchasePlan							1	
0001145697-20-000002	dividendAndInterest							2270	212237687.74
0001145697-20-000002	directRegistrationSystem							1	
0001145697-20-000002	currentAgent							0	0.0
0001145697-20-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001557183-20-000002	currentAgent							0	0.0
0001557183-20-000002	directRegistrationSystem							0	
0001557183-20-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001557183-20-000002	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001557183-20-000002	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001557183-20-000002	priorAgent							0	0.0
0001557183-20-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	61.0		
0001557183-20-000002	dividendReinvDirectPurchasePlan							0	
0001557183-20-000002	dividendAndInterest							0	0.0
0001104659-20-054696	currentAgent							0	0.0
0001104659-20-054696	transMaintainMasterSecHolder	149.0	0.0	0.0	0.0	0.0	0.0		
0001104659-20-054696	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001104659-20-054696	priorAgent							0	0.0
0001104659-20-054696	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001104659-20-054696	dividendReinvDirectPurchasePlan							0	
0001104659-20-054696	dividendAndInterest							0	0.0
0001104659-20-054696	directRegistrationSystem							132	
0001104659-20-054696	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000203281-20-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000203281-20-000001	dividendReinvDirectPurchasePlan							0	
0000203281-20-000001	dividendAndInterest							0	0.0
0000203281-20-000001	directRegistrationSystem							0	
0000203281-20-000001	currentAgent							0	0.0
0000203281-20-000001	priorAgent							0	0.0
0000203281-20-000001	securityHolderAccounts								
0000203281-20-000001	transMaintainMasterSecHolder	5.0	0.0	0.0	0.0	0.0	0.0		
0000203281-20-000001	notTransMaintMasterSecHolder	2.0	0.0	0.0	0.0	0.0	0.0		
0001007444-20-000005	dividendReinvDirectPurchasePlan							12707	
0001007444-20-000005	dividendAndInterest							18692	34859032177.0
0001007444-20-000005	directRegistrationSystem							0	
0001007444-20-000005	currentAgent							20	178855.78
0001007444-20-000005	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001007444-20-000005	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001007444-20-000005	transMaintainMasterSecHolder	0.0	0.0	12707.0	0.0	0.0	0.0		
0001007444-20-000005	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001007444-20-000005	priorAgent							0	0.0
0001451316-20-000008	currentAgent							0	0.0
0001451316-20-000008	directRegistrationSystem							0	
0001451316-20-000008	dividendAndInterest							1	217637950.36
0001451316-20-000008	dividendReinvDirectPurchasePlan							0	
0001451316-20-000008	transNotMaintMasterSecHolder	0.0	0.0	1.0	0.0	0.0	0.0		
0001451316-20-000008	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001451316-20-000008	priorAgent							0	0.0
0001451316-20-000008	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001451316-20-000008	transMaintainMasterSecHolder	0.0	0.0	1.0	0.0	0.0	0.0		
0001451316-20-000007	transNotMaintMasterSecHolder	0.0	0.0	1.0	0.0	0.0	0.0		
0001451316-20-000007	transMaintainMasterSecHolder	0.0	0.0	1.0	0.0	0.0	0.0		
0001451316-20-000007	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001451316-20-000007	priorAgent							0	0.0
0001451316-20-000007	dividendReinvDirectPurchasePlan							0	
0001451316-20-000007	dividendAndInterest							1	46986916.6
0001451316-20-000007	directRegistrationSystem							0	
0001451316-20-000007	currentAgent							0	0.0
0001451316-20-000007	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000019617-20-000283	transMaintainMasterSecHolder	83.0	0.0	0.0	1102.0	0.0	1556.0		
0000019617-20-000283	securityHolderAccounts	2.54	0.0	0.0	54.28	0.0	43.18		
0000019617-20-000283	priorAgent							0	0.0
0000019617-20-000283	notTransMaintMasterSecHolder	0.0	0.0	231.0	0.0	0.0	0.0		
0000019617-20-000283	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000019617-20-000283	dividendAndInterest							223	14673642727.0
0000019617-20-000283	directRegistrationSystem							0	
0000019617-20-000283	currentAgent							0	0.0
0000019617-20-000283	dividendReinvDirectPurchasePlan							36	
0000911282-20-000003	currentAgent							0	0.0
0000911282-20-000003	directRegistrationSystem							0	
0000911282-20-000003	dividendAndInterest							71	272141941.38
0000911282-20-000003	dividendReinvDirectPurchasePlan							9	
0000911282-20-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000911282-20-000003	priorAgent							0	0.0
0000911282-20-000003	securityHolderAccounts	21.31	0.0	0.0	78.69	0.0	0.0		
0000911282-20-000003	transMaintainMasterSecHolder	19.0	0.0	0.0	172.0	0.0	0.0		
0000911282-20-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001654954-20-003936	currentAgent							0	0.0
0001654954-20-003936	directRegistrationSystem							6	
0001654954-20-003936	dividendAndInterest							1	351053.08
0001654954-20-003936	dividendReinvDirectPurchasePlan							0	
0001654954-20-003936	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001654954-20-003936	priorAgent							0	0.0
0001654954-20-003936	securityHolderAccounts	98.36	1.6400000000000001	0.0	0.0	0.0	0.0		
0001654954-20-003936	transMaintainMasterSecHolder	60.0	1.0	0.0	0.0	0.0	0.0		
0001654954-20-003936	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000823579-20-000002	currentAgent							0	0.0
0000823579-20-000002	securityHolderAccounts	90.16	2.72	0.0	0.0	0.0	7.12		
0000823579-20-000002	transMaintainMasterSecHolder	591.0	6.0	0.0	0.0	0.0	87.0		
0000823579-20-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000823579-20-000002	priorAgent							0	0.0
0000823579-20-000002	directRegistrationSystem							23	
0000823579-20-000002	dividendAndInterest							3	4690301.53
0000823579-20-000002	dividendReinvDirectPurchasePlan							1	
0000823579-20-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001734055-20-000001	currentAgent							0	0.0
0001734055-20-000001	directRegistrationSystem							0	
0001734055-20-000001	dividendAndInterest							0	0.0
0001734055-20-000001	dividendReinvDirectPurchasePlan							0	
0001734055-20-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001734055-20-000001	priorAgent							0	0.0
0001734055-20-000001	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	0.0		
0001734055-20-000001	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001734055-20-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001460584-20-000003	currentAgent								
0001460584-20-000003	directRegistrationSystem								
0001460584-20-000003	dividendAndInterest								
0001460584-20-000003	dividendReinvDirectPurchasePlan								
0001460584-20-000003	transNotMaintMasterSecHolder								
0001460584-20-000003	priorAgent								
0001460584-20-000003	securityHolderAccounts	0.0	0.0	0.0	0.0	100.0	0.0		
0001460584-20-000003	transMaintainMasterSecHolder								
0001460584-20-000003	notTransMaintMasterSecHolder								
0001718015-20-000002	transMaintainMasterSecHolder	330.0	41.0	0.0	11.0	0.0	0.0		
0001718015-20-000002	securityHolderAccounts	96.47	1.25	0.0	2.2800000000000002	0.0	0.0		
0001718015-20-000002	priorAgent							0	0.0
0001718015-20-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001718015-20-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001718015-20-000002	dividendAndInterest							35	70604553.06
0001718015-20-000002	directRegistrationSystem							300	
0001718015-20-000002	currentAgent							0	0.0
0001718015-20-000002	dividendReinvDirectPurchasePlan							1	
0000746972-20-000001	currentAgent							0	0.0
0000746972-20-000001	directRegistrationSystem							29	
0000746972-20-000001	dividendAndInterest							5	6014826.68
0000746972-20-000001	dividendReinvDirectPurchasePlan							0	
0000746972-20-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000746972-20-000001	priorAgent							0	0.0
0000746972-20-000001	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000746972-20-000001	transMaintainMasterSecHolder	40.0	0.0	0.0	0.0	0.0	0.0		
0000746972-20-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001388002-20-000002	currentAgent							0	0.0
0001388002-20-000002	directRegistrationSystem							2532	
0001388002-20-000002	dividendAndInterest							2223	350506448.55
0001388002-20-000002	dividendReinvDirectPurchasePlan							0	
0001388002-20-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001388002-20-000002	priorAgent							0	0.0
0001388002-20-000002	securityHolderAccounts	15.02	84.93	0.0	0.0	0.05	0.0		
0001388002-20-000002	transMaintainMasterSecHolder	651.0	5015.0	0.0	0.0	4.0	0.0		
0001388002-20-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001434234-20-000002	currentAgent							0	0.0
0001434234-20-000002	directRegistrationSystem							0	
0001434234-20-000002	dividendAndInterest							0	0.0
0001434234-20-000002	dividendReinvDirectPurchasePlan							0	
0001434234-20-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001434234-20-000002	priorAgent							0	0.0
0001434234-20-000002	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001434234-20-000002	transMaintainMasterSecHolder	295.0	0.0	0.0	0.0	0.0	0.0		
0000950123-20-003087	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-20-003087	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	11.0		
0000950123-20-003087	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0000950123-20-003087	priorAgent							0	0.0
0000950123-20-003087	dividendReinvDirectPurchasePlan							4	
0000950123-20-003087	dividendAndInterest							13	383818832.0
0000950123-20-003087	directRegistrationSystem							0	
0001434234-20-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-20-003087	currentAgent							0	0.0
0000950123-20-003087	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
