ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0001535872-21-000003	corporationPartnership	1	Robert Winterle	10-NOV-2011	President	E	true		09-MAR-2018
0001535872-21-000003	corporationPartnership	2	Angela L. Lamb	31-MAR-2013	Vice President	B	true		09-MAR-2018
0001535872-21-000003	corporationPartnership	3	Page Mill Road Corporation	09-MAR-2018	Owner	E	true		
0001535872-21-000003	corporationPartnership	4	Robert Winterle	31-JUL-2021	President	D	true		
0001535872-21-000003	corporationPartnership	5	Angela L. Lamb	31-JUL-2021	Vice President	B	true		
0000897101-21-000779	corporationPartnership	1	Equiniti Group, PLC, Equiniti ICS Limited (Belfast, UK)	01-JAN-2013	100% Owner	E	false		
0001718015-21-000008	corporationPartnership	1	JENNA KAYE	09-SEP-2017	CEO	B	true		
0001718015-21-000008	corporationPartnership	2	John Campbell	19-SEP-2017	PRESIDENT	NA	true		
0001718015-21-000008	corporationPartnership	14	Frank Kailik	06-DEC-2018	VICE PRESIDENT	NA	true		
0001718015-21-000008	corporationPartnership	3	Scott Saxberg	19-SEP-2017	DIRECTOR	B	true		
0001718015-21-000008	corporationPartnership	4	Randy Gregory	19-SEP-2017	Chairman & Director	NA	true		
0001718015-21-000008	corporationPartnership	5	Nicholas Johnson	19-SEP-2017	Director	A	true		
0001718015-21-000008	corporationPartnership	6	Sadiq Lalani	19-SEP-2017	Director	NA	true		
0001718015-21-000008	corporationPartnership	7	Dianna Reimer	19-SEP-2017	Chief Strategy Officer	NA	true		
0001718015-21-000008	corporationPartnership	8	Lisa Scotland	19-SEP-2017	CCO, CRO	NA	true		
0001718015-21-000008	corporationPartnership	9	Daniel Sander	19-SEP-2017	EVP, Corporate Trust	NA	true		
0001718015-21-000008	corporationPartnership	10	Dan Eisner	19-SEP-2017	Director	NA	true		
0001718015-21-000008	corporationPartnership	11	MARILOU HAZEL JUANTA	10-AUG-2020	RISK OFFICER	NA	true		
0001718015-21-000008	corporationPartnership	12	Robert Morton	30-OCT-2020	Director	NA	true		
0001718015-21-000008	corporationPartnership	13	MARIA NARDI	30-MAR-2021	COO	NA	true		
0001794142-21-000007	soleProprietorship	1	DTAC Holdings LLC	06-NOV-2019	Owner			Sole Member of Registrant	
0001794142-21-000007	soleProprietorship	2	Mason Borda	06-NOV-2019	Manager			Control of Registrant	
0001387131-21-009515	soleProprietorship	1	Armor Holdings II LLC	23-MAY-2008	Shareholder			N/A	
0001387131-21-009515	soleProprietorship	18	Praneet Kandula	16-AUG-2021	Director			N/A	
0001387131-21-009515	soleProprietorship	17	Rohan Wolfer	17-SEP-2019	Director			N/A	
0001387131-21-009515	soleProprietorship	2	Armor Holdco, Inc.	23-MAY-2008	Shareholder			N/A	
0001387131-21-009515	soleProprietorship	3	Robert M. Carney, Sr.	27-FEB-2012	President, Issuer & Investor Services			N/A	
0001387131-21-009515	soleProprietorship	4	Sarah Kavanagh	18-NOV-2011	Director			N/A	
0001387131-21-009515	soleProprietorship	5	Stephen Fradkin	30-APR-2014	Director			N/A	
0001387131-21-009515	soleProprietorship	6	Armando Falcon	23-APR-2014	Director			N/A	
0001387131-21-009515	soleProprietorship	7	Simon Pillar	28-JAN-2015	Director			N/A	
0001387131-21-009515	soleProprietorship	8	Jacob Haines	24-MAR-2010	Director			N/A	
0001387131-21-009515	soleProprietorship	9	Martin Flanigan	05-SEP-2012	Chief Financial Officer and Director			N/A	02-JAN-2019
0001387131-21-009515	soleProprietorship	10	Thomas Cortese	19-OCT-2015	Chief Compliance Officer			N/A	
0001387131-21-009515	soleProprietorship	11	Asher Richelli	18-DEC-2014	Chief Legal Officer			N/A	
0001387131-21-009515	soleProprietorship	12	David Chitty	12-JUN-2017	EVP Compliance, Risk & Corp. Security			N/A	
0001387131-21-009515	soleProprietorship	13	Martin Flanigan	22-MAY-2018	President & Chief Executive Officer			N/A	
0001387131-21-009515	soleProprietorship	14	Brett Weinblatt	02-JAN-2019	Chief Financial Officer			N/A	
0001387131-21-009515	soleProprietorship	15	Jeffrey Fitts	04-SEP-2020	Director			N/A	
0001387131-21-009515	soleProprietorship	16	Mark Rubenstein	04-SEP-2020	Director			N/A	16-AUG-2021
0001881971-21-000002	corporationPartnership	1	Gene Nelson	01-AUG-2021	CEO	E	true		
0001881971-21-000002	corporationPartnership	2	Anna Kotlova	01-AUG-2021	President	NA	true		
0001881971-21-000002	corporationPartnership	3	Olessia Kritskaia	13-AUG-2021	Operations Manager	NA	true		
0001718015-21-000007	corporationPartnership	1	JENA KAYE	09-SEP-2017	CEO	B	true		
0001718015-21-000007	corporationPartnership	2	John Campbell	19-SEP-2017	PRESIDENT	NA	true		
0001718015-21-000007	corporationPartnership	3	Scott Saxberg	19-SEP-2017	DIRECTOR	B	true		
0001718015-21-000007	corporationPartnership	4	Randy Gregory	19-SEP-2017	Chairman & Director	NA	true		
0001718015-21-000007	corporationPartnership	5	Nicholas Johnson	19-SEP-2017	Director	A	true		
0001718015-21-000007	corporationPartnership	6	Sadiq Lalani	19-SEP-2017	Director	NA	true		
0001718015-21-000007	corporationPartnership	14	Frank Kailik	06-DEC-2018	VICE PRESIDENT	NA	true		
0001718015-21-000007	corporationPartnership	8	Lisa Scotland	19-SEP-2017	CCO, CRO	NA	true		
0001718015-21-000007	corporationPartnership	9	Daniel Sander	19-SEP-2017	EVP, Corporate Trust	NA	true		
0001718015-21-000007	corporationPartnership	10	Dan Eisner	19-SEP-2017	Director	NA	true		
0001718015-21-000007	corporationPartnership	11	MARILOU HAZEL JUANTA	10-AUG-2020	RISK OFFICER	NA	true		
0001718015-21-000007	corporationPartnership	12	Robert Morton	30-OCT-2020	Director	NA	true		
0001718015-21-000007	corporationPartnership	13	MARIA NARDI	30-MAR-2021	COO	NA	true		
0001718015-21-000007	corporationPartnership	7	Dianna Reimer	19-SEP-2017	Chief Strategy Officer	NA	true		
0001133702-21-000005	corporationPartnership	1	Fidelity Global Brokerage Group, Inc	01-AUG-2000	Parent	E	true		
0001133702-21-000005	corporationPartnership	23	Amy DeVasto	02-SEP-2021	Chief Compliance Officer Transfer Agent	NA			
0001133702-21-000005	corporationPartnership	3	Thomas Lux	01-SEP-2006	CFO	NA			01-JUN-2009
0001133702-21-000005	corporationPartnership	4	Norman Malo	01-AUG-2000	Director & CEO	NA	true		01-APR-2009
0001133702-21-000005	corporationPartnership	5	Ellyn McColgan	01-APR-2003	Director	NA	true		15-AUG-2007
0001133702-21-000005	corporationPartnership	6	Gerard McGraw	01-APR-2003	Director & CEO	NA	true		02-OCT-2017
0001133702-21-000005	corporationPartnership	7	Christine Selmi	01-JUL-2017	Treasuer	NA	true		21-MAY-2020
0001133702-21-000005	corporationPartnership	8	Richard OBrien	01-AUG-2002	Chief Compliance Officer	NA			31-MAR-2020
