ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0001817495-23-000006	otherControlFinance	1	Maher Hafez	Participated in one of the raises (2019)
0001018490-23-000030	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-23-000030	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0000733598-23-000005	otherControlManagement	1	AllianceBernstein Holding L.P. and Equitable Holdings, Inc.	AllianceBernstein Investor Services, Inc. is a wholly-owned subsidiary of AllianceBernstein L.P., which in turn is owned by AllianceBernstein Holding L.P. and Equitable Holdings, Inc.
0001458682-23-000004	otherControlFinance	2	Pelle Ojasu	REMOVED. Became a member of LLC per Operating Agreement effective 6/1/09. Ceased to be a member effective 9/13/17.
0001458682-23-000004	otherControlFinance	4	Regina Diane Kennedy and David Kennedy	REMOVED. Became a member of LLC per Operating Agreement effective 3/1/10. Regina Diane Kennedy and David Kennedy are deceased and all membership units originally owned by them were transferred to Kara Kennedy effective 2/4/17.
0001458682-23-000004	otherControlFinance	3	Ruth Makofske	REMOVED. Became a member of LLC per Operating Agreement effective 6/1/09. Ceased to be a member effective 12/8/11.
0001458682-23-000004	otherControlFinance	1	Robert Kennedy	Member of LLC per Operating Agreement effective 3/1/10.
0001018490-23-000027	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001018490-23-000027	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001202048-23-000004	otherControlManagement	1	The Variable Annuity Life Insurance Company, AGC Life Insurance Company, AIG Life Holdings, Inc., Corebridge Financial, Inc., and American Intl Group.	"VALIC Retirement Services Company (""VRSCO"") is a wholly owned subsidiary of The Variable Annuity Life Insurance Company (""VALIC"").  VRSCO and VALIC are indirectly owned 100% by Corebridge Financial, Inc. (""CRBG"").  As of June 30, 2023, CRBG was owned approximately 9.9% by Argon Holdco LLC, a wholly owned subsidiary of Blackstone, Inc., 65.3% by American International Group, Inc. and 24.8% by public shareholders."
0001920289-23-000003	otherControlManagement	1	Schuyler Laird	Head of Fidelity Stock Transfer Solutions
0001133702-23-000003	otherControlFinance	1	FMR LLC	Directly and indirectly, through certain of its affiliated companies, FMR LLC wholly or partially may finance Fidelity Business Services India Private Limited
0001133702-23-000003	otherControlManagement	1	FMR LLC	Through certain of its direct or indirect subsidiaries, FMR LLC is the ultimate parent company of Fidelity Business Services India Private Limited
0000733598-23-000004	otherControlManagement	1	AllianceBernstein Holding L.P. and Equitable Holdings, Inc.	AllianceBernstein Investor Services, Inc. is a wholly-owned subsidiary of AllianceBernstein L.P., which in turn is owned by AllianceBernstein Holding L.P. and Equitable Holdings, Inc.
0001018490-23-000025	otherControlManagement	1	Various - See below.	DB Services Americas, Inc. (DBSA) was established as a servicing company to provide operational services to Deutsche Bank Trust Company Americas (DBTCA) and Deutsche Bank National Trust Company (DBNTC). DBSA does not have any third party client agreements. Rather, DBSA, as engaged by DBTCA and DBNTC provides technical and administrative support services including data processing, maintenance of appropriate records in accordance with existing standards, recordkeeping and accounting functions in connection with services provided to DBTCAs and DBNTCs clients. DBTCA and DBNTC have appointed DBSA as its agent to act on their behalf in connection with the transfer and servicing of securities. Accounts are maintained jointly by DBTCA, DBNTC and DBSA. DBSA in its transfer agent function provides services to DBTCA and DBNTC in a manner as if DBSA is an independent, dedicated contractor that works solely for DBTCA and DBNTC and no other transfer agent. There is a shared system of database for DBTCA, DBNTC and DBSA.
0001018490-23-000025	otherControlFinance	1	Various - See below.	A Deutsche Bank AG holding company, Deutsche Bank Trust Corporation, provided the original, capital funding for the Registrant and for a time provided a line of credit for working capital. Working capital is now provided via service fees which originate from inter-company billings for the services rendered.
0001139578-23-000006	otherControlManagement	1	OCE US Holding Inc.	Holding company of Harbor Capital Advisors, Inc.
