ACCESSION_NUMBER	CORP_PARTNER_TYPE	CORP_PARTNER_ID	ENTITYNAME	RELATIONSHIPSTARTDATE	TITLEORSTATUS	OWNERSHIPCODE	CONTROLPERSON	AUTHORITYDESCRIPTION	RELATIONSHIPENDDATE
0000810704-25-000001	corporationPartnership	10	Judy R. Trollinger	01-JAN-1999	Assistant Secretary	NA			01-MAY-2017
0000810704-25-000001	corporationPartnership	4	Alison S. Rand	31-DEC-1998	Executive Vice President	NA	true		24-JUL-2019
0000810704-25-000001	corporationPartnership	6	Jimmie B. Barnhill	01-SEP-2006	Vice President	NA			
0000810704-25-000001	corporationPartnership	25	Michael Lesutis 	01-OCT-2024	Senior Vice President and Chief Counsel	NA			
0000810704-25-000001	corporationPartnership	23	Michael K. Wells	25-JUL-2023	Treasurer	NA			
0000810704-25-000001	corporationPartnership	21	James Alexander Taylor	16-MAY-2016	Assistant Secretary	NA			
0000810704-25-000001	corporationPartnership	19	David Ian How	01-JUN-2018	Senior Vice President	NA			
0000810704-25-000001	corporationPartnership	17	Estelle Faranda	16-JAN-2020	Director, CEO and President	NA	true		30-SEP-2023
0000810704-25-000001	corporationPartnership	15	Todd M. Cooperider	15-AUG-2013	Assistant Secretary	NA			
0000810704-25-000001	corporationPartnership	13	Primerica, Inc.	01-APR-2010	Indirect Parent Company	E	true		
0000810704-25-000001	corporationPartnership	11	Gloria Tyree Pullard	01-MAY-2017	Assistant Secretary	NA			01-MAR-2018
0000810704-25-000001	corporationPartnership	9	Sharon Grubenhoff	01-SEP-2011	SVP, Chief Financial Officer & Treasurer	NA			25-JUL-2023
0000810704-25-000001	corporationPartnership	7	Janet Kelly	15-OCT-2014	Vice President and Assistant Secretary	NA			01-JUN-2018
0000810704-25-000001	corporationPartnership	5	John S. Watts, III	01-JAN-2001	SVP and Chief Legal Counsel	NA			01-OCT-2024
0000810704-25-000001	corporationPartnership	3	Melanie J. Mitchell	19-DEC-2008	Executive Vice President	NA	true		24-JUL-2019
0000810704-25-000001	corporationPartnership	1	William A. Kelly	21-JAN-1997	Executive Vice President	NA	true		28-AUG-2020
0000810704-25-000001	corporationPartnership	24	Paul Etienne Regard	01-OCT-2023	Director, CEO and President	NA	true		
0000810704-25-000001	corporationPartnership	22	Brian Weigle	31-MAR-2023	Director	NA			
0000810704-25-000001	corporationPartnership	20	Kurt J. Simmons	30-NOV-2009	Assistant Secretary	NA			02-OCT-2023
0000810704-25-000001	corporationPartnership	18	William Nemetz	01-FEB-2022	Director and Executive Vice President	NA	true		
0000810704-25-000001	corporationPartnership	16	Asa Behnia	01-JUN-2018	Assistant Secretary	NA			
0000810704-25-000001	corporationPartnership	14	Stacey K. Geer	01-AUG-2012	Secretary	NA			
0000810704-25-000001	corporationPartnership	12	Primerica Finance Corporation	20-DEC-1994	Parent Company	E	true		
0000810704-25-000001	corporationPartnership	2	Cynthia K. Mitchell	17-JAN-1995	Executive Vice President	NA	true		01-FEB-2022
0000810704-25-000001	corporationPartnership	8	Daniel A. Woodring	01-SEP-2005	EVP and Chief Compliance Officer	NA			
0000733598-25-000002	corporationPartnership	6	Jackie Marks	01-MAR-2024	SVP/Chief Financial Officer	NA	true		12-MAR-2025
0000733598-25-000002	corporationPartnership	7	Gary Krueger	11-OCT-1985	SVP/Controller	NA	true		
0000733598-25-000002	corporationPartnership	2	Mark R. Manley	21-MAY-1984	SVP/General Counsel & Corporate Sec.	NA	true		
0000733598-25-000002	corporationPartnership	4	Thomas Simeone	30-AUG-2004	SVP/Chief Financial Officer	NA	true		
0000733598-25-000002	corporationPartnership	5	Kyle DiGangi	04-FEB-2019	SVP/Global Head of Compliance	NA	true		
0000733598-25-000002	corporationPartnership	3	AllianceBernstein L.P.	16-NOV-1983	Corporate Parent	E	true		
0000733598-25-000002	corporationPartnership	1	Peter G. Callahan	09-MAR-1987	SVP/Hd of ABIS & Retail Infrastruct Svc	NA	true		
0000872657-25-000003	corporationPartnership	5	Susan Nakai	06-MAR-2025	Director	NA	true		
0000872657-25-000003	corporationPartnership	3	Peter DeLibro	01-JAN-2022	Director	NA	true		
0000872657-25-000003	corporationPartnership	1	T. Rowe Price Associates, Inc. 	01-JUN-1982	Shareholder	E	true		
0000872657-25-000003	corporationPartnership	6	Alan Dupski	06-MAR-2025	Director	NA	true		
0000872657-25-000003	corporationPartnership	4	Andrew Redding	06-MAR-2025	Director	NA	true		
0000872657-25-000003	corporationPartnership	2	Phil Korenman	01-JAN-2022	Chair/Director	NA	true		
0001898031-25-000007	soleProprietorship	1	Jeremy May	14-SEP-2020	CEO, Manager			Controls firm affairs, Owner>25%	
0001898031-25-000007	soleProprietorship	2	Christopher Moore	26-JUL-2021	General Counsel			Directs legal affairs	
0001898031-25-000007	soleProprietorship	5	Bradley Swenson	31-DEC-2022	Chief Compliance Officer			Directs firm compliance affairs	
0001898031-25-000007	soleProprietorship	4	SLCT Holdings, LLC	07-JUN-2021	Owner			Owner >25% of Firm, No Control	
0001898031-25-000007	soleProprietorship	3	Jonathan Vickery	15-MAR-2021	Chief Technology Officer			Directs Technology Affairs	
0001049169-25-000006	corporationPartnership	6	Brian N. Schell	04-OCT-2023	VP, Treasurer	NA	true		
0001049169-25-000006	corporationPartnership	4	Stephen Kyllo	05-JUL-2020	Chief Compliance Officer	NA	true		
0001049169-25-000006	corporationPartnership	2	Richard Noyes	01-JUL-2016	SVP, General Counsel and Asst. Secretary	NA	true		
0001049169-25-000006	corporationPartnership	5	Jason White	01-SEP-2021	Secretary	NA	true		
0001049169-25-000006	corporationPartnership	7	Neal Chansky	04-OCT-2023	Director, President	NA	true		
0001049169-25-000006	corporationPartnership	3	Eric T. Parsons	01-AUG-2012	VP, Controller and Asst. Treasurer	NA	true		
0001049169-25-000006	corporationPartnership	1	Patricia P. Lobato	12-SEP-2008	SVP, Director of Creative Services	NA	true		
0001550840-25-000005	corporationPartnership	4	Rahul Kanwar	17-MAR-2023	Authorized Signatory	NA	true		31-DEC-2024
0001550840-25-000005	corporationPartnership	6	Ning Zhang	31-DEC-2024	DIrector and President	NA	true		
0001550840-25-000005	corporationPartnership	2	Jason White	01-NOV-2021	Director and Secretary	NA	true		
0001550840-25-000005	corporationPartnership	5	Brian N. Schell	04-OCT-2023	Director and Chief Financial Officer	NA	true		
0001550840-25-000005	corporationPartnership	3	Christopher Kundro	17-MAR-2023	President	NA	true		31-DEC-2024
0001550840-25-000005	corporationPartnership	1	Adam Girard	31-MAY-2018	Tax Officer	NA	true		
0000849542-25-000002	corporationPartnership	3	Calvin G. Holmquist	01-JUN-2014	President & Board Chairman	NA	true		30-SEP-2020
0000849542-25-000002	corporationPartnership	5	Christine Gill	29-SEP-2017	Board Director	NA	true		25-JAN-2022
0000849542-25-000002	corporationPartnership	7	Timothy LiVolsi	07-FEB-2018	Board Director	NA	true		30-JUN-2021
0000849542-25-000002	corporationPartnership	9	William Allsopp	01-JAN-2019	CCO	NA	true		
0000849542-25-000002	corporationPartnership	11	BNY Mellon US Services Holdings LLC f/k/a BNYM GIS Funding	01-JUL-2010	Parent Entity	E	true		
0000849542-25-000002	corporationPartnership	13	The Bank of New York Mellon Corporation	01-JUL-2010	Ultimate Parent Entity	E	true		
0000849542-25-000002	corporationPartnership	15	Julie Shores	03-FEB-2021	Board Director	NA	true		15-NOV-2022
0000849542-25-000002	corporationPartnership	17	Janelle Prevost	25-JAN-2022	Board Director	NA	true		
0000849542-25-000002	corporationPartnership	19	Timothy Schilling	01-FEB-2023	Board Director	NA	true		
0000849542-25-000002	corporationPartnership	2	Stephen P. Farlese	11-OCT-2013	Board Director	NA	true		
0000849542-25-000002	corporationPartnership	4	David Cullman	29-SEP-2017	Board Director	NA	true		18-NOV-2022
0000849542-25-000002	corporationPartnership	6	Matthew A. Wells	29-SEP-2017	Board Director	NA	true		25-JAN-2022
0000849542-25-000002	corporationPartnership	8	Nicole Fouron	19-OCT-2018	Board Director	NA	true		25-JAN-2022
0000849542-25-000002	corporationPartnership	10	Michael DeNofrio	01-DEC-1999	Board Director	NA	true		31-DEC-2020
0000849542-25-000002	corporationPartnership	12	The Bank of New York Mellon	01-JUL-2010	Owner of Parent Entity	E	true		
0000849542-25-000002	corporationPartnership	14	Alexandra Waite Goodburn	29-OCT-2020	President & Board Chairman	NA	true		
0000849542-25-000002	corporationPartnership	16	Jean Marshall	25-JAN-2022	Board Director	NA	true		26-JUL-2024
0000849542-25-000002	corporationPartnership	18	Jonathan Mann	25-JAN-2022	Board Director	NA	true		
0000849542-25-000002	corporationPartnership	1	Joseph G. Bawiec	31-MAR-2009	CFO	NA	true		
0000842657-25-000004	corporationPartnership	4	Deutsche Asset Management US Holding Corporation (DeAM US Holding Corp.)	01-AUG-2017	100% owner of DIMA	E	true		01-MAY-2018
0000842657-25-000004	corporationPartnership	13	Diane Kenneally	08-JUL-2019	Vice President	NA	true		
0000842657-25-000004	corporationPartnership	2	Nancy Tanzil	13-MAY-2014	Chief Financial Officer and Treasurer	NA	true		
0000842657-25-000004	corporationPartnership	15	Ciara Crawford	30-JUN-2024	Secretary	NA			
0000842657-25-000004	corporationPartnership	12	Nicole Grogan	26-JUL-2019	Director and Vice President	NA			
0000842657-25-000004	corporationPartnership	10	DWS USA Corporation	01-MAY-2018	100% owner of DIMA	E	true		
0000842657-25-000004	corporationPartnership	8	DWS Group GmbH & Co KGaA	02-APR-2018	100% owner of DWS USA Corporation	E	true		
0000842657-25-000004	corporationPartnership	6	Anjie LaRocca	14-JUN-2017	Secretary	NA			30-JUN-2024
0000842657-25-000004	corporationPartnership	1	Kristine Lyons	22-SEP-2005	Director and Vice President	NA	true		
0000842657-25-000004	corporationPartnership	3	DWS Investment Management Americas Inc.	06-FEB-1998	100% owner of Registrant	E	true		
0000842657-25-000004	corporationPartnership	5	Michael Sharkey	01-NOV-2017	Director and President	NA	true		
0000842657-25-000004	corporationPartnership	7	Deutsche Bank AG	02-APR-2018	owner of DB Beteiligungs - Holding GmbH	E	true		
0000842657-25-000004	corporationPartnership	9	DB Beteiligungs - Holding GmbH	02-APR-2018	79.49% owner of DWS Group GmbH & Co KGaA	E	true		
0000842657-25-000004	corporationPartnership	11	Hepsen Uzcan	25-JUN-2018	Director and Vice President	NA	true		
0000842657-25-000004	corporationPartnership	14	Ciara Crawford	25-JUN-2018	Assistant Secretary	NA			30-JUN-2024
0000842657-25-000004	corporationPartnership	16	: Maci Joplin	30-JUN-2024	Assistant Secretary	NA			
0001090027-25-000003	corporationPartnership	4	Byron Bowman	01-APR-2015	Secretary/General Counsel	NA	true		
0001090027-25-000003	corporationPartnership	2	Terrall Janeway	01-OCT-1998	SVP/COO	NA	true		
0001090027-25-000003	corporationPartnership	7	Steven Hansen	21-MAY-2022	CFO	NA			
0001090027-25-000003	corporationPartnership	5	PlanMember Financial Corporation	01-DEC-1991	Direct Owner	E			
0001090027-25-000003	corporationPartnership	3	Sean Haley	08-MAR-2019	FVP & Chief Compliance Officer	NA			
0001090027-25-000003	corporationPartnership	1	Jon M. Ziehl	01-SEP-1984	Director/CEO/President	C	true		
0001090027-25-000003	corporationPartnership	6	Equitable Distribution Holding Corp	14-FEB-2013	Indirect Owner	C			
0002056718-25-000002	soleProprietorship	7	Jason Patrick Plaza	29-JAN-2025	Vice President			Manager with decision-making authority	
0002056718-25-000002	soleProprietorship	2	Nicholas Degan Viens	29-JAN-2025	Principal and Vice President			Manager with decision-making authority	
0002056718-25-000002	soleProprietorship	4	Jeffrey Allen Robbins	29-JAN-2025	Director			Board of Directors	
0002056718-25-000002	soleProprietorship	5	Trevor Mark Nesbit	29-JAN-2025	Director			Board of Directors	
0002056718-25-000002	soleProprietorship	1	Aaron Jameson Pollak	29-JAN-2025	Principal & President			Manager with decision-making authority	
0002056718-25-000002	soleProprietorship	3	Peter Pollak	29-JAN-2025	Director			Board of Directors	
0002056718-25-000002	soleProprietorship	6	Christa Ranae Ferrari	29-JAN-2025	Director			Board of Directors	
0001096906-25-000282	corporationPartnership	3	Jason Carter	01-FEB-2014	Secretary	B	true		
0001096906-25-000282	corporationPartnership	1	Kathleen G. Carter	01-FEB-2014	President	C	true		
0001096906-25-000282	corporationPartnership	2	Daniel Carter	01-FEB-2014	Treasurer	B	true		
0001140361-25-009814	soleProprietorship	2	Steven Jay Rosenthal	28-SEP-2012	Manager and Treasurer			Manager and Treasurer	
0001140361-25-009814	soleProprietorship	7	Ashima Ghei	01-JUL-2024	Manager, Vice President, and CFO			Manager, Vice President, and CFO	
0001140361-25-009814	soleProprietorship	5	Adam Tamas	01-JAN-2023	Assistant Secretary			Assistant Secretary	
0001140361-25-009814	soleProprietorship	3	Laura Matlin	01-JUL-2021	Manager, President, and Secretary			Manager, President, and Secretary	31-JAN-2025
0001140361-25-009814	soleProprietorship	1	Broadridge Financial Solutions, Inc.	08-MAR-2010	Owner			Indirect controlling parent entity	
0001140361-25-009814	soleProprietorship	8	Todd Lenart	15-NOV-2024	Assistant Secretary			Assistant Secretary	
0001140361-25-009814	soleProprietorship	6	Ryan Walter Wade	12-FEB-2024	General Manager, BCIS			General Manager, BCIS	
0001140361-25-009814	soleProprietorship	4	Steven Glantz	01-JAN-2023	Assistant Secretary			Assistant Secretary	
0001140361-25-009814	soleProprietorship	9	Hope Jarkowski	01-FEB-2025	Manager, President, and Secretary			Manager, President, and Secretary	
0001654954-25-003121	corporationPartnership	1	ACCESS Newswire Inc. (f/k/a Issuer Direct Corp)	01-OCT-2008	Direct Owner	E	true		
0001654954-25-003121	corporationPartnership	2	Brian Balbirnie	01-OCT-2008	President and CEO	NA	true		
0001557183-25-000004	soleProprietorship	1	Margaret Brennan Creonte	29-MAY-2020	President			Control Person	
0001557183-25-000004	soleProprietorship	5	Joseph Drew Dansky	01-MAY-2020	Secretary			Control Person	24-FEB-2025
0001557183-25-000004	soleProprietorship	7	ASCENSUS, LLC	01-JAN-2025	100% SHAREHOLDER			CONTROL PERSON	
0001557183-25-000004	soleProprietorship	8	Phillip Gillespie	24-FEB-2025	Secretary			Control Person	
0001557183-25-000004	soleProprietorship	6	Thomas Joseph Hewitt	01-MAY-2023	Senior Vice President			Control Person	
0001557183-25-000004	soleProprietorship	4	Robert Barry Kaplan	20-JUL-2018	Chief Compliance Officer			Control Person	
0001557183-25-000004	soleProprietorship	2	Michael Folmer	15-JUL-2015	Treasurer/VP, Tax and Finance			Control Person	
0001557183-25-000004	soleProprietorship	3	Ascensus Group, LLC	26-JUL-2012	Sole Member			Control Person	31-DEC-2024
0001654954-25-003011	corporationPartnership	1	ACCESS Newswire Inc. (f/k/a Issuer Direct Corp)	02-OCT-2017	Parent Company	E	true		
0001448300-25-000002	corporationPartnership	2	Robert L. Reynolds	16-OCT-2008	Director	NA	true		02-JAN-2024
0001448300-25-000002	corporationPartnership	4	Michael J. Woodall	16-DEC-2016	President, Putnam Investor Services, Inc	NA	true		04-JAN-2024
0001448300-25-000002	corporationPartnership	6	Andra S. Bolotin	01-JUN-2017	Chief Financial Officer and Director	NA	true		02-JAN-2024
0001448300-25-000002	corporationPartnership	8	Aaron M. Cooper	01-FEB-2019	EVP and Chief Operating Officer	NA	true		17-SEP-2024
0001448300-25-000002	corporationPartnership	10	Heidi Croel	04-JAN-2024	Director and President	NA	true		01-APR-2024
0001448300-25-000002	corporationPartnership	12	Basil K Fox Jr	01-APR-2024	Director and President	NA	true		
