ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001520138-25-000104	1	31-DEC-2024	0	0
0001410382-25-000005	1	31-DEC-2022	27111	5007
0000950123-25-003257	2	30-SEP-2024	25	24
0000950123-25-003257	1	31-MAR-2024	194	165
0001853914-25-000002	1	31-DEC-2024	0	0
0000854729-25-000003	2	24-OCT-2024	0	0
0000854729-25-000003	1	24-APR-2024	1	0
0000839097-25-000003	1		0	0
0001641172-25-001783	1	02-SEP-2024	1	1
0001866046-25-000001	1	31-MAR-2025	0	0
0000848027-25-000002	1		0	0
0001170078-25-000001	3	15-MAR-2024	247	81
0001170078-25-000001	4	15-APR-2024	77	21
0001170078-25-000001	11	15-NOV-2024	49	16
0001170078-25-000001	6	17-JUN-2024	155	55
0001170078-25-000001	12	16-DEC-2024	740	32
0001170078-25-000001	8	15-AUG-2024	36	12
0001170078-25-000001	9	16-SEP-2024	117	35
0001170078-25-000001	10	15-OCT-2024	135	51
0001170078-25-000001	5	15-MAY-2024	25	13
0001170078-25-000001	2	15-FEB-2024	167	52
0001170078-25-000001	1	16-JAN-2024	362	79
0001170078-25-000001	7	15-JUL-2024	129	63
0001018490-25-000009	10	06-DEC-2024	4	3
0001018490-25-000009	9	08-OCT-2024	1	0
0001018490-25-000009	8	10-SEP-2024	8	5
0001018490-25-000009	7	07-AUG-2024	8	3
0001018490-25-000009	5	07-JUN-2024	11	4
0001018490-25-000009	4	01-MAY-2024	1	0
0001018490-25-000009	3	05-APR-2024	3	2
0001018490-25-000009	2	07-MAR-2024	2	2
0001018490-25-000009	1	19-JAN-2024	1	0
0001018490-25-000009	6	08-JUL-2024	5	1
0001388002-25-000004	1	26-APR-2024	0	0
0001388002-25-000004	2	24-OCT-2024	1	0
0001137439-25-000257	1	21-MAR-2025	0	0
0001520138-25-000095	1	31-DEC-2024	0	0
0001227021-25-000004	1	31-MAR-2025	0	0
0000810704-25-000002	1		0	0
0000737074-25-000001	1	31-DEC-2024	0	0
0000838966-25-000004	3	01-AUG-2022	1	1
0000838966-25-000004	2	01-JUL-2022	1	1
0000838966-25-000004	1	03-MAR-2022	3	1
0001808525-25-000003	1	31-MAR-2025	0	0
0001410382-25-000002	1	31-DEC-2024	36078	16696
0001410382-25-000001	1	31-DEC-2024	24146	16364
0000838966-25-000003	1	31-DEC-2024	0	0
0000735286-25-000014	1	07-FEB-2025	20950	1603
0000735286-25-000014	2	07-FEB-2025	9698	4232
0001985383-25-000003	1	31-DEC-2024	0	0
0001998958-25-000007	1	07-JUN-2024	5525	2
0001998958-25-000007	2	16-DEC-2024	538	203
0001401565-25-000002	1	31-DEC-2024	0	0
0000733598-25-000001	7	10-JUL-2024	17	3
