ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001520138-25-000104	31-DEC-2024	Silicon Prairie Registrar & Transfer LLC	None	N	SEC	Not applicable		1	2814	2814	0	0	0			Yes			0	0	0
0001410382-25-000005	31-DEC-2022	RCH Shareholder Services, LLC	None	Y	SEC	Not applicable		323703	0	33	1311	0	0			Not Applicable			238704	0	315
0000950123-25-003257	31-DEC-2024	Strategic Transfer Agent Services, LLC	None	N	SEC	Not applicable		633	21087	1795	0	0	0			Not Applicable			0	0	0
0001853914-25-000002	31-DEC-2024	Brassica Services LLC (T-A)	None	N	SEC	Yes, filed amendment(s)		81	182757	182757	0	0	0			Yes			0	0	0
0000854729-25-000004	31-DEC-2024	UMB BANK & TRUST NATIONAL ASSOCIATION	All	N	OCC	Not applicable															
0000854729-25-000003	31-DEC-2024	UMB BANK NA	None	Y	OCC	Not applicable		113	78796	78796	0	0	0			Yes			0	0	12
0000839097-25-000003	31-DEC-2024	DEUTSCHE BANK TRUST CO AMERICAS /TA	Some	Y	BGFRS	Not applicable		0	2	2	0	0	0			Yes			0	0	304
0001641172-25-001783	31-DEC-2024	Equity Stock Transfer, LLC	None	Y	SEC	Yes, filed amendment(s)		4635	45348	45348	0	34294	0			Yes			0	0	0
0001866046-25-000001	31-DEC-2024	DealMaker Transfer Agent LLC	Some	N	SEC	Yes, filed amendment(s)		45	213519	213464	0	209760	0			Yes			0	0	0
0000848027-25-000002	31-DEC-2024	DEUTSCHE BANK NATIONAL TRUST CO /TA	Some	Y	OCC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001170078-25-000001	31-DEC-2024	JANUS HENDERSON SERVICES US LLC	Some	N	SEC	Yes, filed amendment(s)		35412	1106977	1106977	1085804	0	0			Not Applicable			4116040	18213	263
0001018490-25-000009	31-DEC-2024	DB SERVICES AMERICAS INC /TA	None	Y	SEC	No, failed to file amendment(s)	Two amendments for DB group affiliates were filed late through no fault of the DBSA registrant. Amendment 000006 was late due to confidentiality issues with the regulator. Amendment 000014 was late due to the DB Registration team not being notified timely	234	30160	30160	0	2	0			Yes			0	0	0
0001388002-25-000004	31-DEC-2024	HSBC Bank USA, National Association	None	N	OCC	Yes, filed amendment(s)		12966	4215	4215	0	0	0			Yes			0	0	43
0001137439-25-000257	31-DEC-2024	StartEngine Secure LLC	None	N	SEC	Not applicable		519	360298	360298	0	0	0			Yes			0	0	0
0001520138-25-000095	31-DEC-2024	TWO12 STOCK TRANSFER LLC	Some	N	SEC	Not applicable		0	0	0	0	0	0			Yes			0	0	0
0001227021-25-000004	31-DEC-2024	BROWN BROTHERS HARRIMAN & CO	None	N	SEC	Yes, filed amendment(s)		1055	28438	28438	379	85	0			Yes			14895	0	0
0001022437-25-000002	31-DEC-2024	DEUTSCHE BANK AG	All	N	BGFRS	Not applicable															
0000810704-25-000002	31-DEC-2024	PRIMERICA SHAREHOLDER SERVICES, INC.	Some	Y	SEC	No, failed to file amendment(s)	Due to human error, amendments made to the TA-1/A: Independent, Non-Issuer Registration Information were not made timely.	0	0	0	0	0	0						0	0	0
0000737074-25-000001	31-DEC-2024	Victory Capital Transfer Agency, Inc.	Some	N	SEC	Yes, filed amendment(s)		367	0	0	0	0	0			Not Applicable			73000	0	0
0000838966-25-000004	31-DEC-2022	HUNTINGTON NATIONAL BANK/OH/ /TA	None	Y	OCC	Not applicable		27	582	582	0	0	0			Yes			0	0	0
0001808525-25-000003	31-DEC-2024	Invesco (India) Private Ltd	None	Y	SEC	Yes, filed amendment(s)		1275	0	0	0	0	0			Not Applicable			1557222	2580	0
0001410382-25-000002	31-DEC-2024	RCH Shareholder Services, LLC	None	Y	SEC	No, failed to file amendment(s)	Prior filing amendments due to examination.	849129	0	475246	5159086	0	0			Not Applicable			755029	0	36078
0001410382-25-000001	31-DEC-2023	RCH Shareholder Services, LLC	None	Y	SEC	Not applicable		620479	0	35	1359	0	0			Not Applicable			755029	0	392
0001998958-25-000008	31-DEC-2024	Odyssey Transfer US INC.	All	Y	SEC	Yes, filed amendment(s)															
0000838966-25-000003	31-DEC-2024	HUNTINGTON NATIONAL BANK/OH/ /TA	None	N	OCC	No, failed to file amendment(s)	Pursuant to an SEC Supervisory letter issued to Huntington National Bank on 8/20/2024, Huntington filed an amendment to its Form TA-1, 3/27/2013, SEC File No 085-10275 with the OCC after the required 60 day time period.	33	591	591	591	0	0			Yes			0	0	0
0000735286-25-000014	31-DEC-2024	VANGUARD GROUP INC	None	Y	SEC	Yes, filed amendment(s)		4335649	26727058	20609062	17941978	0	0			Not Applicable			74867232	176252	1864
0001985383-25-000003	31-DEC-2024	Landa Transfer Agent LLC	None	N	SEC	Not applicable		15803	6656	6656	1286	0	0			Yes			0	0	0
0001998958-25-000007	31-DEC-2024	ODYSSEY TRANSFER & TRUST Co	Some	Y	SEC	Yes, filed amendment(s)		4301	114893	115339	0	8117	0			Yes			0	0	69
0001401565-25-000002	31-DEC-2024	Regions Bank	None	N	BGFRS	Not applicable		74	44291	44291	0	0	0			Yes			0	0	0
0000733598-25-000001	31-DEC-2024	ALLIANCEBERNSTEIN INVESTOR SERVICES INC /TA	None	N	SEC	Yes, filed amendment(s)		2893	410760	410760	370193	307659	0			Yes			3169998	43604	48
0002028071-25-000001	31-DEC-2024	QUAWAIN STAUD PADSHAHAN Trust	None	N	SEC	Not applicable		0	0	0	0	0	0			Yes			0	0	0
0000950123-25-003243	31-DEC-2024	Columbia Management Investment Services Corp. /TA	Some	Y	SEC	Not applicable		203865	511990	511990	238376	0	0			Not Applicable			4303913	101724	19
0001104659-25-029643	31-DEC-2024	VStock Transfer, LLC	None	N	SEC	Not applicable		15128	143255	143255	0	42252	0			Yes			0	0	0
0000019617-25-000312	31-DEC-2024	JP Morgan Chase Bank NA	Some	Y	OCC	No, failed to file amendment(s)	03/13/2024 TA1: Q6 Updated address; and Q11 & Q12 were edited for names and/or numbers, some of which changed >60 days prior.	1936	83782	83782	0	0	0			Not Applicable			52088	0	0
0001526156-25-000002	31-DEC-2024	Isabella Bank Corp	None	N	BGFRS	Not applicable		2330	2590	2590	2051	0	0			Yes			0	0	0
0001146230-25-000003	31-DEC-2024	Computershare Inc /TA	Some	Y	SEC	Yes, filed amendment(s)		798067	16711519	16712760	4158996	7590434	0			Yes			0	0	51320
0001145892-25-000002	31-DEC-2024	COMPUTERSHARE TRUST CO NA /TA	All	Y	OCC	Not applicable															
0001999371-25-003399	31-DEC-2024	Gryphon 17, LLC	None	N	SEC	Not applicable		8197	15350	15350	11505	15350	0			No	0	0	46015	224	0
0001919404-25-000002	31-DEC-2024	Computershare Delaware Trust Co	All	N	BGFRS	Not applicable															
0001903596-25-000135	31-DEC-2024	PACIFIC STOCK TRANSFER CO /TA	Some	Y	SEC	Yes, filed amendment(s)		6116	780362	780362	38	15646	0			Yes			0	0	0
0001903596-25-000134	31-DEC-2024	Securitize LLC	Some	Y	SEC	Yes, filed amendment(s)		901	18407	18407	663	3002	0			Yes			0	0	0
0001428661-25-000004	31-DEC-2024	RCS Stock Transfer Inc.	None	N	SEC	Yes, filed amendment(s)		0	6	6	0	0	0			Not Applicable			0	0	0
0001145697-25-000001	31-DEC-2024	FULTON BANK, NATIONAL ASSOCIATION	None	N	OCC	Not applicable		723	14577	14577	5076	1519	0			Yes			0	0	12
0001062993-25-006508	31-DEC-2024	OLYMPIA TRUST CO                                        /TA	Some	Y	SEC	Yes, filed amendment(s)		5895	85919	85919	2614	853	0			Yes			0	0	0
0000838981-25-000001	31-DEC-2024	Northern Trust Co	Some	N	BGFRS	Not applicable		88676	443602	443602	378250	0	0			Not Applicable			2094488	2969	127
0001520138-25-000087	31-DEC-2024	West Coast Stock Transfer Inc.	None	Y	SEC	Yes, filed amendment(s)		581	19419	19419	0	1132	0			Yes			0	0	7
0001548123-25-000018	31-DEC-2024	STANDARD REGISTRAR & TRANSFER CO INC /TA	None	N	SEC	Not applicable		492	208502	208502	0	93	0			Yes			0	0	0
0000839287-25-000001	31-DEC-2024	STATE STREET BANK & TRUST CO /TA	Some	Y	BGFRS	Yes, filed amendment(s)		3152	223332	223375	10695	0	0			Yes			5236649	10472	0
0001062993-25-006480	31-DEC-2024	TMX Investor Solutions Inc.	None	Y	SEC	Yes, filed amendment(s)		72802	1120199	1460173	192739	399553	0			Yes			0	0	3664
0001062993-25-006478	31-DEC-2024	TSX Trust Co	Some	N	SEC	Yes, filed amendment(s)		0	0	0	0	0	0			Yes			0	0	0
0001393905-25-000132	31-DEC-2024	Empire Stock Transfer Inc.	None	N	SEC	Not applicable		1136	534	52929	0	1623	0			Yes			0	0	0
0001393905-25-000130	31-DEC-2024	Empire Stock Transfer Inc.	None	N	SEC	Not applicable		1136	534	52929	0	1623	0			Yes			0	0	0
0001898031-25-000011	31-DEC-2024	Paralel Technologies LLC	None	Y	SEC	No, failed to file amendment(s)	Following the reporting period, the Registrant filed an amended Form TA-1 to report its engagement as a service company for a named transfer agent during the period and make other non-control related ownership updates.	4906	16293	15092	14405	0	0			Yes			81444	215	0
0000838155-25-000001	31-DEC-2024	MANUFACTURERS & TRADERS TRUST CO	None	Y	BGFRS	Not applicable		11097	59337	59337	0	0	0			Yes			0	0	1
0001604325-25-000001	31-DEC-2024	Wilmington Trust, National Association/TA	All	N	OCC	Not applicable															
0000734700-25-000002	31-DEC-2024	GOLDMAN SACHS & CO. LLC /TA	Some	N	SEC	Yes, filed amendment(s)		310	119829	119829	105840	0	0			Yes			1786351	36	54
0001458661-25-000002	31-DEC-2024	Wilmington Trust Co	All	N	BGFRS	Not applicable															
0001073833-25-000006	31-DEC-2024	Mountain Share Transfer, LLC	Some	Y	SEC	Yes, filed amendment(s)		408	16658	16658	0	1840	0			Yes			0	0	0
0000872657-25-000002	31-DEC-2024	PRICE ROWE T RETIREMENT PLAN SERVICES INC /TA	Some	N	SEC	Yes, filed amendment(s)		0	0	6680935	6680935	0	0			Not Applicable			40939284	96457	0
0001894652-25-000003	31-DEC-2024	KoreTransfer USA LLC	None	N	SEC	Not applicable		126	155664	155664	0	0	0			Yes			0	0	0
0001897086-25-000002	31-DEC-2024	Cobalt Investment Services LLC	None	N	SEC	Not applicable		164	5403	5403	0	0	0			Yes			0	0	0
0000872657-25-000001	31-DEC-2024	PRICE ROWE T SERVICES INC /TA	Some	N	SEC	Yes, filed amendment(s)		111098	3125243	3125243	3072887	0	0			Yes			18084167	31780	1031
0001104659-25-029200	31-DEC-2024	DEARBORN CAPITAL MANAGEMENT LLC	None	N	SEC	Not applicable		35	1113	1113	0	0	0			Yes			0	0	0
0001492746-25-000003	31-DEC-2024	NAV Consulting, Inc.	None	N	SEC	No, failed to file amendment(s)	From April 22,2024 Registrant added another location and started providing transfer agent activities at a new address. The address location is BackOffice IT Solutions J-19, Sahkar Marg Lal Kothi,Jaipur India 302001.Amended Form TA-1 filed on July 17, 2024	2806	143448	143448	4938	0	0			Not Applicable			0	0	3
0001214659-25-004932	31-DEC-2024	SECURITIES TRANSFER CORP /TA	None	N	SEC	Not applicable		4478	668170	668570	346	645	0			Yes			0	0	50
0000896852-25-000007	31-DEC-2024	INVESCO INVESTMENT SERVICES INC	Some	N	SEC	Yes, filed amendment(s)		463144	2478148	2478148	2435106	0	0			Not Applicable			16742846	34051	1578
0001641172-25-001040	31-DEC-2024	BULLFINCH FUND INC /NY/ TA	None	N	SEC	Not applicable		0	125	125	125	0	0			Not Applicable			187	0	0
0000927395-25-000001	31-DEC-2024	WNC & ASSOCIATES INC /TA	None	N	SEC	Not applicable		1	0	0	0	0	0			Yes			0	0	0
0001641172-25-001005	31-DEC-2024	TRANSFER ONLINE INC /TA	None	N	SEC	Not applicable		5095	345687	345687	0	24575	0			Yes			0	0	0
0001550840-25-000003	31-DEC-2024	SS&C (Canada) Ltd	None	N	SEC	Not applicable		18	463	0	0	0	0			Yes			0	0	0
0001202048-25-000002	31-DEC-2024	VALIC RETIREMENT SERVICES CO	None	N	SEC	Yes, filed amendment(s)		0	1880	1880	0	0	0			Yes			275479	76	0
0000950123-25-003208	31-DEC-2024	Columbia Management Investment Services Corp. /TA	Some	Y	SEC	Not applicable		203865	511990	511990	238376	0	0			Not Applicable			4303913	101724	19
0001030030-25-000002	31-DEC-2024	NOTTINGHAM SHAREHOLDER SERVICES LLC /TA	Some	N	SEC	Not applicable		1374	25750	25410	24892	25410	0			Yes			123216	23	0
0001460584-25-000001	31-DEC-2024	Bangor Savings Bank /TA	None	N	FDIC	Not applicable		5	1	1	0	1									0
0000840464-25-000002	31-DEC-2024	CITIBANK NA /TA	Some	N	OCC	Not applicable		289	37945	37945	3669	0	0			Yes			22794	37	59
0000950123-25-003205	31-DEC-2024	TRI-CONTINENTAL CORP /TA	All	N	SEC	Not applicable															
0001894534-25-000002	31-DEC-2024	Prolific Labs Inc	None	N	SEC	Not applicable		4	2381	2381	0	0	0			Not Applicable			0	0	0
0001104659-25-028652	31-DEC-2024	Alight Solutions LLC	None	Y	SEC	Not applicable		0	0	25831888	0	0				Not Applicable					0
0002037589-25-000001	31-DEC-2024	MV TRANSFER SOLUTIONS LLC	None	N	SEC	Not applicable		17	0	9	0	0	0			Not Applicable			0	0	0
0000795029-25-000002	31-DEC-2024	AFLAC INC /GA/ /TA	All	N	SEC	Not applicable															
0000857128-25-000001	31-DEC-2024	FIRST GUARANTY BANK /TA	Some	N	FDIC	Not applicable		129	1602	1607	152	1	0			Not Applicable			0	0	164
0001999770-25-000002	31-DEC-2024	TRETE TA LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0000896852-25-000005	31-DEC-2024	INVESCO CANADA LTD. (FORMERLY INVESCO TRIMARK LTD.)	None	Y	SEC	Yes, filed amendment(s)		35362	0	0	0	0	0			Not Applicable			540314	8017	0
0001812230-25-000008	31-DEC-2024	Ankura Trust Company, LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0000950123-25-003197	31-DEC-2024	FREEDOM FUNDS MANAGEMENT CO                             /TA	None	N	SEC	Not applicable		731	13272	10769	9571	10769	0			Yes			11581	112	0
0000027048-25-000002	31-DEC-2024	SS&C GIDS, Inc.	Some	Y	SEC	Yes, filed amendment(s)		93377	8912817	7972632	6433557	29033	0			Yes			79011570	75754	2202
0001073944-25-000002	31-DEC-2024	UMB FUND SERVICES INC	None	N	SEC	Yes, filed amendment(s)		201735	733252	733252	450271	507917	0			Yes			2949426	136481	75
0001630490-25-000001	31-DEC-2024	FIS Investor Services LLC /TA	None	Y	SEC	Yes, filed amendment(s)		846735	1535143	1535143	1626234	0	0			Yes			22562332	919316	1675
0001999371-25-003216	31-DEC-2024	Equiniti India Pvt. Ltd	Some	Y	SEC	Yes, filed amendment(s)		0	0	0	0	0	0			Not Applicable			0	0	0
0001545030-25-000001	31-DEC-2024	Wilmington Savings Fund Society, FSB	None	N	OCC	Not applicable		24	2793	2793	0	0	0			Yes			0	0	0
0000818238-25-000001	31-DEC-2024	COMMONWEALTH FUND SERVICES INC /TA	None	N	SEC	Not applicable		16980	56302	56302	48171	56302	0			Yes			626851	10	0
0001090027-25-000006	31-DEC-2024	PLANMEMBER SERVICES CORP /TA	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0000913181-25-000002	31-DEC-2024	MUFG Investor Services (US) LLC	None	N	SEC	Yes, filed amendment(s)		2080	22515	22515	22344	0	0			Not Applicable			2234050	2990	179
0000839196-25-000001	31-DEC-2024	ZIONS BANCORPORATION, N.A./TA	None	N	OCC	Not applicable		888	70281	70281	1515	6004	0			Yes			0	0	120
