ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001520138-25-000104	priorAgent							0	0.0
0001520138-25-000104	directRegistrationSystem							0	
0001520138-25-000104	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000104	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000104	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000104	dividendAndInterest							0	0.0
0001520138-25-000104	dividendReinvDirectPurchasePlan							0	
0001520138-25-000104	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000104	currentAgent							0	0.0
0001410382-25-000005	currentAgent							0	0.0
0001410382-25-000005	directRegistrationSystem							0	
0001410382-25-000005	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001410382-25-000005	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001410382-25-000005	priorAgent							0	0.0
0001410382-25-000005	dividendAndInterest							33	4800123.0
0001410382-25-000005	dividendReinvDirectPurchasePlan							0	
0001410382-25-000005	transNotMaintMasterSecHolder	0.0	0.0	37.0	0.0	0.0	1.0		
0001410382-25-000005	securityHolderAccounts	0.0	0.0	73.0	0.0	0.0	27.0		
0000950123-25-003257	dividendAndInterest							0	0.0
0000950123-25-003257	directRegistrationSystem							0	
0000950123-25-003257	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-25-003257	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	3.0		
0000950123-25-003257	currentAgent							0	0.0
0000950123-25-003257	priorAgent							0	0.0
0000950123-25-003257	dividendReinvDirectPurchasePlan							0	
0000950123-25-003257	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-25-003257	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001853914-25-000002	priorAgent							0	0.0
0001853914-25-000002	directRegistrationSystem							0	
0001853914-25-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001853914-25-000002	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	148.0		
0001853914-25-000002	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001853914-25-000002	dividendAndInterest							0	0.0
0001853914-25-000002	dividendReinvDirectPurchasePlan							0	
0001853914-25-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001853914-25-000002	currentAgent							0	0.0
0000854729-25-000004	transMaintainMasterSecHolder								
0000854729-25-000004	notTransMaintMasterSecHolder								
0000854729-25-000004	directRegistrationSystem								
0000854729-25-000004	priorAgent								
0000854729-25-000004	securityHolderAccounts								
0000854729-25-000004	dividendReinvDirectPurchasePlan								
0000854729-25-000004	dividendAndInterest								
0000854729-25-000004	currentAgent								
0000854729-25-000004	transNotMaintMasterSecHolder								
0000854729-25-000003	transMaintainMasterSecHolder	0.0	2521.0	0.0	0.0	71525.0	0.0		
0000854729-25-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000854729-25-000003	directRegistrationSystem							0	
0000854729-25-000003	priorAgent							0	0.0
0000854729-25-000003	currentAgent							0	0.0
0000854729-25-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000854729-25-000003	dividendReinvDirectPurchasePlan							0	
0000854729-25-000003	dividendAndInterest							72439	16046131182.7
0000854729-25-000003	securityHolderAccounts	0.0	7.12	0.0	0.0	92.88	0.0		
0000839097-25-000003	securityHolderAccounts	0.0	100.0	0.0	0.0	0.0	0.0		
0000839097-25-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000839097-25-000003	dividendReinvDirectPurchasePlan							0	
0000839097-25-000003	dividendAndInterest							51898	106942772733.12
0000839097-25-000003	priorAgent							0	0.0
0000839097-25-000003	transMaintainMasterSecHolder	0.0	9745.0	0.0	0.0	0.0	0.0		
0000839097-25-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000839097-25-000003	directRegistrationSystem							0	
0000839097-25-000003	currentAgent							0	0.0
0001641172-25-001783	directRegistrationSystem							40	
0001641172-25-001783	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001641172-25-001783	transMaintainMasterSecHolder	240.0	0.0	0.0	0.0	0.0	0.0		
0001641172-25-001783	currentAgent							0	0.0
0001641172-25-001783	priorAgent							0	0.0
0001641172-25-001783	dividendReinvDirectPurchasePlan							0	
0001641172-25-001783	transNotMaintMasterSecHolder	40.0	0.0	0.0	0.0	0.0	0.0		
0001641172-25-001783	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001641172-25-001783	dividendAndInterest							7	24460.41
0001866046-25-000001	currentAgent							0	0.0
0001866046-25-000001	dividendAndInterest							0	0.0
0001866046-25-000001	dividendReinvDirectPurchasePlan							0	
0001866046-25-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001866046-25-000001	securityHolderAccounts	99.48	0.52	0.0	0.0	0.0	0.0		
0001866046-25-000001	priorAgent							0	0.0
0001866046-25-000001	directRegistrationSystem							0	
0001866046-25-000001	transMaintainMasterSecHolder	45.0	0.0	0.0	0.0	0.0	0.0		
0001866046-25-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000848027-25-000002	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000848027-25-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000848027-25-000002	directRegistrationSystem							0	
0000848027-25-000002	priorAgent							0	0.0
0000848027-25-000002	currentAgent							0	0.0
0000848027-25-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000848027-25-000002	dividendReinvDirectPurchasePlan							0	
0000848027-25-000002	dividendAndInterest							0	0.0
0000848027-25-000002	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	0.0		
0001170078-25-000001	transMaintainMasterSecHolder	0.0	0.0	305.0	0.0	0.0	0.0		
0001170078-25-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001170078-25-000001	directRegistrationSystem							0	
0001170078-25-000001	priorAgent							0	0.0
0001170078-25-000001	currentAgent							0	0.0
0001170078-25-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001170078-25-000001	dividendReinvDirectPurchasePlan							305	
0001170078-25-000001	dividendAndInterest							281	12618882110.17
0001170078-25-000001	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001018490-25-000009	securityHolderAccounts	1.91	95.4	0.0	0.0	2.69	0.0		
0001018490-25-000009	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001018490-25-000009	dividendReinvDirectPurchasePlan							0	
