ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000872657-25-000003	violationOfRegulations	1	T. Rowe Price Associates, Inc	Order Instituting Proceedings and Findings and Order Imposing Remedial Sanction	16-JAN-1979	Securities and Exchange Commission	On January 16, 1979, pursuant to an offer of settlement by T. Rowe Price, the SEC issued an order censuring T. Rowe Price for alleged violations of Section 206 of the Investment Advisors Act of 1940. T. Rowe Price agreed to accept the censure without admitting or denying any of the allegations in order to settle an administrative proceeding instituted by the SEC. The primary issue involved was the manner in which the Managed Portfolio Program was described to clients, particularly with respect to the use of a model portfolio and the use of computer-based implementation of the service.	T. Rowe Price agreed to accept the censure without admitting or denying any of the allegations in order to settle an administrative proceeding instituted by the SEC.
0000872657-25-000003	sraViolationOfRules	1	T. Rowe Price Investment Services, Inc.	Financial Industry Regulatory Authority Letter of Acceptance, Waiver and Consent	11-DEC-2012	Financial Industry Regulatory Authority	In August 2011, T. Rowe Price Investment Services, Inc. (TRPIS) received an inquiry from FINRA related to mutual funds sold through our Brokerage division requesting details of any instance when a prospectus was required to be sent, but was not sent within three business days from the purchase date, as required by the SEC. TRPIS utilized a third party vendor to deliver prospectuses to Brokerage clients. For the review period there were instances where a prospectus was not sent within the required three business days. TRPIS provided FINRA with copies of our procedures for oversight of the prospectus delivery process, which were enhanced in light of this matter. On June 25, 2012, TRPIS was advised by FINRA staff that it made a preliminary determination to recommend that a disciplinary action be brought against TRPIS based upon the incidents when prospectuses were not timely delivered and failure to maintain procedures to adequately supervise such process. On December 31, 2012, TRPIS resolved the case through a Letter of Acceptance, Waiver and Consent letter, which acts as a final settlement, and agreed to a censure and sanction of $40,000.	TRPIS resolved the case through a Letter of Acceptance, Waiver and Consent letter, which acts as a final settlement, and agreed to a censure and sanction of $40,000.
0001049169-25-000006	sraViolationOfRules	1	ALPS Mutual Fund Services, Inc.	C3A980014	05-DEC-1997	National Association of Securities Dealers	It was alleged on July 31st, August 29th, September 30th, and November 30, 1997, that ALPS Mutual Fund Services conducted securities business while failing to maintain minimum net capital requirements under SEC Rule 15c3-1 and NASD Rule 2110.	ALPS agreed to the following actions: (1) CFO obtain a Series 28 License, (2) a new attorney was hired (3) a new CPA hired(4) a new net capital procedures and (5) Re-education for ALPS Principals. ALPS agreed to censure & $5k fine.
0001049169-25-000006	fsrRegistrationDeniedOrSuspended	1	ALPS Mutual Fund Services, Inc.	Failure to Register	14-MAR-1990	Division of Securities for the State of Maryland	Failure by Applicant to register at least one agent with the Division in association with the Applicant's registration as a Broker/Dealer with the division.	Applicant submitted an undertaking to the Division in association with the Applicant's registration as a Broker/Dealer. The Division issued an order of Reinstatement of Applicant Broker/Dealer effective May 1, 1990.
0001049169-25-000006	violationOfRegulations	1	ALPS Fund Services, Inc.	Administrative Proceeding, File No. 3-16672	01-JUL-2015	U.S. Securities and Exchange Commission	The auditor violated the SEC's auditor independence rules. AFS provides compliance related services to the funds, by furnishing a CCO to the funds who, consistent with Rule 38a-1 under the Investment Company Act of 1940, administered funds' compliance policies and procedures. The SEC found that the funds did not adopt sufficient additional written policies and procedures reasonably designed to prevent violation of the SEC's auditor independent rules.	Without admitting or denying the findings, AFS settled charges that it caused the funds to violate Rule 38a-1.
0001049169-25-000006	sraViolationOfRules	2	ALPS Distributors, Inc.	FINRA Acceptance of a Letter of Acceptance, Waiver and Consent	14-OCT-2015	FINRA	ADI received and responded to a series of FINRA requests for information in connection with FINRA's review of creations and redemptions of certain exchange-traded products for which ADI acted as distributor or marketing agent for a 60-day period in 2011. On October 14, 2014, FINRA issued a Notice of Acceptance of a Letter of Acceptance, Waiver and Consent in connection with that review. ADI consented to the entry of the AWC without admitting or denying the findings.	ADI has implemented procedures to address the issues identified in the AWC.
0001049169-25-000006	fsrViolationOfInvestmentRelatedRegulation	1	ALPS Mutual Fund Services, Inc.	Westcore Trust	04-AUG-1992	Montana Securities Commission	Alleged sale of un-registered shares of mutual funds within the Westcore Trust.	The matter was settled on 8/4/1992. A consent agreement was signed by all parties. ALPS paid an administrative fine of $5,000 and an offer of recession was made to all affected shareholders in accordance with state procedures.
0001049169-25-000006	fsrRegistrationDeniedOrSuspended	2	ALPS Distributors, Inc.	2011029728201	14-OCT-2015	Financial Industry Regulatory Authority, Inc.	It was alleged that over an approximate three-year period from July 1, 2011 to August 31, 2011, ADI improperly processed creation and redemption orders in Exchange-Traded Products.	Settlement reached. On October 14, 2015, FINRA issued the final Notice of Acceptance of the Acceptance, Waiver and Consent (AWC) and ADI agreed to pay a fine of $125,000 and address deficiencies set forth in AWC.
0001049169-25-000006	violationOfRegulations	2	DST Asset Manager Solutions, Inc.	Order Instituting Administrative and Cease and Desist Proceedings / File No. 3-21565 / Release No. 98153	17-AUG-2023	United States Securities and Exchange Commission	"The SEC alleged that DST Asset Manager Solutions, Inc. (""DST AMS""), who is an SEC registered transfer agent, violated Exchange Act Rule 17Ad-17 related to searching for lost securityholders, by requiring a database search match to the lost securityholders name in addition to social security number as a condition to sending outreach letters to potentially better mailing addresses in an attempt to locate lost securityholders."	Pursuant to the Order, in addition to a $500,000 civil monetary penalty and a censure, DST AMS agreed to undertake to (a)take reasonable steps to locate lost securityholders to whom it did not send outreach letters after receiving an SSN match after database searches and who experienced escheatment during the period covered by the investigation, (b) request its mutual fund clients to periodically send out notifications to their shareholders informing them of the risk of escheatment, and (c) provide written certification annually for five years that its written policies and procedures have complied with the requirements of Rule 17Ad-17 and that it has followed those written policies and procedures in practice.
0001550840-25-000005	violationOfRegulations	1	DST Asset Manager Solutions, Inc.	Order Instituting Administrative and Cease and Desist Proceedings / File No. 3-21565 / Release No. 98153	17-AUG-2023	United States Securities and Exchange Commission	"The SEC alleged that DST Asset Manager Solutions, Inc. (""DST AMS""), who is an SEC registered transfer agent, violated Exchange Act Rule 17Ad-17 related to searching for lost securityholders, by requiring a database search match to the lost securityholders name in addition to social security number as a condition to sending outreach letters to potentially better mailing addresses in an attempt to locate lost securityholders."	Pursuant to the Order, in addition to a $500,000 civil monetary penalty and a censure, DST AMS agreed to undertake to (a)take reasonable steps to locate lost securityholders to whom it did not send outreach letters after receiving an SSN match after database searches and who experienced escheatment during the period covered by the investigation, (b) request its mutual fund clients to periodically send out notifications to their shareholders informing them of the risk of escheatment, and(c) provide written certification annually for five years that its written policies and procedures have complied with the requirements of Rule 17Ad-17 and that it has followed those written policies and procedures in practice.
