ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001410382-25-000005	asServiceCompanyTransferAgent	4	Principal	084-05657	    
0001410382-25-000005	asServiceCompanyTransferAgent	3	Janus	084-06024	    
0001410382-25-000005	asServiceCompanyTransferAgent	5	Federated	084-01869	    
0001410382-25-000005	asServiceCompanyTransferAgent	1	T Rowe Price	084-01869	    
0001410382-25-000005	asServiceCompanyTransferAgent	2	Fidelity	084-06287	    
0000854729-25-000004	serviceCompanyTransferAgent	1	UMB Bank NA	085-10225	    
0000854729-25-000003	asServiceCompanyTransferAgent	1	UMB BANK & TRUST, NATIONAL ASSOCIATION	085-11314	    
0000839097-25-000003	serviceCompanyTransferAgent	2	Equiniti Trust Company, LLC	084-00416	    
0000839097-25-000003	serviceCompanyTransferAgent	3	Deutsche Bank National Trust Company	085-11220	    
0000839097-25-000003	asServiceCompanyTransferAgent	1	Deutsche Bank National Trust Company	085-11220	    
0000839097-25-000003	serviceCompanyTransferAgent	1	DB Services Americas, Inc.	084-05653	    
0001641172-25-001783	asServiceCompanyTransferAgent	3	TSX Trust	084-06502	    
0001641172-25-001783	asServiceCompanyTransferAgent	2	Odyssey Trust	084-06568	    
0001641172-25-001783	asServiceCompanyTransferAgent	1	Olympia Trust	084-05915	    
0001641172-25-001783	asServiceCompanyTransferAgent	4	Computershare	084-06112	    
0001866046-25-000001	serviceCompanyTransferAgent	1	Transfer Online	084-05808	    
0000848027-25-000002	serviceCompanyTransferAgent	1	DB Services Americas, Inc.	084-05653	    
0000848027-25-000002	asServiceCompanyTransferAgent	1	Deutsche Bank Trust Company Americas	085-05212	    
0000848027-25-000002	serviceCompanyTransferAgent	2	Deutsche Bank Trust Company Americas	085-05212	    
0001170078-25-000001	serviceCompanyTransferAgent	1	SS&C GIDS, Inc.	084-00448	    
0001018490-25-000009	asServiceCompanyTransferAgent	1	Deutsche Bank National Trust Company	085-11220	    
0001018490-25-000009	asServiceCompanyTransferAgent	2	Deutsche Bank Trust Company Americas	085-05212	    
0001520138-25-000095	serviceCompanyTransferAgent	1	West Coast Stock Transfer Inc.	084-06347	    
0001022437-25-000002	serviceCompanyTransferAgent	1	Computershare Inc.	084-05925	    
0000810704-25-000002	asServiceCompanyTransferAgent	6	BNY Mellon Investment Servicing (US) Inc. 	084-01761	    
0000810704-25-000002	serviceCompanyTransferAgent	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	    
0000810704-25-000002	asServiceCompanyTransferAgent	3	Franklin Templeton Investor Services, Inc.	084-01036	    
0000810704-25-000002	asServiceCompanyTransferAgent	1	American Century Investment Servicing (US) Inc.	084-01406	    
0000810704-25-000002	asServiceCompanyTransferAgent	4	Fidelity Investments Institutional Operations Company LLC	084-01839	    
0000810704-25-000002	asServiceCompanyTransferAgent	5	SS&C GIDS, Inc.	084-00448	    
0000810704-25-000002	asServiceCompanyTransferAgent	2	Invesco Investment Services, Inc. 	084-05432	    
0000737074-25-000001	serviceCompanyTransferAgent	1	FIS Investor Services LLC	084-06522	    
0000838966-25-000004	asServiceCompanyTransferAgent	1	Hancock Bank	085-00191	    
0001808525-25-000003	asServiceCompanyTransferAgent	1	Invesco Investment Services, Inc.	084-05432	    
0000810704-25-000001	asServiceCompany	4	Fidelity Investments Institutional Operations Company LLC	084-01839	245 Summer Street  Boston MA 02210
0000810704-25-000001	asServiceCompany	3	Franklin Templeton Investor Services, LLC	084-01036	100 Fountain Parkway  St. Petersburg FL 33716
0000810704-25-000001	asServiceCompany	6	BNY Mellon Investment Servicing (US) Inc.	084-01761	500 Ross Street 154-0520 Pittsburg PA 15262
0000810704-25-000001	asServiceCompany	2	Invesco Investment Services, Inc.	084-05432	11 Greenway Plaza  Houston TX 77046-1173
0000810704-25-000001	asServiceCompany	5	SS&C GIDS, Inc.	084-00448	2000 Crown Colony Drive  Quincy MA 02169
0000810704-25-000001	asServiceCompany	1	American Century Services, LLC 	084-01406	4500 Main Street  Kansas City MO 64111
0001410382-25-000002	asServiceCompanyTransferAgent	3	Janus	084-06024	    
0001410382-25-000002	asServiceCompanyTransferAgent	4	Principal	084-05657	    
0001410382-25-000002	asServiceCompanyTransferAgent	2	Fidelity	084-06287	    
0001410382-25-000002	asServiceCompanyTransferAgent	6	Vanguard	084-07043	    
0001410382-25-000002	asServiceCompanyTransferAgent	1	T Rowe Price	084-01-79	    
0001410382-25-000002	asServiceCompanyTransferAgent	5	Federated	084-01869	    
0001410382-25-000001	asServiceCompanyTransferAgent	6	Vanguard	084-07043	    
0001410382-25-000001	asServiceCompanyTransferAgent	4	Principal	084-05657	    
0001410382-25-000001	asServiceCompanyTransferAgent	5	Federated	084-01869	    
0001410382-25-000001	asServiceCompanyTransferAgent	1	T Rowe	084-01079	    
0001410382-25-000001	asServiceCompanyTransferAgent	2	Fidelity	084-06287	    
0001410382-25-000001	asServiceCompanyTransferAgent	3	Janus	084-06024	    
0001998958-25-000008	asServiceCompanyTransferAgent	1	ODYSSEY TRUST COMPANY	084-06568	    
0001998958-25-000008	serviceCompanyTransferAgent	1	ODYSSEY TRANSFER & TRUST Co	084-06899	    
0000735286-25-000014	asServiceCompanyTransferAgent	1	Bank of New York Mellon /TA	085-05006	    
0000735286-25-000014	asServiceCompanyTransferAgent	2	JP Morgan Chase Bank NA	085-11399	    
0000735286-25-000014	asServiceCompanyTransferAgent	3	State Street Bank & Trust Co /TA	085-05003	    
0001998958-25-000007	serviceCompanyTransferAgent	1	ODYSSEY  TRUST COMPANY	084-06568	    
0001998958-25-000007	asServiceCompanyTransferAgent	2	Odyssey Transfer US Inc.	084-06874	    
0001998958-25-000007	asServiceCompanyTransferAgent	1	ODYSSEY TRUST COMPANY	084-06568	    
0000950123-25-003243	asServiceCompanyTransferAgent	1	Tri-Continental Corporation	084-00458	    
0000950123-25-003243	serviceCompanyTransferAgent	1	SS&C GIDS, Inc.	084-00896	    
0001145892-25-000002	asServiceCompanyTransferAgent	4	Wells Fargo Bank, N.A.	085-10133	    
0001146230-25-000003	asServiceCompanyTransferAgent	7	Computershare Delaware Trust Company	085-05570	    
0001146230-25-000003	asServiceCompanyTransferAgent	5	The Bank of New York Mellon	085-05006	    
0001146230-25-000003	asServiceCompanyTransferAgent	6	Computershare Investor Services Ltd.	084-06720	    
0000019617-25-000312	serviceCompanyTransferAgent	1	BANCORP FUND SERVICES LLC /TA/	085-11357	    
0000019617-25-000312	serviceCompanyTransferAgent	2	Equiniti Trust Company, LLC/TA	084-00416	    
0001146230-25-000003	asServiceCompanyTransferAgent	1	Citibank, N.A.	085-10232	    
0001145892-25-000002	asServiceCompanyTransferAgent	3	Computershare Investor Services Inc.	084-06111	    
0001146230-25-000003	asServiceCompanyTransferAgent	3	Computershare Investor Services Inc.	084-06111	    
0001919404-25-000002	serviceCompanyTransferAgent	1	Computershare Inc.	084-05925	    
