ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000838141-07-000005	31-DEC-2006	Hancock Bank	NONE	Y	FDIC	Yes, filed amendment(s)		1662	18920	18920	8326	0	0			Yes			15963	0	55
0001073187-07-000003	31-DEC-2006	C/Funds Group, Inc.	NONE	N	SEC	No, failed to file amendment(s)	Inadvertently, TA-1 was not updated to include a new board member. Procedures have been implemented to prevent any such oversight in the future. TA-1 is correct as of this date.	0	694	694	0	0									0
0000867218-07-000005	31-DEC-2006	Investors Bank & Trust Co.	NONE	Y	FDIC	Yes, filed amendment(s)		3029	56917	56917	1799	10	0			Yes			722070	1107	21
0001371431-07-000003	31-DEC-2006	The Bank of New York Trust Company, N.A.	ALL	Y	OCC	Yes, filed amendment(s)															
0000838617-07-000005	31-DEC-2006	First National Bank of Santa Fe/TA	NONE	N	OCC	Not applicable		5	113	0	0	0									0
0001128769-07-000008	31-DEC-2006	Jackson National Asset Management, LLC	NONE	N	SEC	Not applicable		0	79	0	0	0									0
0000728889-07-000333	31-DEC-2006	Shareholder Services, Inc.	NONE	N	SEC	Yes, filed amendment(s)		87	3245	3245	3201	0	0			Yes			18839	384	31
0000728889-07-000332	31-DEC-2006	Shareholder Financial Services, Inc.	SOME	N	SEC	Yes, filed amendment(s)		633	4082	4082	1336	0	0			Yes			0	0	6
0001273515-07-000077	31-DEC-2006	Pennsylvania Avenue Advisers LLC	SOME	N	SEC	Not applicable		184	171	171	0	0									0
0000728889-07-000331	31-DEC-2006	OppenheimerFunds, Inc.	NONE	N	SEC	Yes, filed amendment(s)		2406912	6953362	6953362	6521048	0	0			Yes			25648402	419291	977
