ACCESSION_NUMBER	ACTION_TYPE	ACTION_ID	ENTITYNAME	ACTIONTITLE	ACTIONDATE	COURTORBODYNAMEANDLOCATION	ACTIONDESCRIPTION	DISPOSITIONOFPROCEEDING
0000751448-07-000005	fsrRegistrationDeniedOrSuspended	1	Charles Schwab & Co., Inc	X-2044 (L) - Stipulation and Consent	17-SEP-1985	WISCONSIN	TRANSACTION OF BUSINESS THROUGH AT LEAST 38 AGENTS NOT LICENSED IN WISCONSIN	ON 9/17/85 THE WISCONSIN SECURITIES COMMISSION ISSUED AN ORDER RESTRICTING CHARLES SCHWAB & CO., INC. FOR 10 DAYS FROM OPENING NEW WISCONSIN ACCOUNTS.
0000751448-07-000005	violationOfRegulations	2	Charles Schwab & Co., Inc.	PUBLIC ADMINISTRATIVE PROCEEDINGS	01-OCT-1980	SECURITIES AND EXCHANGE COMMISSION	ADMINISTRATIVE LAW JUDGE OF THE SECURITIES AND EXCHANGE COMMISSION, IT WAS FOUND THAT APPLICANT HAD FAILED TO ADEQUATELY SUPERVISE THE REGISTERED REPRESENTATIVE IN ITS NEWPORT BEACH, CALIFORNIA BRANCH OFFICE	APPLICANT DISCOVERED THAT ONE OF ITS EMPLOYEES WAS SOLICITING FUNDS FROM VARIOUS NON-CUSTOMERS AND CONVERTING THOSE FUNDS TO HIS OWN USE. WHEN THE EMPLOYEE'S ACTIONS WERE DISCOVERED, HE WAS IMMEDIATELY TERMINATED; ALL APPROPRIATE AUTHORITIES NOTIFIED.
0000751448-07-000005	fsrViolationOfInvestmentRelatedRegulation	2	CYBERTRADER, INC.	CO-01-6414-S	01-MAY-2001	STATE OF CONNECTICUT, DEPARTMENT OF BANKING	CYBERTRADER VOLUNTARILY REPORTED THAT IT MAY HAVE TRANSACTED BUSINESS AS A BROKER DEALER PRIOR TO ITS NOVEMBER 1, 1999 REGISTRATION IN CONNECTICUT	THE FIRM PAID A FINE OF $7500.00
0000751448-07-000005	registrationDeniedOrSuspended	1	CYBERTRADER, INC.	CO-01-6414-S	01-MAY-2001	STATE OF CONNECTICUT, DEPARTMENT OF BANKING	CYBERTRADER VOLUNTARILY REPORTED THAT IT MAY HAVE TRANSACTED BUSINESS AS A BROKER DEALER PRIOR TO ITS NOVEMBER 1, 1999 REGISTRATION IN CONNECTICUT	CYBERTRADER, INC. PAID $7500.00 AND AGREED TO CERTAIN REMEDIAL ACTIONS
0000751448-07-000005	registrationDeniedOrSuspended	2	U.S. TRUST CORPORATION; UNITED STATES TRUST COMPANY OF NEW YORK	01-010-B-HC AND 01-010-CMP-HC - Order	12-JUL-2001	FEDERAL RESERVE BOARD	THE FEDERAL RESERVE BOARD AND THE NEW YORK STATE BANKING DEPARTMENT ALLEGED VIOLATIONS AND DEFICIENCIES RELATING TO THE LACK OF INTERNAL CONTROLS AND PROCEDURES AND INADEQUATE COMPLIANCE WITH THE BANK SECRECY ACT	ON JULY 11, 2001, U.S. TRUST CORPORATION AND UNITED STATES TRUST COMPANY OF NEW YORK PAID TO THE FEDERAL RESERVE BOARD A CIVIL MONEY PENALTY IN THE AMOUNT OF $5 MILLION AND MADE A $5 MILLION MONETARY PAYMENT TO THE STATE OF NEW YORK.
0000751448-07-000005	registrationDeniedOrSuspended	3	U.S. TRUST CORPORATION; UNITED STATES TRUST COMPANY OF NEW YORK	01-010-B-HC AND 01-010-CMP-HC  - order	12-JUL-2001	NEW YORK STATE BANKING DEPARTMENT	THE FEDERAL RESERVE BOAD AND THE NEW YORK STATE BANKING DEPARTMENT ALLEGED VIOLATIONS AND DEFICIENCIES RELATING TO THE LACK OF INTERNAL CONTROLS AND PROCEDURES AND INADEQUATE COMPLIANCE WITH THE BANK SECRECY ACT	ON JULY 11, 2001, U.S. TRUST CORPORATION AND UNITED STATES TRUST COMPANY OF NEW YORK PAID TO THE FEDERAL RESERVE BOARD A CIVIL MONEY PENALTY IN THE AMOUNT OF $5 MILLION AND MADE A $5 MILLION MONETARY PAYMENT TO THE STATE OF NEW YORK.
0000751448-07-000005	revokedBond	1	Charles Schwab & Co., Inc.	Bond	01-JUN-1983	NOT KNOWN - NOT DISCLOSED ON SCHEDULE D OF OLD FORM BD	AMOUNT RECOVERED FROM INSURANCE: 100% LESS $50,000 DEDUCTIBLE. TYPE OF LOSS WAS FIDELITY. LOCATION OF LOSS: PORTLAND, OREGON BRANCH OFFICE. NO OTHER DETAILS PROVIDED ON SCHEDULE D OF OLD FORM BD.	AMOUNT RECOVERED FROM INSURANCE: 100% LESS $50,000 DEDUCTIBLE. TYPE OF LOSS WAS FIDELITY. LOCATION OF LOSS: PORTLAND, OREGON BRANCH OFFICE. NO OTHER DETAILS PROVIDED ON SCHEDULE D OF OLD FORM BD.
0000751448-07-000005	revokedBond	2	Charles Schwab & Co., Inc.	Bond	01-OCT-1980	NOT AVAILABLE - NAME NOT DISCLOSED ON SCHEDULE D OF OLD FORM BD	AMOUNT RECOVERED FROM INSURANCE WAS 100% LESS $25,000 DEDUCTIBLE. TYPE OF LOSS: FIDELITY. LOCATION OF LOSS: NEWPORT BEACH, CALIFORNIA. NO OTHER INFORMATION PROVIDED ON SCHEDULE D OF OLD FORM BD	AMOUNT RECOVERED FROM INSURANCE WAS 100% LESS $25,000 DEDUCTIBLE. TYPE OF LOSS: FIDELITY. LOCATION OF LOSS: NEWPORT BEACH, CALIFORNIA. NO OTHER INFORMATION PROVIDED ON SCHEDULE D OF OLD FORM BD
0000751448-07-000005	sraViolationOfRules	1	Charles Schwab & CO., Inc.	05-0042 - Decision & Order of Offer of Settlement	19-SEP-2005	CHICAGO BOARD OPTIONS EXCHANGE	ALLEGED VIOLATION OF EXCHANGE RULE 9.21(A)(I) AND INTERPRETATIONS AND POLICIES .01 AND .02 IN THAT SCHWAB DISSEMINATED COMMUNICATIONS THAT WERE IN CONTRAVENTION OF THE REQUIREMENTS OF EXCHANGE RULE 9.21(A)(I) AND INTERPRETATIONS AND POLICIES .01 AND .02; VIOLATION OF EXCHANGE RULES 4.2, 9.8 AND 9.21(C)	EDUCATIONAL UNDERTAKING FOR APPROPRIATE SCHWAB EMPLOYEES TO REVIEW WITH EXCHANGE STAFF THE REQUIREMENTS OF EXCHANGE RULE 9.21.
0000751448-07-000005	sraViolationOfRules	2	Charles Schwab & CO., Inc.	HPD #05-156	28-SEP-2005	NEW YORK STOCK EXCHANGE DIVISION OF ENFORCEMENT	SUBMISSIONS OF INACCURATE ELECTRONIC BLUE SHEETS IN VIOLATION OF EXCHANGE RULES 410A & 401 AND THE FAILURE TO PROPERLY SUPERVISE THE PREPARATION OF ITS BLUE SHEET SUBMISSIONS IN VIOLATION OF EXCHANGE RULE 342.	CENSURE, FINE AND THE FIRM IS TO CONDUCT A VALIDATION OF ALL REQUIRED BLUE SHEET DATA ELEMENTS AND NOTIFY THE NYSE IN WRITING THAT THAT FIRM HAS COMPLETED THE VALIDATION
0000751448-07-000005	sraViolationOfRules	3	Charles Schwab & Co., INc.	Stipulation and Consent - HPD#05-110	05-AUG-2005	NEW YORK STOCK EXCHANGE DIVISION OF ENFORCEMENT	THE FIRM, WITHOUT ADMITTING OR DENYING GUILT, VIOLATED EXCHANGE RULES 342(A) AND (B) IN THAT THE FIRM FAILED TO ESTABLISH AND MAINTAIN APPROPRIATE PROCEDURES FOR SUPERVISION AND CONTROL	THE FIRM HAS CONSENTED TO A CENSURE, A FINE OF $1 MILLION AND AN UNDERTAKING TO HIRE AN OUTSIDE CONSULTANT TO REVIEW ITS POLICIES AND PROCEDURES WITH RESPECT TO THE FOREGOING.
0000751448-07-000005	sraViolationOfRules	4	Charles Schwab & Co., Inc.	AWC CLG050002	16-DEC-2004	NASD	DURING 2002 AND 2003, SCHWAB FAILED TO CORRECT AND REPAIR 9,637 OATS REPORTS THAT WERE REJECTED BY THE OATS SYSTEMS IN VIOLATION OF NASD MARKETPLACE RULE 6955(A) AND CONDUCT RULE 2110.	REVISE THE FIRM'S WRITTEN SUPERVISORY PROCEDURES WITH RESPECT TO OATS AND MUNICIPAL TRADE REPORTING
0000751448-07-000005	sraViolationOfRules	5	Charles Schwab & Co., Inc.	3-11648	03-SEP-2003	U.S. SECURITIES EXCHANGE COMMISSION	THE SEC FOUND THAT FROM AT LEAST JANUARY 2001 THROUGH OCTOBER 2003, SCHWAB ENGAGED IN A PRACTICE THAT ENABLED CERTAIN MUTUAL FUND SHAREHOLDERS TO PLACE MUTUAL FUND ORDERS AFTER THE TIME THE FUNDS CALCULATED THEIR NET ASSET VALUES ('NAV') FOR THAT DAY	(1) THAT SCHWAB CEASE AND DESIST FROM COMMITTING OR CAUSING ANY VIOLATIONS AND ANY FUTURE VIOLATIONS OF RULE 22C-1(A) UNDER THE INVESTMENT COMPANY ACT; (2) CENSURE OF SCHWAB; AND (3) IMPOSITION A CIVIL MONEY PENALTY IN THE AMOUNT OF $350,000.
0000751448-07-000005	sraViolationOfRules	6	Charles Schwab & Co., Inc.	C05040042	28-JUN-2004	NASD	APPLICANT VIOLATED MSRB RULES G-17, G-30(A) WHEN IT RELIED SOLELY ON THE BIDS PROVIDED BY A BROKER'S BROKER TO DETERMINE THE FAIR MARKET VALUE IN THE LIQUIDATION OF SIX MUNICIPAL SECURITY POSITIONS FOR CUSTOMERS	FINE OF $30,000 AND RESTITUTION OF $$30,869.25, PLUS INTEREST TO THE CUSTOMERS
0000751448-07-000005	sraViolationOfRules	7	Charles Schwab & Co., Inc.	HPD#: 04-114	14-JUN-2004	NEW YORK STOCK EXCHANGE DIVISION OF ENFORCEMENT	VIOLATED EXCHANGE RULE 346(F) BY EMPLOYING PERSONS WITH STATUTORY DISQUALIFICATIONS; VIOLATED EXCHANGE RULE 351(A)(5) BY FAILING TO PROMPTLY REPORT CRIMINAL MATTERS CONCERNING EMPLOYEES TO THE EXCHANGE	CONSENT TO CENSURE, $250,000 FINE, AND REQUIREMENT TO REFORM PROCEDURES CONCERNING HIRING OF INDIVIDUALS SUBJECT TO STATUTORY DISQUALIFICATION
0000751448-07-000005	sraViolationOfRules	8	Charles Schwab & Co., Inc	02-28	26-MAR-2003	AMERICAN STOCK EXCHANGE	VIOLATED EXCHANGE RULE 208 IN THAT THE FIRM ACCEPTED MULTIPLE ODD-LOT ORDERS FOR EXECUTION THROUGH ITS LAYOFF SYSTEM, WHEN SUCH ORDERS SHOULD HAVE BEEN CONSOLIDATED INTO ROUND LOTS	SCHWAB WAS CENSURED AND FINED $20,000.00. THE FINE WAS PAID BY SCHWAB ON JUNE 18, 2003
0000751448-07-000005	sraViolationOfRules	9	Charles Schwab & Co., INc.	CMS030003 AWC	13-DEC-2002	NATIONAL ASSOCIATION OF SECURITIES DEALERS, INC	VIOLATIONS OF SEC RULE 17A-3 AND NASD CONDUCT RULE 3110	CHARLES SCHWAB & CO INC PAID A FINE OF $5000.
0000751448-07-000005	sraViolationOfRules	10	Charles Schwab & Co., INc.	CMS010149 AWC	23-MAY-2001	NASD REGULATION, INC	THE ALLEGEDLY VIOLATED NASD MARKETPLACE RULE 4632(A) AND NASD CONDUCT RULE 2110	CHARLES SCHWAB & CO., INC. PAID A FINE OF $2500.
