ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001214659-10-000933	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001214659-10-000933	priorAgent							0	0.0
0001214659-10-000933	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001214659-10-000933	transMaintainMasterSecHolder	557.0	0.0	0.0	0.0	0.0	0.0		
0001214659-10-000933	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001214659-10-000933	dividendAndInterest							0	0.0
0001214659-10-000933	directRegistrationSystem							0	
0001214659-10-000933	currentAgent							0	0.0
0001214659-10-000933	dividendReinvDirectPurchasePlan							0	
0001261763-10-000004	dividendReinvDirectPurchasePlan								
0001261763-10-000004	dividendAndInterest								
0001261763-10-000004	directRegistrationSystem								
0001261763-10-000004	currentAgent								
0001261763-10-000004	notTransMaintMasterSecHolder								
0001261763-10-000004	transNotMaintMasterSecHolder								
0001261763-10-000004	transMaintainMasterSecHolder								
0001261763-10-000004	securityHolderAccounts	0.0	97.0	0.0	0.0	3.0	0.0		
0001261763-10-000004	priorAgent								
0000773568-10-000002	transMaintainMasterSecHolder	0.0	0.0	22423.0	0.0	0.0	0.0		
0000773568-10-000002	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000773568-10-000002	priorAgent							0	0.0
0000773568-10-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000773568-10-000002	transNotMaintMasterSecHolder	0.0	0.0	25.0	0.0	0.0	0.0		
0000773568-10-000002	directRegistrationSystem							25	
0000773568-10-000002	dividendAndInterest							25	12830782.0
0000773568-10-000002	dividendReinvDirectPurchasePlan							25	
0000773568-10-000002	currentAgent							0	0.0
0000896852-10-000007	currentAgent							0	0.0
0000896852-10-000007	dividendAndInterest							391	787130516.16
0000896852-10-000007	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000896852-10-000007	directRegistrationSystem							0	
0000896852-10-000007	dividendReinvDirectPurchasePlan							476	
0000896852-10-000007	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000896852-10-000007	priorAgent							0	0.0
0000896852-10-000007	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000896852-10-000007	transMaintainMasterSecHolder	0.0	0.0	476.0	0.0	0.0	0.0		
0001007444-10-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001007444-10-000003	transMaintainMasterSecHolder	0.0	0.0	3787.0	0.0	0.0	0.0		
0001007444-10-000003	priorAgent							0	0.0
0001007444-10-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001007444-10-000003	dividendReinvDirectPurchasePlan							3781	
0001007444-10-000003	dividendAndInterest							3226	713934619.0
0001007444-10-000003	directRegistrationSystem							0	
0001007444-10-000003	currentAgent							0	0.0
0001007444-10-000003	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001380486-10-000003	currentAgent								
0001380486-10-000003	directRegistrationSystem								
0001380486-10-000003	dividendAndInterest								
0001380486-10-000003	dividendReinvDirectPurchasePlan								
0001380486-10-000003	transNotMaintMasterSecHolder								
0001380486-10-000003	priorAgent								
0001380486-10-000003	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001380486-10-000003	transMaintainMasterSecHolder								
0001380486-10-000003	notTransMaintMasterSecHolder								
0001145959-10-000003	transNotMaintMasterSecHolder								
0001145959-10-000003	currentAgent								
0001145959-10-000003	dividendAndInterest								
0001145959-10-000003	dividendReinvDirectPurchasePlan								
0001145959-10-000003	notTransMaintMasterSecHolder								
0001145959-10-000003	priorAgent								
0001145959-10-000003	securityHolderAccounts								
0001145959-10-000003	transMaintainMasterSecHolder								
0001145959-10-000003	directRegistrationSystem								
0001456223-10-000003	directRegistrationSystem								
0001456223-10-000003	transNotMaintMasterSecHolder								
0001456223-10-000003	transMaintainMasterSecHolder								
0001456223-10-000003	securityHolderAccounts								
0001456223-10-000003	currentAgent								
0001456223-10-000003	notTransMaintMasterSecHolder								
0001456223-10-000003	dividendReinvDirectPurchasePlan								
0001456223-10-000003	dividendAndInterest								
0001456223-10-000003	priorAgent								
0001140361-10-014423	currentAgent							0	0.0
0001140361-10-014423	transMaintainMasterSecHolder	281.0	0.0	0.0	0.0	0.0	0.0		
0001140361-10-014423	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001140361-10-014423	priorAgent							0	0.0
0001140361-10-014423	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001140361-10-014423	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001140361-10-014423	dividendReinvDirectPurchasePlan							0	
0001140361-10-014423	directRegistrationSystem							11	
0001140361-10-014423	dividendAndInterest							1	176640.6
0001146230-10-000005	transNotMaintMasterSecHolder	179.0	0.0	0.0	0.0	0.0	0.0		
0001146230-10-000005	currentAgent							18	684331.0
0001146230-10-000005	directRegistrationSystem							1608	
0001146230-10-000005	dividendAndInterest							1556	154689762137.0
0001146230-10-000005	dividendReinvDirectPurchasePlan							646	
0001146230-10-000005	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001146230-10-000005	priorAgent							3	64987.0
0001146230-10-000005	transMaintainMasterSecHolder	3203.0	12.0	0.0	43.0	0.0	0.0		
0001146230-10-000005	securityHolderAccounts	99.9	0.0	0.0	0.1	0.0	0.0		
0001450848-10-000002	currentAgent								
0001450848-10-000002	directRegistrationSystem								
0001450848-10-000002	dividendAndInterest								
0001450848-10-000002	dividendReinvDirectPurchasePlan								
0001450848-10-000002	transNotMaintMasterSecHolder								
0001450848-10-000002	priorAgent								
0001450848-10-000002	securityHolderAccounts								
0001450848-10-000002	transMaintainMasterSecHolder								
0001450848-10-000002	notTransMaintMasterSecHolder								
0001145892-10-000003	transNotMaintMasterSecHolder								
0001145892-10-000003	transMaintainMasterSecHolder								
0001145892-10-000003	securityHolderAccounts								
0001145892-10-000003	priorAgent								
0001145892-10-000003	dividendReinvDirectPurchasePlan								
0001145892-10-000003	dividendAndInterest								
0001145892-10-000003	directRegistrationSystem								
0001145892-10-000003	currentAgent								
0001145892-10-000003	notTransMaintMasterSecHolder								
0001108200-10-000003	transMaintainMasterSecHolder								
0001108200-10-000003	securityHolderAccounts								
0001108200-10-000003	priorAgent								
0001108200-10-000003	notTransMaintMasterSecHolder								
0001108200-10-000003	transNotMaintMasterSecHolder								
0001108200-10-000003	dividendAndInterest								
0001108200-10-000003	directRegistrationSystem								
0001108200-10-000003	currentAgent								
0001108200-10-000003	dividendReinvDirectPurchasePlan								
0000855870-10-000003	securityHolderAccounts								
0000855870-10-000003	transMaintainMasterSecHolder								
0000855870-10-000003	transNotMaintMasterSecHolder								
0000855870-10-000003	dividendReinvDirectPurchasePlan								
0000855870-10-000003	currentAgent								
0000855870-10-000003	directRegistrationSystem								
0000855870-10-000003	dividendAndInterest								
0000855870-10-000003	notTransMaintMasterSecHolder								
0000855870-10-000003	priorAgent								
0000717511-10-000002	currentAgent							0	0.0
0000717511-10-000002	directRegistrationSystem							0	
0000717511-10-000002	dividendAndInterest							0	0.0
0000717511-10-000002	dividendReinvDirectPurchasePlan							0	
0000717511-10-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000717511-10-000002	priorAgent							0	0.0
0000717511-10-000002	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000717511-10-000002	transMaintainMasterSecHolder	36.0	0.0	0.0	0.0	0.0	0.0		
0000717511-10-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-10-030716	currentAgent								
0000950123-10-030716	directRegistrationSystem								
0000950123-10-030716	dividendAndInterest								
0000950123-10-030716	transNotMaintMasterSecHolder								
0000950123-10-030716	notTransMaintMasterSecHolder								
0000950123-10-030716	transMaintainMasterSecHolder								
0000950123-10-030716	securityHolderAccounts								
0000950123-10-030716	priorAgent								
0000950123-10-030716	dividendReinvDirectPurchasePlan								
0001451217-10-000004	transMaintainMasterSecHolder	0.0	0.0	183.0	5.0	0.0	83.0		
0001451217-10-000004	securityHolderAccounts	0.0	0.0	92.0	5.0	0.0	3.0		
0001451217-10-000004	priorAgent							0	0.0
0001451217-10-000004	currentAgent							0	0.0
0001451217-10-000004	directRegistrationSystem							0	
0001451217-10-000004	dividendAndInterest							263	1675859405.32
0001451217-10-000004	dividendReinvDirectPurchasePlan							271	
0001451217-10-000004	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001451217-10-000004	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001408534-10-000006	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001408534-10-000006	priorAgent							0	0.0
0001408534-10-000006	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001408534-10-000006	transMaintainMasterSecHolder	57.0	0.0	0.0	0.0	0.0	0.0		
0001408534-10-000006	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001408534-10-000006	currentAgent							0	0.0
0001408534-10-000006	directRegistrationSystem							0	
0001408534-10-000006	dividendReinvDirectPurchasePlan							0	
0001408534-10-000006	dividendAndInterest							5559644	3558172.0
0000854922-10-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000854922-10-000003	transMaintainMasterSecHolder	3312.0	111989.0	0.0	727.0	328330.0	280182.0		
0000854922-10-000003	securityHolderAccounts	21.0	5.0	0.0	6.0	19.0	49.0		
0000854922-10-000003	priorAgent							15	402000.0
0000854922-10-000003	dividendReinvDirectPurchasePlan							6502	
0000854922-10-000003	dividendAndInterest							449578	417208677530.0
0000854922-10-000003	directRegistrationSystem							2	
0000854922-10-000003	currentAgent							1	50000.0
0000854922-10-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001430521-10-000002	currentAgent							0	0.0
0001430521-10-000002	directRegistrationSystem							5	
0001430521-10-000002	dividendAndInterest							5	2022429.0
0001430521-10-000002	dividendReinvDirectPurchasePlan							0	
0001430521-10-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001430521-10-000002	priorAgent							0	0.0
0001430521-10-000002	securityHolderAccounts	99.60000000000001	0.0	0.0	0.0	0.4	0.0		
0001430521-10-000002	transMaintainMasterSecHolder	2.0	0.0	0.0	0.0	0.0	0.0		
0001430521-10-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	5.0	0.0		
0001128776-10-000003	currentAgent								
0001128776-10-000003	directRegistrationSystem								
0001128776-10-000003	dividendAndInterest								
0001128776-10-000003	dividendReinvDirectPurchasePlan								
0001128776-10-000003	notTransMaintMasterSecHolder								
0001128776-10-000003	priorAgent								
0001128776-10-000003	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001128776-10-000003	transMaintainMasterSecHolder								
0001128776-10-000003	transNotMaintMasterSecHolder								
0000710386-10-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000710386-10-000003	transMaintainMasterSecHolder	27.0	0.0	0.0	0.0	0.0	0.0		
0000710386-10-000003	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000710386-10-000003	currentAgent							0	0.0
0000710386-10-000003	priorAgent							0	0.0
0000710386-10-000003	dividendAndInterest							0	0.0
0000710386-10-000003	dividendReinvDirectPurchasePlan							0	
0000710386-10-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000710386-10-000003	directRegistrationSystem							0	
0001162044-10-000191	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001162044-10-000191	priorAgent							0	0.0
0001162044-10-000191	securityHolderAccounts	0.0	0.0	99.0	1.0	0.0	0.0		
0001162044-10-000191	transMaintainMasterSecHolder	0.0	0.0	85.0	2.0	0.0	0.0		
0001162044-10-000191	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001162044-10-000191	dividendReinvDirectPurchasePlan							85	
0001162044-10-000191	dividendAndInterest							59	15972239.0
0001162044-10-000191	directRegistrationSystem							0	
0001162044-10-000191	currentAgent							0	0.0
0001054377-10-000004	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001054377-10-000004	transMaintainMasterSecHolder								
0001054377-10-000004	transNotMaintMasterSecHolder								
0001054377-10-000004	priorAgent								
0001054377-10-000004	currentAgent								
0001054377-10-000004	dividendReinvDirectPurchasePlan								
0001054377-10-000004	dividendAndInterest								
0001054377-10-000004	directRegistrationSystem								
0001054377-10-000004	notTransMaintMasterSecHolder								
0001432532-10-000003	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001432532-10-000003	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001432532-10-000003	transNotMaintMasterSecHolder	4.0	0.0	474.0	0.0	0.0	0.0		
0001432532-10-000003	currentAgent							0	0.0
0001432532-10-000003	directRegistrationSystem							0	
0001432532-10-000003	dividendAndInterest							0	0.0
0001432532-10-000003	dividendReinvDirectPurchasePlan							0	
0001432532-10-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001432532-10-000003	priorAgent							0	0.0
0001432531-10-000003	currentAgent							0	0.0
0001432531-10-000003	directRegistrationSystem							0	
0001432531-10-000003	dividendAndInterest							0	0.0
0001432531-10-000003	dividendReinvDirectPurchasePlan							0	
0001432531-10-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001432531-10-000003	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001432531-10-000003	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001432531-10-000003	priorAgent							0	0.0
0001432531-10-000003	transNotMaintMasterSecHolder	4.0	0.0	474.0	0.0	0.0	0.0		
0000353291-10-000008	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000353291-10-000008	dividendReinvDirectPurchasePlan							0	
0000353291-10-000008	dividendAndInterest							461	18430406779.41
0000353291-10-000008	currentAgent							0	0.0
0000353291-10-000008	directRegistrationSystem							0	
0000353291-10-000008	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000353291-10-000008	transMaintainMasterSecHolder	4.0	0.0	474.0	0.0	0.0	0.0		
0000353291-10-000008	securityHolderAccounts	0.15	0.0	99.85000000000001	0.0	0.0	0.0		
0000353291-10-000008	priorAgent							0	0.0
0001408996-10-000002	dividendAndInterest							0	0.0
0001408996-10-000002	directRegistrationSystem							0	
0001408996-10-000002	currentAgent							0	0.0
0001408996-10-000002	transMaintainMasterSecHolder	40.0	0.0	0.0	0.0	0.0	0.0		
0001408996-10-000002	dividendReinvDirectPurchasePlan							0	
0001408996-10-000002	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001408996-10-000002	priorAgent							0	0.0
0001408996-10-000002	notTransMaintMasterSecHolder	40.0	0.0	0.0	0.0	0.0	0.0		
0001408996-10-000002	transNotMaintMasterSecHolder	40.0	0.0	0.0	0.0	0.0	0.0		
0001104659-10-017593	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0001104659-10-017593	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001104659-10-017593	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001104659-10-017593	priorAgent							0	0.0
0001104659-10-017593	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001104659-10-017593	dividendReinvDirectPurchasePlan							1	
0001104659-10-017593	dividendAndInterest							0	0.0
0001104659-10-017593	directRegistrationSystem							0	
0001104659-10-017593	currentAgent							0	0.0
0001440452-10-000002	transNotMaintMasterSecHolder								
0001440452-10-000002	transMaintainMasterSecHolder								
0001440452-10-000002	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001440452-10-000002	priorAgent								
0001440452-10-000002	currentAgent								
0001440452-10-000002	dividendReinvDirectPurchasePlan								
0001440452-10-000002	dividendAndInterest								
0001440452-10-000002	directRegistrationSystem								
0001440452-10-000002	notTransMaintMasterSecHolder								
0001327356-10-000002	transNotMaintMasterSecHolder								
0001327356-10-000002	transMaintainMasterSecHolder								
0001327356-10-000002	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001327356-10-000002	priorAgent								
0001327356-10-000002	notTransMaintMasterSecHolder								
0001327356-10-000002	currentAgent								
0001327356-10-000002	directRegistrationSystem								
0001327356-10-000002	dividendAndInterest								
0001327356-10-000002	dividendReinvDirectPurchasePlan								
0001064418-10-000004	currentAgent								
0001064418-10-000004	dividendAndInterest								
0001064418-10-000004	directRegistrationSystem								
0001064418-10-000004	dividendReinvDirectPurchasePlan								
0001064418-10-000004	priorAgent								
0001064418-10-000004	transNotMaintMasterSecHolder								
0001064418-10-000004	transMaintainMasterSecHolder								
0001064418-10-000004	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001064418-10-000004	notTransMaintMasterSecHolder								
0001140361-10-014306	currentAgent								
0001140361-10-014306	directRegistrationSystem								
0001140361-10-014306	dividendAndInterest								
0001140361-10-014306	dividendReinvDirectPurchasePlan								
0001140361-10-014306	transNotMaintMasterSecHolder								
0001140361-10-014306	priorAgent								
0001140361-10-014306	securityHolderAccounts								
0001140361-10-014306	transMaintainMasterSecHolder								
0001140361-10-014306	notTransMaintMasterSecHolder								
0001288777-10-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001288777-10-000002	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001288777-10-000002	securityHolderAccounts	99.0	1.0	0.0	0.0	0.0	0.0		
0001288777-10-000002	priorAgent							0	0.0
0001288777-10-000002	notTransMaintMasterSecHolder	173.0	38.0	0.0	0.0	0.0	0.0		
0001288777-10-000002	dividendReinvDirectPurchasePlan							17	
0001288777-10-000002	dividendAndInterest							223	16056584568.0
0001288777-10-000002	directRegistrationSystem							3	
0001288777-10-000002	currentAgent							0	0.0
0001202048-10-000005	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001202048-10-000005	priorAgent							0	0.0
0001202048-10-000005	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001202048-10-000005	transMaintainMasterSecHolder	0.0	0.0	5435.0	0.0	0.0	0.0		
0001202048-10-000005	dividendReinvDirectPurchasePlan							0	
0001202048-10-000005	directRegistrationSystem							0	
0001202048-10-000005	currentAgent							0	0.0
0001202048-10-000005	dividendAndInterest							0	0.0
0001202048-10-000005	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001488312-10-000002	currentAgent							0	0.0
0001488312-10-000002	dividendAndInterest							39	303130929.0
0001488312-10-000002	dividendReinvDirectPurchasePlan							55	
0001488312-10-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	186.0		
0001488312-10-000002	priorAgent							0	0.0
0001488312-10-000002	securityHolderAccounts	6.0	0.0	87.0	0.0	0.0	7.0		
0001488312-10-000002	transMaintainMasterSecHolder	0.0	0.0	52.0	0.0	0.0	94.0		
0001488312-10-000002	directRegistrationSystem							0	
0001488312-10-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-10-030511	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-10-030511	transMaintainMasterSecHolder	0.0	0.0	253.0	0.0	0.0	0.0		
0000950123-10-030511	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000950123-10-030511	priorAgent							0	0.0
0000950123-10-030511	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-10-030511	dividendReinvDirectPurchasePlan							253	
0000950123-10-030511	dividendAndInterest							255	1936133560.63
0000950123-10-030511	currentAgent							0	0.0
0000950123-10-030511	directRegistrationSystem							0	
0000950123-10-030505	currentAgent								
0000950123-10-030505	directRegistrationSystem								
0000950123-10-030505	dividendAndInterest								
0000950123-10-030505	dividendReinvDirectPurchasePlan								
0000950123-10-030505	transNotMaintMasterSecHolder								
0000950123-10-030505	priorAgent								
0000950123-10-030505	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000950123-10-030505	transMaintainMasterSecHolder								
0000950123-10-030505	notTransMaintMasterSecHolder								
0000751448-10-000003	currentAgent								
0000751448-10-000003	directRegistrationSystem								
0000751448-10-000003	dividendAndInterest								
0000751448-10-000003	dividendReinvDirectPurchasePlan								
0000751448-10-000003	notTransMaintMasterSecHolder								
0000751448-10-000003	priorAgent								
0000751448-10-000003	securityHolderAccounts								
0000751448-10-000003	transMaintainMasterSecHolder								
0000751448-10-000003	transNotMaintMasterSecHolder								
0001431194-10-000001	currentAgent							0	0.0
0001431194-10-000001	directRegistrationSystem							0	
0001431194-10-000001	dividendAndInterest							1	10503104.0
0001431194-10-000001	dividendReinvDirectPurchasePlan							0	
0001431194-10-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001431194-10-000001	priorAgent							0	0.0
0001431194-10-000001	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001431194-10-000001	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0001431194-10-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001145722-10-000001	currentAgent								
0001145722-10-000001	directRegistrationSystem								
0001145722-10-000001	dividendAndInterest								
0001145722-10-000001	dividendReinvDirectPurchasePlan								
0001145722-10-000001	transNotMaintMasterSecHolder								
0001145722-10-000001	priorAgent								
0001145722-10-000001	securityHolderAccounts	42.2	52.0	0.0	0.0	5.8	0.0		
0001145722-10-000001	transMaintainMasterSecHolder								
0001145722-10-000001	notTransMaintMasterSecHolder								
0001083545-10-000002	currentAgent								
0001083545-10-000002	directRegistrationSystem								
0001083545-10-000002	dividendAndInterest								
0001083545-10-000002	dividendReinvDirectPurchasePlan								
0001083545-10-000002	notTransMaintMasterSecHolder								
0001083545-10-000002	priorAgent								
0001083545-10-000002	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001083545-10-000002	transMaintainMasterSecHolder								
0001083545-10-000002	transNotMaintMasterSecHolder								
0000734611-10-000003	dividendAndInterest							1	0.0
0000734611-10-000003	dividendReinvDirectPurchasePlan							1	
0000734611-10-000003	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000734611-10-000003	priorAgent							0	0.0
0000734611-10-000003	currentAgent							0	0.0
0000734611-10-000003	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0000734611-10-000003	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000734611-10-000003	directRegistrationSystem							1	
0000734611-10-000003	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000230234-10-000005	transNotMaintMasterSecHolder								
0000230234-10-000005	transMaintainMasterSecHolder								
0000230234-10-000005	securityHolderAccounts								
0000230234-10-000005	priorAgent								
0000230234-10-000005	notTransMaintMasterSecHolder								
0000230234-10-000005	dividendReinvDirectPurchasePlan								
0000230234-10-000005	dividendAndInterest								
0000230234-10-000005	currentAgent								
0000230234-10-000005	directRegistrationSystem								
0000922838-10-000005	currentAgent								
0000922838-10-000005	transNotMaintMasterSecHolder								
0000922838-10-000005	transMaintainMasterSecHolder								
0000922838-10-000005	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
