ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0001445546-17-003090	tawRegistrant	1	FTP Services LLC		120 E. Liberty Drive Suite 400 Wheaton IL 60187
0001445546-17-003090	tawCustodians	1	First Trust Portfolios L.P.		120 E. Liberty Drive Suite 400 Wheaton IL 60187
0000871693-17-000003	tawCustodians	1	PACIFIC STOCK TRANSFER COMPANY		6725 VIA AUSTI PARKWAY SUITE 300 LAS VEGAS NV 89119
0000871693-17-000003	tawRegistrant	1	FIDELITY TRANSFER CO /UT/ /TA		8915 S 700 EAST SUITE 102 SANDY UT 84070
0000871693-17-000003	tawSuccessors	1	PACIFIC STOCK TRANSFER COMPANY	Y	6725 VIA AUSTI PARKWAY SUITE 300 LAS VEGAS NV 89119
0001213900-17-006597	tawCustodians	1	FundAmerica LLC		2300 W Sahara Ave Ste. 1170 Las Vegas NV 89102
0001213900-17-006597	tawRegistrant	1	FundAmerica Stock Transfer, LLC		2300 W Sahara Ave Ste 1170 Las Vegas NV 89102
0001501141-17-000004	tawCustodians	1	Caldwell Trust Company		1400 Center Road  Venice FL 34292
0001501141-17-000004	tawRegistrant	1	INSTITUTIONAL INVESTOR TRUST		1400 Center Road  Venice FL 34292
0001410578-17-000188	tawCustodians	1	Alison Baker		9191 S Jamaica St  Englewood CO 80112
0001410578-17-000188	tawRegistrant	1	CH2M HILL COMPANIES LTD /CO/                            /TA		9191 S Jamaica St  Englewood CO 80112
0001077223-17-000004	tawCustodians	1	ICMA Retirement Corporation - Attn: Legal Division		777 North Capitol Street, NE, Suite 600 Washington DC 20002-4240
0001077223-17-000004	tawRegistrant	1	VANTAGEPOINT TRANSFER AGENTS LLC /TA		77 North Capitol Street, NE  Washington DC 20002
0000870156-17-000013	tawRegistrant	1	ADMINISYSTEMS INC                                       /TA		6811 S 27th St.  Lincoln NE 68512
0000870156-17-000013	tawCustodians	1	Jeff Jewell		6811 S. 27th Street  Lincoln NE 68512
