ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001451217-18-000007	serviceCompany	1	UMB Funds Services, Inc.	084-05792	803 West Michigan Street Suite A Milwaukee WI 53233
0001144204-18-035388	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street  New York NY 10005
0001144204-18-035388	asServiceCompany	2	AST Trust Company (Canada)	084-06506	1 Toronto Street Suite 1200 Toronto A6 M5C 2V6
0001062993-18-002700	asServiceCompany	1	AST Trust Company (Canada)	084-06506	1 Toronto Street Suite 1200 Toronto A6 M5C2V6
0001062993-18-002699	serviceCompany	1	American Stock Transfer & Trust Company, LLC	084-06416	Operations Center 620 15th Avenue Brooklyn NY 11219
0001062993-18-002699	serviceCompany	2	Computershare Investor Services Inc.	084-06111	100 University Avenue 8th Floor Toronto A6 M5J 2Y1
0001062993-18-002699	serviceCompany	3	AST Investor Services Inc. (Canada)	084-06416	1 Toronto Street Suite 1200 Toronto A6 M5C 2V6
0001073944-18-000004	asServiceCompany	1	SEI Investment Management Company	084-01318	1 Freedom Valley Drive  Oaks PA 19456
0000275143-18-000013	asServiceCompany	1	Goldman Sachs & Company LLC	084-01100	71 S. Wacker Drive Ste 500 Chicago IL 60606
0000275143-18-000013	asServiceCompany	2	Weitz Investment Management, Inc.	084-01858	1125 S. 103rd Street  Omaha NE 68124
0000275143-18-000013	asServiceCompany	3	NYLIM Service Company LLC	084-05844	30 Hudson Street  Jersey City NJ 07302
0000275143-18-000013	asServiceCompany	4	Columbia Management Investment Services Corp.	084-05685	225 Franklin Street 25th Floor Boston MA 02110
0000275143-18-000013	asServiceCompany	5	Principal Shareholder Services, Inc.	084-05657	620 COOLIDGE DR SUITE 300 FOLSOM CA 95630-3183
0000275143-18-000013	asServiceCompany	6	MFS Service Center, Inc.	084-01316	111 HUNTINGTON AVENUE  BOSTON MA 02199
0000275143-18-000013	asServiceCompany	7	Transamerica Fund Services, Inc.	084-06130	1801 California Street Suite 5200  Denver CO 80202
0000275143-18-000013	asServiceCompany	8	John Hancock Signature Services, Inc.	084-01885	380 Stuart Street  Boston MA 02116
0000275143-18-000013	asServiceCompany	9	Hartford Administrative Services Company	084-00353	690 LEE ROAD  WAYNE PA 19087
0000275143-18-000013	asServiceCompany	10	Citibank, N.A.	085-10232	388 Greenwich St  New York NY 10013
0000275143-18-000013	asServiceCompany	11	Russell Investments Fund Services, LLC	084-06276	1301 SECOND AVENUE, 18TH FLOOR  SEATTLE WA 98101
0000275143-18-000013	asServiceCompany	12	State Street Bank and Trust Company	085-05003	One Lincoln Street  Boston MA 02111-2900
0000275143-18-000013	asServiceCompany	13	DST Systems, Inc.	084-00448	210 W 10TH ST  Kansas City MO 64105
0000275143-18-000013	serviceCompany	1	DST Systems, Inc.	084-00448	333 W. 11th Street  Kansas City MO 64105
0000027048-18-000005	asServiceCompany	1	Thrivent Financial Investor Services, Inc.	084-01547	4321 N Ballard Rd  Appleton WI 54919
0000027048-18-000005	asServiceCompany	2	State Street Bank & Trust Company	085-05003	One Lincoln Street  Boston MA 02111-2900
0000027048-18-000005	asServiceCompany	3	DeAWM Service Company	084-01713	222 South Riverside Plaza  Chicago IL 60606
0000027048-18-000005	asServiceCompany	4	State Farm Investment Management Corp	084-00839	Three State Farm Plaza  Bloomington IL 61709
0000027048-18-000005	asServiceCompany	5	Transamerica Fund Services, Inc.	084-06130	1801 California St Suite 5200 Denver CO 80202
0000027048-18-000005	asServiceCompany	6	American Century Services, LLC	084-01406	4500 Main Street  Kansas City MO 64111
0000027048-18-000005	asServiceCompany	7	Morgan Stanley Services Co Inc	084-06270	Harborside Financial Center Plaza Two, Third Floor Jersey City NJ 07311
0000027048-18-000005	asServiceCompany	8	Leaf Financial Corporation	084-05900	1845 Walnut St Ste 100 Philadelphia PA 19103
0000027048-18-000005	asServiceCompany	9	Pioneer Investment Management Shareholder Services, Inc	084-01359	60 State Street  Boston MA 02109
0000027048-18-000005	asServiceCompany	10	Goldman, Sachs & Co	084-01100	71 South Wacker Drive Suite 400 Chicago IL 60606
0000027048-18-000005	asServiceCompany	11	OFI Global Asset Management, Inc.	084-06477	6803 South Tucson Way  Centennial CO 80112
0000027048-18-000005	serviceCompany	1	DST Asset Manager Solutions	084-00896	2000 Crown Colony Dr  Quincy MA 02169
0000027048-18-000005	serviceCompany	2	DST Worldwide Services India Private Limited	084-06342	5th Floor, Block B, Q City Nanakramguda, Gachibowli Hyderabad K7 500032
0000027048-18-000005	serviceCompany	3	DST Worldwide Services India Private Limited	084-06342	1st Floor, Block A, Q City Nanakramguda, Gachibowli Hyderabad K7 500032
0000027048-18-000005	serviceCompany	4	DST Worldwide Services India Private Limited	084-06342	Suite 201, Building 7, Commerzone Samrat Ashok Path Road, Yerawada Pune K7 411006
0000862124-18-000013	serviceCompany	1	National Financial Services, LLC	084-05888	499 Washington Blvd  Jersey City NJ 07310
0000862124-18-000013	serviceCompany	2	Fidelity Business Services India Private Limited	084-06287	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore K7 560071
0001018490-18-000008	asServiceCompany	1	Deutsche Bank National Trust Company	085-11220	2000 Avenue of the Stars, 9th Floor  Los Angeles CA 90067
0001018490-18-000008	asServiceCompany	2	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street Mail Stop NYC60-1635 New York NY 10005-2836
0001559963-18-000004	asServiceCompany	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough MA 01581
0001559963-18-000004	asServiceCompany	2	The Bank of New York Mellon	085-05006	101 Barclay Street  New York NY 10286-0001
0001451217-18-000005	serviceCompany	1	UMB Funds Services, Inc.	084-05792	803 West Michigan Street Suite A Milwaukee WI 53233
0001558234-18-000002	serviceCompany	1	Shareholder Services, Inc.	084-00907	6803 South Tucson Way  Centennial CO 80112
