ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0000838135-20-000006	1	01-JAN-2020	0	0
0000838135-20-000005	1	01-JAN-2019	0	0
0000838135-20-000004	1	01-JAN-2018	0	0
0000080255-20-001474	1	10-MAR-2020	0	0
0001145697-20-000002	3	02-OCT-2019	27	0
0001145697-20-000002	2	01-JUL-2019	29	0
0001145697-20-000002	4	02-JAN-2020	13	0
0001145697-20-000002	1	01-APR-2019	2	0
0001557183-20-000002	1	10-JUN-2019	1997	1447
0001557183-20-000002	2	26-DEC-2019	3141	2038
0001104659-20-054696	1	01-JAN-2019	0	0
0000203281-20-000001	1	19-NOV-2019	5	4
0001007444-20-000005	1	31-DEC-2019	0	0
0001451316-20-000008	2	15-JUN-2018	144	37
0001451316-20-000008	1	15-MAR-2018	151	25
0001451316-20-000007	2	19-JUN-2017	118	32
0001451316-20-000007	1	14-MAR-2017	228	38
0000019617-20-000283	1	31-DEC-2019	0	0
0000911282-20-000003	2	23-OCT-2019	126	28
0000911282-20-000003	1	15-MAR-2019	263	48
0001654954-20-003936	1	07-FEB-2019	2	0
0001654954-20-003936	4	02-SEP-2019	12	10
0001654954-20-003936	3	07-MAY-2019	1	1
0001654954-20-003936	2	03-MAY-2019	70	29
0000823579-20-000002	1	28-MAY-2019	427	276
0000823579-20-000002	2	02-DEC-2019	308	134
0001734055-20-000001	1	31-DEC-2019	0	0
0001460584-20-000003	1	31-MAR-2020	0	0
0001718015-20-000002	1	08-OCT-2019	840	154
0001434234-20-000002	6	06-JUL-2018	2	2
0001434234-20-000002	5	13-JUN-2018	1	1
0001434234-20-000002	4	06-JUN-2018	5	0
0001434234-20-000002	3	06-APR-2018	2	1
0001434234-20-000002	2	23-JAN-2018	6	0
0001434234-20-000002	1	22-JAN-2018	1	1
0001388002-20-000002	4	18-OCT-2019	3	1
0001388002-20-000002	3	09-MAY-2019	7	3
0001388002-20-000002	2	30-APR-2019	3	1
0001388002-20-000002	1	21-OCT-2019	10	7
0000746972-20-000001	1	16-DEC-2019	132	85
0001434234-20-000002	7	30-AUG-2018	4	4
0001434234-20-000002	8	10-SEP-2018	1	1
0001434234-20-000002	9	30-OCT-2018	3	3
0001434234-20-000002	10	08-NOV-2018	1	1
0000950123-20-003087	2	26-SEP-2019	149	136
0000950123-20-003087	1	07-JUN-2019	120	110
