ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000838135-20-000006	31-DEC-2019	TRUIST BANK	None	N	FDIC	Yes, filed amendment(s)		0	2019	2019	0	2019	0			Not Applicable			0	0	0
0000838135-20-000005	31-DEC-2018	TRUIST BANK	None	N	FDIC	Not applicable		0	2149	2149	0	2149	0			Not Applicable			0	0	0
0000838135-20-000004	31-DEC-2017	TRUIST BANK	None	N	FDIC	Not applicable		0	2117	2117	0	2117	0			Not Applicable			0	0	0
0000080255-20-001474	31-DEC-2019	PRICE ROWE T RETIREMENT PLAN SERVICES INC               /TA	None	N	SEC	Yes, filed amendment(s)		0	0	7203000	7203000	0				Not Applicable			55665649	2414	0
0001145697-20-000002	31-DEC-2019	FULTON BANK, NATIONAL ASSOCIATION	None	N	OCC	Not applicable		881	16902	16902	5923	689	0			Yes			0	0	33
0001557183-20-000002	31-DEC-2019	ASCENSUS COLLEGE SAVINGS RECORDKEEPING SERVICES LLC	Some	N	SEC	Yes, filed amendment(s)		0	5061525	5061525	0	0	0			Not Applicable			0	0	22
0001104659-20-054696	31-DEC-2019	MADISON STOCK TRANSFER INC /TA	Some	N	SEC	Not applicable		995	21900	21900	0	829	0			Yes			0	0	0
0000203281-20-000001	31-DEC-2019	STANDARD REGISTRAR & TRANSFER AGENCY, INC /TA	None	N	SEC	Not applicable		23	2255	0	0	0	0			Yes			23	0	0
0001007444-20-000005	31-DEC-2019	LPL Financial LLC /TA	Some	N	SEC	Yes, filed amendment(s)		410206	12707	12707	12707	0	0			Not Applicable			4741254	0	0
0001451316-20-000008	31-DEC-2018	Franklin Templeton Investment Services GmbH	None	Y	SEC	Yes, filed amendment(s)		101	39647	39647	0	0	0			Yes			59884	1048	0
0001451316-20-000007	31-DEC-2017	Franklin Templeton Investment Services GmbH	None	Y	SEC	Not applicable		124	41495	41495	0	0	0			Yes			67738	689	0
0000019617-20-000283	31-DEC-2019	JP Morgan Chase Bank NA	Some	N	OCC	Yes, filed amendment(s)		1472	40840	40840	0	0	0			Not Applicable			20103	0	0
0000911282-20-000003	31-DEC-2019	PHOENIX TRANSFER INC                                    /TA	None	N	SEC	Not applicable		6920	83256	83256	1819	0	0			Not Applicable			0	0	684
0001654954-20-003936	31-DEC-2019	MANHATTAN TRANSFER REGISTRAR CO /TA	Some	N	SEC	Not applicable		397	10798	16	0	16	0			Yes			0	0	0
0000823579-20-000002	31-DEC-2019	COLONIAL STOCK TRANSFER CO INC /TA	None	N	SEC	Not applicable		1627	78954	78954	27	2139	0			Yes			0	0	0
0001734055-20-000001	31-DEC-2019	Silicon Prairie Registrar & Transfer LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001460584-20-000003	31-DEC-2019	Bangor Savings Bank /TA	None	N	FDIC	Not applicable		18	1	1	0	1									0
0001718015-20-000002	31-DEC-2019	Odyssey Trust Co	Some	N	SEC	Yes, filed amendment(s)		17883	56866	56866	81	22910	0			Yes			0	0	0
0001388002-20-000002	31-DEC-2019	HSBC Bank USA, National Association	None	N	OCC	Not applicable		3790	5998	5998	0	1204	0			Yes			0	0	24
0001434234-20-000002	31-DEC-2018	GLOBEX TRANSFER, LLC	Some	N	SEC	Not applicable		1429	29650	29650	0	0	0			Yes			0	0	0
0000746972-20-000001	31-DEC-2019	OTR INC /TA	None	N	SEC	Not applicable		1978	19842	19842	3233	1369	0			Yes			0	0	0
0000950123-20-003087	31-DEC-2019	Strategic Transfer Agent Services, LLC	None	N	SEC	Not applicable		345	27580	21175	10813	0	0			Not Applicable			0	0	0
