ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0001813683-20-000002	tawRegistrant	1	SVP4U SECURITIES, INC.		78 SW 7TH ST STE 500 Miami FL 33130
0001104659-20-066343	tawCustodians	1	GEORGE A. HENNING		101 NORTH BRAND BLVD., SUITE 1950  GLENDALE CA 91203
0001104659-20-066343	tawRegistrant	1	PACIFIC GLOBAL INVESTOR SERVICES INC                    /TA		101 NORTH BRAND BLVD., SUITE 1950  GLENDALE CA 91203
0000002380-20-000002	tawLocations	1	Global Relay		220 Cambie Street 2nd Floor Vancouver A1 V6B 2M9
0000002380-20-000002	tawLocations	2	Docupace		11766 Wilshire Blvd. Suite 1120 Los Angeles CA 90025
0000002380-20-000002	tawLocations	3	Access		2010 Route 57  Washington NJ 07882
0000002380-20-000002	tawLocations	4	Access		2067 Route 57  Washington NJ 07882
0000002380-20-000002	tawLocations	5	Vital Records		563 New Center Road  Flagtown NJ 08821
0000002380-20-000002	tawSuccessors	1	Delaware Investments Fund Services Company	Y	2005 Market Street  Philadelphia PA 19103
0000002380-20-000002	tawRegistrant	1	FORESTERS INVESTOR SERVICES INC/TA		Raritan Plaza 1  Edison NJ 08837
0000002380-20-000002	tawCustodians	1	The Independent Order of Foresters		789 Don Mills Road  Toronto A6 M3C 1T9
0001506388-20-000004	tawCustodians	1	American Family Life Assurance Company of Columbus		1 Aflac Parkway  Columbus GA 31907
0001506388-20-000004	tawSuccessors	1	Broadridge Corporate Issuer Solutions Inc.	Y	51 Mercedes Way  Edgewood NY 11717
0001506388-20-000004	tawRegistrant	1	American Family Life Assurance Co of Columbus		1 Aflac Parkway  Columbus GA 31907
0000870156-20-000018	tawRegistrant	1	MILES CAPITAL, INC.		1415 28th Street Suite 200 West Des Moines IA 50265
0000870156-20-000018	tawCustodians	1	David W. Miles		19548 T. Avenue  Dallas Center IA 50063-8420
0000950123-20-003227	tawRegistrant	1	ACS HR Solutions, LLC		450 Lexington Avenue 4th Floor, Unit #50 New York NY 10163
