ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001285911-20-000005	serviceCompany	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough MA 01581
0001140361-20-014260	asServiceCompany	3	AFLAC INC /GA/ /TA	084-00501	1947 Wynnton Rd  Columbus GA 31999
0001140361-20-014260	asServiceCompany	1	TSX Trust Co	084-06502	100 Adelaide St. West Suite 301 Toronto A6 M5H 5S3
0001140361-20-014260	asServiceCompany	2	Nottingham Shareholder Services LLC	084-05687	116 South Franklin Street  Rocky Mount NC 27804
0001133702-20-000008	asServiceCompany	1	Fidelity Investments Institutional Operations Company LLC	084-01839	245 Summer Street  Boston MA 02210
0000862124-20-000009	serviceCompany	1	National Financial Services, LLC	084-05888	499 Washington Blvd  Jersey City NJ 07310
0000862124-20-000009	serviceCompany	2	Fidelity Business Services India Private Limited	084-06287	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore K7 560071
0001557183-20-000003	serviceCompany	1	The Vanguard Group, Inc.	084-00772	100 Vanguard Boulevard V26 Malvern PA 19355-2900
0001559963-20-000003	asServiceCompany	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough MA 01581
0001559963-20-000003	asServiceCompany	2	The Bank of New York Mellon	085-05006	240 Greenwhich Street  New York NY 10286-0001
0001808525-20-000006	serviceCompany	2	INVESCO CANADA LTD/INVESCO CANADA LTEE DBA INVESCO ENTERPRISE SERVICES	084-06210	119 EUSTON ST  CHARLOTTETOWN A7 C1A 1W3
0001808525-20-000006	serviceCompany	1	Invesco (India) Private Ltd.	084-06707	Divyasree Orion, B6 15th Floor Raidurgam, Serilingampalli Hyderabad K7 500032
0001808525-20-000006	serviceCompany	3	DST SYSTEMS, INC.	084-00448	210 W 10TH ST  KANSAS CITY MO 64105
0001809901-20-000002	serviceCompany	1	Computershare Inc	084-05925	150 Royall Street  Canton MA 02021
0000869442-20-000003	serviceCompany	1	DST Asset Manager Solutions, Inc.	084-00896	430 W 7th Street Suite 219909 Kansas City MO 64105-1407
0001718015-20-000003	serviceCompany	3	EQUITY STOCK TRANSFER LLC	084-06453	237 W 37TH ST SUITE 602  NEW YORK NY 11018
0001718015-20-000003	asServiceCompany	1	EQ BY EQUINITI	084-06578	3200 Cherry Creek Dr South #430  Denver CO 80209
0001718015-20-000003	serviceCompany	1	NEVADA AGENCY & TRANSFER COMPANY	084-00076	50 W LIBERTY ST STE 880  RENO NV 89501
0001718015-20-000003	serviceCompany	2	VSTOCK TRANSFER LLC	084-06380	77 SPRUCE ST SUITE 201  CEDARHURST NY 11516
0000817712-20-000007	serviceCompany	1	DST Systems, Inc.	084-00448	301 W. 11th Street  Kansas City MO 64105
0000795029-20-000004	serviceCompany	1	Broadridge Corporate Issuer Solutions Inc	084-01007	51 Mercedes Way  Edgewood NY 11717
0001398344-20-010226	asServiceCompany	4	Ultimus Asset Services, LLC	084-00142	9465 Counselors Row Suite 200 Indianapolis IN 46240
0001398344-20-010226	asServiceCompany	1	DeAWM Service Company	084-01713	222 South Riverside Plaza  Chicago IL 60606
0001398344-20-010226	asServiceCompany	3	Lee Financial Recordkeeping, Inc.	084-05507	3113 Olu Street  Honolulu HI 96816
