ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001667174-20-000001	1	19-NOV-2019	165	3
0000080255-20-001555	1	01-JAN-2017	0	0
0001492746-20-000008	7	26-JUL-2016	7	1
0001492746-20-000008	1	07-JAN-2016	15	7
0001492746-20-000008	5	05-JUL-2016	33	6
0001492746-20-000008	4	19-FEB-2016	9	1
0001492746-20-000008	3	09-FEB-2016	9	2
0001492746-20-000008	2	25-JAN-2016	16	3
0001492746-20-000008	8	23-AUG-2016	16	2
0001492746-20-000008	9	22-SEP-2016	13	3
0001492746-20-000008	6	25-JUL-2016	5	1
0001492746-20-000007	2	25-JAN-2017	11	7
0001492746-20-000007	1	24-JAN-2017	13	9
0001492746-20-000007	3	07-FEB-2017	1	1
0001492746-20-000007	9	24-NOV-2017	1	1
0001492746-20-000007	8	21-NOV-2017	28	23
0001492746-20-000007	7	20-NOV-2017	2	2
0001492746-20-000007	6	19-SEP-2017	24	18
0001492746-20-000007	5	10-JUL-2017	15	12
0001492746-20-000007	4	19-MAY-2017	28	22
0001492746-20-000006	1	19-FEB-2018	20	19
0001492746-20-000006	2	30-APR-2018	1	1
0001492746-20-000006	3	20-AUG-2018	2	2
0001782622-20-000001	1		0	0
0001388002-20-000003	1	21-OCT-2019	10	6
0001388002-20-000003	2	09-MAY-2019	5	4
0001388002-20-000003	3	30-APR-2019	3	1
0001162044-20-000684	1	02-MAY-2019	172	114
0001162044-20-000684	2	20-NOV-2019	161	100
0001104659-20-088863	1	31-DEC-2019	0	0
0000839196-20-000004	6	22-OCT-2018	1	1
0000839196-20-000004	5	20-SEP-2018	19	19
0000839196-20-000004	4	20-JUL-2018	12	12
0000839196-20-000004	3	20-JUN-2018	10	10
0000839196-20-000004	2	20-APR-2018	1	1
0000839196-20-000004	1	22-JAN-2018	1	1
0000839196-20-000004	7	20-NOV-2018	1	1
0000839196-20-000002	1	20-JAN-2017	28	28
0000839196-20-000002	2	20-FEB-2017	6	6
0000839196-20-000002	3	20-MAR-2017	5	5
0000839196-20-000002	4	20-APR-2017	2	2
0000839196-20-000002	5	22-MAY-2017	2	2
0000839196-20-000002	6	20-JUN-2017	13	13
0000839196-20-000002	7	20-JUL-2017	19	19
0000839196-20-000002	8	21-AUG-2017	2	2
0000839196-20-000002	9	20-SEP-2017	2	2
0000839196-20-000002	10	20-OCT-2017	1	1
0000839196-20-000002	11	20-NOV-2017	2	2
0000839196-20-000002	12	20-DEC-2017	10	10
0000080255-20-001518	1	08-MAR-2019	0	0
