ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001140361-24-026985	31-DEC-2023	Broadridge Corporate Issuer Solutions, LLC	None	Y	SEC	Yes, filed amendment(s)		108909	1232290	1232290	529494	588553	0			Yes			0	0	12918
0001424912-24-000008	31-DEC-2023	se2, LLC/TA	None	Y	SEC	Not applicable		50253	847608	0	0	0	0			Not Applicable			0	0	609
0001376474-24-000234	31-DEC-2023	Fair FP	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001104659-24-056936	31-DEC-2023	Heritage U.S. Transfer Corp	None	N	SEC	Not applicable		67	3757	3757	0	0	0			Yes			0	0	0
0001853914-24-000005	31-DEC-2022	Brassica Services LLC (T-A)	None	N	SEC	No, failed to file amendment(s)	The Firm filed a timely COUPDAT for its change of address but did not realize an additional TA-1/A was required.	0	84831	84831	0	0	0			Yes			0	0	0
0001853914-24-000004	31-DEC-2021	Brassica Services LLC (T-A)	None	N	SEC	No, failed to file amendment(s)	The Firm filed a timely COUPDAT for its change of address but did not realize an additional TA-1/A was required.	0	84831	84831	0	0	0			Yes			0	0	0
0001942713-24-000001	31-DEC-2023	United Transfer Agency LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001054377-24-000004	31-DEC-2023	SANSIMA CONSULTING GROUP INC /TA	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0000794265-24-000004	31-DEC-2022	AMERICAN CENTURY SERVICES LLC /TA	Some	N	SEC	Not applicable		24107	1105507	1105507	1105507	0	0			Not Applicable			9825444	104793	67
0001774510-24-000001	31-DEC-2023	NATASHA HARRIS-JOHNSON TRUST	None	N	SEC	Not applicable		0	0	0	0	0	0			Yes			0	0	1
0001966121-24-000005	31-DEC-2023	Western Alliance Trust Company, N.A.	None	N	OCC	Not applicable		2	16	16	0	0	0			Not Applicable			0	0	0
0001995706-24-000002	31-DEC-2023	Keystone Stock Transfer LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001945989-24-000003	31-DEC-2023	WVI Transfer Agent LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable					0
0001938417-24-000001	31-DEC-2023	Dominion Stock Transfer, Inc.	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001727770-24-000001	31-DEC-2023	Merchants Financial Group, Inc.	None	N	BGFRS	Not applicable		40	299	300	0	300	0			Not Applicable			0	0	0
0001846771-24-000001	31-DEC-2023	Akemona TA Services LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001945558-24-000001	31-DEC-2023	OpenPool Technologies, LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001829807-24-000003	31-DEC-2023	CERES Coin LLC TA	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0002000534-24-000001	31-DEC-2023	Templum Transfer Solutions LLC/TA	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001801259-24-000006	31-DEC-2023	Digital Stock Transfer Co LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001801259-24-000005	31-DEC-2020	Digital Stock Transfer Co LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001801259-24-000002	31-DEC-2021	Digital Stock Transfer Co LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001801259-24-000003	31-DEC-2022	Digital Stock Transfer Co LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0000950123-24-003116	31-DEC-2023	Strategic Transfer Agent Services, LLC	None	N	SEC	Yes, filed amendment(s)		2725	21076	21076	7932	0	0			Not Applicable			0	0	0
0001683168-24-002113	31-DEC-2023	Mountain Share Transfer, LLC	Some	N	SEC	Not applicable		418	17026	17026	0	0	0			Yes			0	0	0
0001830271-24-000002	31-DEC-2023	BlockQuake Transfer Agent, LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0000950123-24-003044	31-DEC-2023	Beneficient Transfer & Clearing Company, L.L.C./TA	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001894652-24-000004	31-DEC-2023	KoreTransfer USA LLC	None	N	SEC	Not applicable		140	180124	180124	1180	0	0			Yes			0	0	0
