ACCESSION_NUMBER	ENTITY_TYPE	ENT_ID	ENTITYNAME	AGREEMENTDESCRIPTION
0000810417-24-000007	otherControlManagement	11	David Alexander Gunn	President of Edward Jones (an Ontario Limited Partnership)
0000810417-24-000007	otherControlManagement	6	Kristin Michele Johnson	Chief Transformation Officer
0000810417-24-000007	otherControlManagement	5	Tina Marie Hrevus	Chief of Staff to the Managing Partner
0000810417-24-000007	otherControlManagement	4	Lisa Marie Dolan	Head of Branch Operations and Shared Services
0000810417-24-000007	otherControlManagement	17	Jennifer A Grego	Chief Compliance Officer
0000810417-24-000007	otherControlManagement	16	Todd Judson Purdy	Head of Operations
0000810417-24-000007	otherControlManagement	15	Keir Devon Gumbs	General Counsel
0000810417-24-000007	otherControlManagement	14	Hasan A Malik	Chief Strategy Officer
0000810417-24-000007	otherControlManagement	13	Suzan Leigh McDaniel	Chief Human Resources Officer
0000810417-24-000007	otherControlManagement	12	Lena Haas	Head of Wealth Management Advice and Solutions
0000810417-24-000007	otherControlManagement	9	Wayne Allen Roberts	Head of New Market Opportunities
0000810417-24-000007	otherControlManagement	8	Timothy Andrew Rea	Chief Experience, Brand and Marketing Officer
0000810417-24-000007	otherControlManagement	7	Francis Thomas LaQuinta	Head of Digital, Data and Operations
0000810417-24-000007	otherControlManagement	3	Kenneth Ray Cella Jr	Head of External Affairs and Community Engagement
0000810417-24-000007	otherControlManagement	2	Andrew Timothy Miedler	Chief Financial Officer
0000810417-24-000007	otherControlManagement	1	Penelope Pennington	Chief Executive Officer
0000810417-24-000007	otherControlManagement	10	David Barry Chubak	Head of U.S. Business Unit
0001458682-24-000003	otherControlFinance	3	Ruth Makofske	REMOVED. Became a member of LLC per Operating Agreement effective 6/1/09. Ceased to be a member effective 12/8/11.
0001458682-24-000003	otherControlFinance	1	Robert Kennedy	Member of LLC per Operating Agreement effective 3/1/10.
0001458682-24-000003	otherControlFinance	2	Pelle Ojasu	REMOVED. Became a member of LLC per Operating Agreement effective 6/1/09. Ceased to be a member effective 9/13/17.
0001458682-24-000003	otherControlFinance	4	Regina Diane Kennedy and David Kennedy	REMOVED. Became a member of LLC per Operating Agreement effective 3/1/10. Regina Diane Kennedy and David Kennedy are deceased and all membership units originally owned by them were transferred to Kara Kennedy effective 2/4/17.
0000810417-24-000005	otherControlManagement	11	David Barry Chubak	Head of U.S. Business Unit
0000810417-24-000005	otherControlManagement	14	Suzan Leigh McDaniel	Chief Human Resources Officer
0000810417-24-000005	otherControlManagement	15	Hasan A Malik	Chief Strategy Officer
0000810417-24-000005	otherControlManagement	17	Todd Judson Purdy	Head of Operations
0000810417-24-000005	otherControlManagement	9	Timothy Andrew Rea	Chief Experience, Brand and Marketing Officer
0000810417-24-000005	otherControlManagement	1	Penelope Pennington	Chief Executive Officer
0000810417-24-000005	otherControlManagement	12	David Alexander Gunn	President of Edward Jones (an Ontario Limited Partnership)
0000810417-24-000005	otherControlManagement	2	Andrew Timothy Miedler	Chief Financial Officer
0000810417-24-000005	otherControlManagement	7	Francis Thomas LaQuinta	Head of Digital, Data and Operations
0000810417-24-000005	otherControlManagement	3	Kenneth Ray Cella Jr	Head of External Affairs and Community Engagement
0000810417-24-000005	otherControlManagement	13	Lena Haas	Head of Wealth Management Advice and Solutions
0000810417-24-000005	otherControlManagement	16	Keir Devon Gumbs	General Counsel
0000810417-24-000005	otherControlManagement	10	Wayne Allen Roberts	Head of New Market Opportunities
0000810417-24-000005	otherControlManagement	8	Richard David Link	Chief Compliance Officer
0000810417-24-000005	otherControlManagement	6	Kristin Michele Johnson	Chief Transformation Officer
0000810417-24-000005	otherControlManagement	5	Tina Marie Hrevus	Chief of Staff to the Managing Partner
0000810417-24-000005	otherControlManagement	4	Lisa Marie Dolan	Head of Branch Operations and Shared Services
